form	lemma	POS	morph	treated_token
Est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
igitur	igitur	CONcoo	MORPH=empty	igitur
quiddam	quidam	PROind	Case=Nom|Numb=Sing	quiddam
turbulentum	turbulentus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	turbulentum
in	in	PRE	MORPH=empty	in
hominibus	homo	NOMcom	Case=Abl|Numb=Plur	hominibus
singulis	singulus	ADJdis	Case=Abl|Numb=Plur	singulis
quod	qui1	PROrel	Case=Nom|Numb=Sing	quod
vel	uel1	ADV	Deg=Pos	uel
exultat	exsulto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	exultat
voluptate	uoluptas	NOMcom	Case=Abl|Numb=Sing	uoluptate
vel	uel2	CONcoo	MORPH=empty	uel
molestia	molestia	NOMcom	Case=Abl|Numb=Sing	molestia
frangitur	frango	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	frangitur
.	.	PUNC	MORPH=empty	.
Sed	sed	CONcoo	MORPH=empty	sed
ut	ut4	CONsub	MORPH=empty	ut
ipsi	ipse	PROdem	Case=Nom|Numb=Plur	ipsi
seu	seu2	CONsub	MORPH=empty	seu
animum	animus	NOMcom	Case=Acc|Numb=Sing	animum
periclitentur	periclitor	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=3	periclitentur
sum	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	sum
vident	uideo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	uident
quid	quis1	PROint	Case=Acc|Numb=Sing	quid
se	sui1	PROref	Case=Acc|Numb=Sing	se
putent	puto	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3	putent
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
facturos	facio	VER	Case=Acc|Numb=Plur|Mood=Inf|Tense=Fut|Voice=Act	facturos
.	.	PUNC	MORPH=empty	.
Poeni	poenus	NOMcom	Case=Nom|Numb=Plur	poeni
primi	primus	ADJord	Case=Nom|Numb=Plur|Deg=Sup	primi
mercaturis	mercatura	NOMcom	Case=Dat|Numb=Plur	mercaturis
et	et2	CONcoo	MORPH=empty	et
mercibus	merx	NOMcom	Case=Dat|Numb=Plur	mercibus
suis	suus	PROpos.ref	Case=Dat|Numb=Plur	suis
avaritiam	auaritia	NOMcom	Case=Acc|Numb=Sing	auaritiam
et	et2	CONcoo	MORPH=empty	et
magnificentiam	magnificentia	NOMcom	Case=Acc|Numb=Sing	magnificentiam
et	et2	CONcoo	MORPH=empty	et
inexplebiles	inexplebilis	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	inexplebiles
cupiditates	cupiditas	NOMcom	Case=Acc|Numb=Plur	cupiditates
omnium	omnis	PROind	Case=Gen|Numb=Plur	omnium
rerum	res	NOMcom	Case=Gen|Numb=Plur	rerum
inportaverunt	importo	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3	inportauerunt
in	in	PRE	MORPH=empty	in
Graeciam	graecia	NOMcom	Case=Acc|Numb=Sing	graeciam
.	.	PUNC	MORPH=empty	.
Sardanapallus	sardanapallus	NOMcom	Case=Nom|Numb=Sing	sardanapallus
ille	ille	PROdem	Case=Nom|Numb=Sing	ille
vitiis	uitium	NOMcom	Case=Abl|Numb=Plur	uitiis
multo	multo2	ADV	Deg=Pos	multo
quam	quam1	ADVrel	MORPH=empty	quam
nomine	nomen	NOMcom	Case=Abl|Numb=Sing	nomine
ipso	ipse	PROdem	Case=Abl|Numb=Sing	ipso
deformior	deformis	ADJqua	Case=Nom|Numb=Sing|Deg=Comp	deformior
.	.	PUNC	MORPH=empty	.
nisi	nisi	CONsub	MORPH=empty	nisi
si	si2	CONsub	MORPH=empty	si
quis	quis2	PROind	Case=Nom|Numb=Sing	quis
Athonem	atho	NOMcom	Case=Acc|Numb=Sing	athonem
pro	pro1	PRE	MORPH=empty	pro
monumento	monumentum	NOMcom	Case=Abl|Numb=Sing	monumento
vult	uolo?	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	uult
funditus	funditus	ADV	Deg=Pos	funditus
efficere	efficio	VER	Mood=Inf|Tense=Pres|Voice=Act	efficere
.	.	PUNC	MORPH=empty	.
Quis	quis1	PROint	Case=Nom|Numb=Sing	quis
enim	enim2	CONcoo	MORPH=empty	enim
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
Athos	athos	NOMcom	Case=Nom|Numb=Plur	athos
aut	aut	CONcoo	MORPH=empty	aut
Olympus	olympus	NOMcom	Case=Nom|Numb=Sing	olympus
tantus	tantus	PROdem	Case=Nom|Numb=Sing	tantus
