form	lemma	POS	morph	treated_token
Nec	nec2	CONcoo	MORPH=empty	nec
fonte	fons	NOMcom	Case=Abl|Numb=Sing	fonte
labra	labrum?	NOMcom	Case=Acc|Numb=Plur	labra
prolui	proluo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	prolui
caballino	caballinus	NOMcom	Case=Abl|Numb=Sing	caballino
nec	nec2	CONcoo	MORPH=empty	nec
in	in	PRE	MORPH=empty	in
bicipiti	biceps	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	bicipiti
somniasse	somnio	VER	Mood=Inf|Tense=Perf|Voice=Act	somniasse
Parnaso	parnasus	NOMcom	Case=Abl|Numb=Sing	parnaso
memini	memini	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	memini
ut	ut4	CONsub	MORPH=empty	ut
repente	repente	ADV	Deg=Pos	repente
sic	sic	ADV	Deg=Pos	sic
poeta	poeta	NOMcom	Case=Nom|Numb=Sing	poeta
prodirem	prodeo1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1	prodirem
.	.	PUNC	MORPH=empty	.
Heliconidas	heliconidae	NOMcom	Case=Acc|Numb=Plur	heliconidas
-que	que	CONcoo	MORPH=empty	-que
pallidam	pallidus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	pallidam
-que	que	CONcoo	MORPH=empty	-que
Pirene	piren	NOMcom	Case=Acc|Numb=Sing	pirene
-ne	ne2	CONcoo	MORPH=empty	-ne
illis	ille	PROdem	Case=Dat|Numb=Plur	illis
remitto	remitto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	remitto
quorum	qui1	PROrel	Case=Gen|Numb=Plur	quorum
imagines	imago	NOMcom	Case=Acc|Numb=Plur	imagines
lambunt	lambo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	lambunt
hederae	hedera	NOMcom	Case=Nom|Numb=Plur	hederae
sequaces	sequax	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	sequaces
ipse	ipse	PROdem	Case=Nom|Numb=Sing	ipse
semipaganus	semipaganus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	semipaganus
ad	ad2	PRE	MORPH=empty	ad
sacra	sacrum	NOMcom	Case=Acc|Numb=Plur	sacra
vatum	uates	NOMcom	Case=Gen|Numb=Plur	uatum
carmen	carmen?	NOMcom	Case=Acc|Numb=Sing	carmen
adfero	affero	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	adfero
nostrum	noster	PROpos	Case=Acc|Numb=Sing	nostrum
.	.	PUNC	MORPH=empty	.
quis	quis1	PROint	Case=Nom|Numb=Sing	quis
expedivit	expedio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	expediuit
psittaco	psittacus	NOMcom	Case=Abl|Numb=Sing	psittaco
suum	suus	PROpos.ref	Case=Acc|Numb=Sing	suum
chaere	chaere	NOMcom	Numb=Sing	chaere
picam	pica	NOMcom	Case=Acc|Numb=Sing	picam
-que	que	CONcoo	MORPH=empty	-que
docuit	doceo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	docuit
verba	uerbum	NOMcom	Case=Acc|Numb=Plur	uerba
nostra	noster	PROpos	Case=Acc|Numb=Plur	nostra
conari	conor	VER	Mood=Inf|Tense=Pres|Voice=Dep	conari
magister	magister	NOMcom	Case=Nom|Numb=Sing	magister
artis	ars	NOMcom	Case=Gen|Numb=Sing	artis
ingeni	ingenium	NOMcom	Case=Gen|Numb=Sing	ingeni
-que	que	CONcoo	MORPH=empty	-que
largitor	largitor1	NOMcom	Case=Nom|Numb=Sing	largitor
venter	uenter	NOMcom	Case=Nom|Numb=Sing	uenter
negatas	nego	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	negatas
artifex	artifex	NOMcom	Case=Nom|Numb=Sing	artifex
sequi	sequor	VER	Mood=Inf|Tense=Pres|Voice=Dep	sequi
voces	uox	NOMcom	Case=Acc|Numb=Plur	uoces
;	;	PUNC	MORPH=empty	;
quod	quod1	CONcoo	MORPH=empty	quod
si	si2	CONsub	MORPH=empty	si
dolosi	dolosus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	dolosi
spes	spes	NOMcom	Case=Nom|Numb=Sing	spes
refulserit	refulgeo	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	refulserit
nummi	numus	NOMcom	Case=Gen|Numb=Plur	nummi
corvos	coruus	NOMcom	Case=Acc|Numb=Plur	coruos
poetas	poeta	NOMcom	Case=Acc|Numb=Plur	poetas
et	et2	CONcoo	MORPH=empty	et
poetridas	poetris	NOMcom	Case=Acc|Numb=Plur	poetridas
picas	pica	NOMcom	Case=Acc|Numb=Plur	picas
cantare	canto	VER	Mood=Inf|Tense=Pres|Voice=Act	cantare
credas	credo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2	credas
Pegaseium	pegaseium	NOMcom	Case=Acc|Numb=Sing	pegaseium
nectar	nectar	NOMcom	Case=Acc|Numb=Sing	nectar
.	.	PUNC	MORPH=empty	.
