form	lemma	POS	morph	treated_token
DIC	dico?	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2	dic
canis	canis	NOMcom	Case=Nom|Numb=Sing	canis
hic	hic1	PROdem	Case=Nom|Numb=Sing	hic
cuius	qui?	PROint	Case=Gen|Numb=Sing	cuius
tumulus	tumulus	NOMcom	Case=Nom|Numb=Sing	tumulus
Canis	canis	NOMcom	Case=Nom|Numb=Sing	canis
.	.	PUNC	MORPH=empty	.
At	at2	CONcoo	MORPH=empty	at
canis	canis	NOMcom	Case=Nom|Numb=Sing	canis
hic	hic2	ADV	Case=Nom	hic
quis	quis1	PROint	Case=Nom|Numb=Sing	quis
Diogenes	diogenes	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	diogenes
.	.	PUNC	MORPH=empty	.
Obiit	obeo1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	obiit
Non	non	ADVneg	MORPH=empty	non
obiit	obeo1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	obiit
set	sed	CONcoo	MORPH=empty	set
abit	abeo1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	abit
.	.	PUNC	MORPH=empty	.
Diogenes	diogenes	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	diogenes
cui	qui1	PROrel	Case=Dat|Numb=Sing	cui
pera	pera	NOMcom	Numb=Sing	pera
penus	penus	NOMcom	Case=Nom|Numb=Sing	penus
cui	qui1	PROrel	Case=Dat|Numb=Sing	cui
dolia	dolium	NOMcom	Case=Nom|Numb=Plur	dolia
sedes	sedes	NOMcom	Case=Nom|Numb=Sing	sedes
ad	ad2	PRE	MORPH=empty	ad
manes	manes	NOMpro	Case=Acc|Numb=Plur	manes
abiit	abeo1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	abiit
Cerberus	cerberus	NOMcom	Case=Nom|Numb=Sing	cerberus
inde	inde	ADV	Deg=Pos	inde
vetat	ueto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	uetat
.	.	PUNC	MORPH=empty	.
Et	et2	CONcoo	MORPH=empty	et
quonam	quonam	ADVint	MORPH=empty	quonam
Clari	clarus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	clari
flagrat	flagro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	flagrat
qua	qua1	ADVrel	MORPH=empty	qua
stella	stella	NOMcom	Case=Nom|Numb=Sing	stella
Leonis	leo	NOMcom	Case=Gen|Numb=Sing	leonis
additus	addo	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	additus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
iustae	iustus	ADJqua	Case=Dat|Numb=Sing|Deg=Pos	iustae
nunc	nunc	ADV	Deg=Pos	nunc
canis	canis	NOMcom	Case=Nom|Numb=Sing	canis
Erigonae	erigona	NOMcom	Case=Gen|Numb=Sing	erigonae
.	.	PUNC	MORPH=empty	.
