form	lemma	POS	morph	treated_token
Ad	ad2	PRE	MORPH=empty	ad
rem	res	NOMcom	Case=Acc|Numb=Sing	rem
pertinere	pertineo	VER	Mood=Inf|Tense=Pres|Voice=Act	pertinere
existimavi	existimo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	existimaui
ut	ut4	CONsub	MORPH=empty	ut
vel	uel1	ADV	Deg=Pos	uel
vanum	uanus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	uanum
opusculum	opusculum	NOMcom	Case=Acc|Numb=Sing	opusculum
materiae	materia	NOMcom	Case=Gen|Numb=Sing	materiae
congruentis	congruo	VER	Case=Gen|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	congruentis
absolverem	absoluo	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1	absoluerem
et	et2	CONcoo	MORPH=empty	et
libello	libellus	NOMcom	Case=Abl|Numb=Sing	libello
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
commemorationem	commemoratio	NOMcom	Case=Acc|Numb=Sing	commemorationem
habet	habeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	habet
eorum	is	PROdem	Case=Gen|Numb=Plur	eorum
qui	qui1	PROrel	Case=Nom|Numb=Plur	qui
vel	uel2	CONcoo	MORPH=empty	uel
peregrini	peregrinus1	NOMcom	Case=Nom|Numb=Plur	peregrini
Burdigalae	burdigala	NOMcom	Case=Nom|Numb=Plur|Deg=Pos	burdigalae
vel	uel2	CONcoo	MORPH=empty	uel
Burdigalenses	burdigalensis	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	burdigalenses
peregre	peregre	ADV	Deg=Pos	peregre
docuerunt	doceo	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3	docuerunt
Epitaphia	epitaphium	NOMcom	Case=Acc|Numb=Plur	epitaphia
subnecterem	subnecto	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1	subnecterem
scilicet	scilicet	ADV	Deg=Pos	scilicet
titulos	titulus	NOMcom	Case=Acc|Numb=Plur	titulos
sepulcrales	sepulcralis	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	sepulcrales
heroum	heros	NOMcom	Case=Gen|Numb=Plur	heroum
qui	qui1	PROrel	Case=Nom|Numb=Plur	qui
bello	bellum	NOMcom	Case=Dat|Numb=Sing	bello
Troico	troicus	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	troico
interfuerunt	intersum1	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3	interfuerunt
.	.	PUNC	MORPH=empty	.
Quae	qui1	PROrel	Case=Nom|Numb=Plur	quae
antiqua	antiquus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	antiqua
cum	cum3	CONsub	MORPH=empty	cum
aput	apud	PRE	MORPH=empty	aput
philologum	philologus1	NOMcom	Case=Acc|Numb=Sing	philologum
quendam	quidam	PROind	Case=Acc|Numb=Sing	quendam
repperissem	reperio	VER	Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=1	repperissem
Latino	latinus	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	latino
sermone	sermo	NOMcom	Case=Abl|Numb=Sing	sermone
converti	conuerto	VER	Mood=Inf|Tense=Pres|Voice=Pass	conuerti
non	non	ADVneg	MORPH=empty	non
ut	ut4	CONsub	MORPH=empty	ut
inservirem	inseruio	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1	inseruirem
ordinis	ordo	NOMcom	Case=Gen|Numb=Sing	ordinis
persequendi	persequor	VER	Case=Gen|Numb=Sing|Mood=Adj|Voice=Dep	persequendi
studio	studium	NOMcom	Case=Abl|Numb=Sing	studio
set	sed	CONcoo	MORPH=empty	set
ut	ut4	CONsub	MORPH=empty	ut
cohercerem	coerceo	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1	cohercerem
libere	libere	ADV	Deg=Pos	libere
nec	nec2	CONcoo	MORPH=empty	nec
aberrarem	aberro2	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1	aberrarem
.	.	PUNC	MORPH=empty	.
