form	lemma	POS	morph	treated_token
Domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-	-	PUNC	MORPH=empty	-
-ne	ne2	CONcoo	MORPH=empty	-ne
quis	quis1	PROint	Case=Nom|Numb=Sing	quis
habitabit	habito	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	habitabit
in	in	PRE	MORPH=empty	in
tabernaculo	tabernaculum	NOMcom	Case=Abl|Numb=Sing	tabernaculo
tuo	tuus	PROpos	Case=Abl|Numb=Sing	tuo
aut	aut	CONcoo	MORPH=empty	aut
quis	quis1	PROint	Case=Nom|Numb=Sing	quis
requiescet	requiesco	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	requiescet
in	in	PRE	MORPH=empty	in
monte	mons	NOMcom	Case=Abl|Numb=Sing	monte
sancto	sanctus	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	sancto
tuo	tuus	PROpos	Case=Abl|Numb=Sing	tuo
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
Psalmus	psalmus	ADJqua	Case=Nom|Numb=Sing	psalmus
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
lectus	lectus1	NOMcom	Case=Nom|Numb=Sing|Deg=Pos	lectus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
inscribitur	inscribo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	inscribitur
psalmus	psalmus	ADJqua	Case=Nom|Numb=Sing	psalmus
Dauid	dauis	NOMcom	Case=Acc|Numb=Sing	dauid
quia	quia	CONsub	MORPH=empty	quia
per	per	PRE	MORPH=empty	per
eum	is	PROdem	Case=Acc|Numb=Sing	eum
spiritus	spiritus	NOMcom	Case=Nom|Numb=Sing	spiritus
sanctus	sanctus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	sanctus
haec	hic1	PROdem	Case=Acc|Numb=Plur	haec
locutus	loquor	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep	locutus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
.	.	PUNC	MORPH=empty	.
et	et2	CONcoo	MORPH=empty	et
recte	recte	ADV	Deg=Pos	recte
ita	ita	ADV	Deg=Pos	ita
conpetit	competo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	conpetit
psalmo	psalmum	NOMcom	Case=Abl|Numb=Sing	psalmo
;	;	PUNC	MORPH=empty	;
nihil	nihil	PROind	Case=Ind	nihil
enim	enim2	CONcoo	MORPH=empty	enim
in	in	PRE	MORPH=empty	in
tempus	tempus?	NOMcom	Case=Acc|Numb=Sing	tempus
alterum	alter	PROind	Case=Nom|Numb=Sing	alterum
destinatur	destino	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	destinatur
.	.	PUNC	MORPH=empty	.
nihil	nihil	PROind	Case=Ind	nihil
ex	ex	PRE	MORPH=empty	ex
occultis	occultum	NOMcom	Case=Abl|Numb=Plur	occultis
profertur	profero	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	profertur
sed	sed	CONcoo	MORPH=empty	sed
omne	omnis	PROind	Case=Nom|Numb=Sing	omne
opus	opus?	NOMcom	Case=Nom|Numb=Sing	opus
eius	is	PROdem	Case=Gen|Numb=Sing	eius
in	in	PRE	MORPH=empty	in
praesens	praesens	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	praesens
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
denique	denique	ADV	Deg=Pos	denique
ita	ita	ADV	Deg=Pos	ita
incipit	incipio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	incipit
domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-ne	ne2	CONcoo	MORPH=empty	-ne
quis	quis2	PROind	Case=Nom|Numb=Sing	quis
habitabit	habito	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	habitabit
in	in	PRE	MORPH=empty	in
tabernaculo	tabernaculum	NOMcom	Case=Abl|Numb=Sing	tabernaculo
tuo	tuus	PROpos	Case=Abl|Numb=Sing	tuo
aut	aut	CONcoo	MORPH=empty	aut
