form	lemma	POS	morph	treated_token
Exempla	exemplum	NOMcom	Case=Acc|Numb=Plur	exempla
tractatuum	tractatus	NOMcom	Case=Gen|Numb=Plur	tractatuum
mutilatorum	mutilo	VER	Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	mutilatorum
uel	uel2	CONcoo	MORPH=empty	uel
Hilario	hilarium	NOMcom	Case=Abl|Numb=Sing	hilario
falso	falso2	ADV	Deg=Pos	falso
adscriptorum	ascribto	NOMcom	Case=Gen|Numb=Plur	adscriptorum
.	.	PUNC	MORPH=empty	.
cf	careo	VER	Numb=Sing	cf
.	.	PUNC	MORPH=empty	.
praef	praefer	NOMcom	Numb=Sing|Mood=Imp|Tense=Pres|Person=2	praef
.	.	PUNC	MORPH=empty	.
et	et2	CONcoo	MORPH=empty	et
Acad	aca	NOMcom	Case=Nom|Numb=Sing	acad
.	.	PUNC	MORPH=empty	.
p	pe	INJ	Case=Voc	p
.	.	PUNC	MORPH=empty	.
sq	sum?	ADVint	MORPH=empty	sq
.	.	PUNC	MORPH=empty	.
.	.	PUNC	MORPH=empty	.
In	in	PRE	MORPH=empty	in
finem	finis	NOMcom	Case=Acc|Numb=Sing	finem
psalmus	psalmus	NOMcom	Case=Nom|Numb=Sing	psalmus
Dauid	dauis	ADJqua	Numb=Sing	dauid
.	.	PUNC	MORPH=empty	.
Exaudi	exaudio	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2	exaudi
deus	deus	NOMcom	Case=Nom|Numb=Sing	deus
orationem	oratio	NOMcom	Case=Acc|Numb=Sing	orationem
meam	meus	PROpos	Case=Acc|Numb=Sing	meam
dum	dum2	CONsub	MORPH=empty	dum
deprecor	deprecor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1	deprecor
ad	ad2	PRE	MORPH=empty	ad
te	tu	PROper	Case=Acc|Numb=Sing	te
a	ab	PRE	MORPH=empty	a
timore	timor	NOMcom	Case=Abl|Numb=Sing	timore
inimici	inimicus1	NOMcom	Case=Gen|Numb=Sing	inimici
er	er	VER	MORPH=empty	er
-ue	ue	CONcoo	MORPH=empty	-ue
