form	lemma	POS	morph	treated_token
Diuersas	diuersus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	diuersas
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
plurimorum	multus	ADJqua	Case=Gen|Numb=Plur|Deg=Sup	plurimorum
in	in	PRE	MORPH=empty	in
psalmorum	psalmum	NOMcom	Case=Gen|Numb=Plur	psalmorum
libro	liber1	NOMcom	Case=Abl|Numb=Sing	libro
opiniones	opinio	NOMcom	Case=Acc|Numb=Plur	opiniones
ex	ex	PRE	MORPH=empty	ex
libris	liber1	NOMcom	Case=Abl|Numb=Plur	libris
ipsis	ipse	PROdem	Case=Abl|Numb=Plur	ipsis
quos	qui1	PROrel	Case=Acc|Numb=Plur	quos
scriptos	scribo	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	scriptos
reliquerunt	relinquo	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3	reliquerunt
compertum	compertus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	compertum
habemus	habeo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1	habemus
.	.	PUNC	MORPH=empty	.
nam	nam	CONcoo	MORPH=empty	nam
aliqui	aliquis	PROind	Case=Nom|Numb=Plur	aliqui
eos	is	PROdem	Case=Acc|Numb=Plur	eos
Hebraeorum	hebraeus	NOMcom	Case=Gen|Numb=Plur	hebraeorum
in	in	PRE	MORPH=empty	in
quinque	quinque	ADJcar	Case=Ind	quinque
libros	liber1	NOMcom	Case=Acc|Numb=Plur	libros
diuisos	diuido	VER	Case=Acc|Numb=Plur|Mood=Inf|Tense=Perf|Voice=Pass	diuisos
uolunt	uolo?	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	uolunt
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
ut	ut4	CONsub	MORPH=empty	ut
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
usque	usque	ADV	Deg=Pos	usque
in	in	PRE	MORPH=empty	in
quadragesimum	quadragesimus	ADJord	Case=Acc|Numb=Sing|Deg=Pos	quadragesimum
psalmum	psalmum	NOMcom	Case=Acc|Numb=Sing	psalmum
