form	lemma	POS	morph	treated_token
INCIPIT	incipio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	incipit
EXEMPLUM	exemplum	NOMcom	Case=Acc|Numb=Sing	exemplvm
EPISTULAE	epistola	NOMcom	Case=Gen|Numb=Sing	epistvlae
LIBERT	libert	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	libert
EPISCOPI	episcops	NOMcom	Case=Dat|Numb=Sing	episcopi
URBIS	arbus	NOMcom	Case=Gen|Numb=Sing	vrbis
ROMAE	roma	NOMcom	Case=Gen|Numb=Sing	romae
AD	ad2	PRE	MORPH=empty	ad
ORIENTALES	orientalis	ADJqua	Case=Acc|Numb=Plur	orientales
EPISCOPOS	episcopus	NOMcom	Case=Acc|Numb=Plur	episcopos
.	.	PUNC	MORPH=empty	.
Studens	studeo	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	studens
paci	pax	NOMcom	Case=Dat|Numb=Sing	paci
et	et2	CONcoo	MORPH=empty	et
concordiae	concordia	NOMcom	Case=Dat|Numb=Sing	concordiae
ecclesiarum	ecclesia	NOMcom	Case=Gen|Numb=Plur	ecclesiarum
postcaquam	postcaqua	ADJqua	Case=Acc|Numb=Sing	postcaquam
litteras	littera	NOMcom	Case=Acc|Numb=Plur	litteras
caritatis	caritas	NOMcom	Case=Gen|Numb=Sing	caritatis
uestrae	uester	PROpos	Case=Gen|Numb=Sing	uestrae
de	de	PRE	MORPH=empty	de
nomine	nomen	NOMcom	Case=Abl|Numb=Sing	nomine
Athanasi	athanasus	NOMcom	Case=Gen|Numb=Sing	athanasi
et	et2	CONcoo	MORPH=empty	et
ceterorum	ceteri	NOMcom	Case=Gen|Numb=Plur	ceterorum
factas	facio	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	factas
ad	ad2	PRE	MORPH=empty	ad
nomen	nomen	NOMcom	Case=Acc|Numb=Sing	nomen
Iulii	iulius	NOMcom	Case=Gen|Numb=Sing	iulii
bonae	bonus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	bonae
memoriae	memoria	NOMcom	Case=Gen|Numb=Sing	memoriae
episcopi	episcops	NOMcom	Case=Dat|Numb=Sing	episcopi
accepi	accipio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	accepi
secutus	sequor	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep	secutus
traditionem	traditio	NOMcom	Case=Acc|Numb=Sing	traditionem
maiorum	maiores	NOMcom	Case=Gen|Numb=Plur	maiorum
presbyteros	presbyter	NOMcom	Case=Acc|Numb=Plur	presbyteros
urbis	urbs	NOMcom	Case=Gen|Numb=Sing	urbis
Romae	roma	NOMcom	Case=Gen|Numb=Sing	romae
Lucium	lux	NOMcom	Case=Gen|Numb=Sing	lucium
Paulum	paulum2	ADV	Numb=Sing|Deg=Pos	paulum
et	et2	CONcoo	MORPH=empty	et
Helianum	helianus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	helianum
e	ex	PRE	MORPH=empty	e
latere	latus1	NOMcom	Case=Abl|Numb=Sing	latere
meo	meus	PROpos	Case=Abl|Numb=Sing	meo
ad	ad2	PRE	MORPH=empty	ad
Alexandriam	alexandria	NOMcom	Case=Acc|Numb=Sing	alexandriam
ad	ad2	PRE	MORPH=empty	ad
supradictum	supradictum	NOMcom	Case=Acc|Numb=Sing|Tense=Perf	supradictum
Athanasium	athanasius	NOMcom	Case=Acc|Numb=Sing	athanasium
direxi	dirigo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	direxi
ut	ut4	CONsub	MORPH=empty	ut
ad	ad2	PRE	MORPH=empty	ad
urbem	urbs	NOMcom	Case=Acc|Numb=Sing	urbem
Romam	roma	NOMcom	Case=Acc|Numb=Sing	romam
ueniret	uenio	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	ueniret
ut	ut4	CONsub	MORPH=empty	ut
in	in	PRE	MORPH=empty	in
praesenti	praesens	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	praesenti
id	is	PROdem	Case=Acc|Numb=Sing	id
quod	qui1	PROrel	Case=Acc|Numb=Sing	quod
de	de	PRE	MORPH=empty	de
ecclesiae	ecclesia	NOMcom	Case=Gen|Numb=Sing	ecclesiae
disciplina	disciplina	NOMcom	Case=Abl|Numb=Sing	disciplina
extitit	exsisto	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	extitit
in	in	PRE	MORPH=empty	in
eum	is	PROdem	Case=Acc|Numb=Sing	eum
statueretur	statuo	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=3	statueretur
.	.	PUNC	MORPH=empty	.
litteras	littera	NOMcom	Case=Acc|Numb=Plur	litteras
etiam	etiam	ADV	Deg=Pos	etiam
ad	ad2	PRE	MORPH=empty	ad
eundem	idem	PROdem	Case=Acc|Numb=Sing	eundem
per	per	PRE	MORPH=empty	per
supradictos	supradico	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	supradictos
presbyteros	presbyter	NOMcom	Case=Acc|Numb=Plur	presbyteros
dedi	do	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	dedi
quibus	qui1	PROrel	Case=Abl|Numb=Plur	quibus
continebatur	contineo	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Pass|Person=3	continebatur
quod	quod2	CONsub	MORPH=empty	quod
si	si2	CONsub	MORPH=empty	si
non	non	ADVneg	MORPH=empty	non
ueniret	uenio	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	ueniret
sciret	scio	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	sciret
se	sui1	PROref	Case=Acc|Numb=Sing	se
