form,lemma,pos,morph
Non,non,NOM3,MORPH=empty
custos,cvstos,NOM3,Case=Nom|Numb=Sing
si,si,CONsub,MORPH=empty
fingar,fingo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=1
ille,ille,PROdem,Case=Nom|Numb=Sing
Cretum,cretes,NOM2,Case=Acc|Numb=Sing
non,non,ADVneg,MORPH=empty
si,si,CONsub,MORPH=empty
Pegaseo,pegasevs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
ferar,fero,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Pass|Person=1
uolatu,vvlatvs,NOM4,Case=Abl|Numb=Sing
non,non,ADVneg,MORPH=empty
Ladas,ladas,NOM7,Case=Nom|Numb=Sing
ego,ego,PROper,Case=Nom|Numb=Sing
pinnipes,pinnipes,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
-ue,qve,NOM3,Case=Abl|Numb=Sing
Perseus,persevs,NOM2,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
Rhesi,rhesvs,NOM2,Case=Gen|Numb=Sing
niueae,nivevs,ADJqua,Case=Dat|Numb=Sing|Deg=Pos
citae,citvs,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
-que,qvove,CONcoo,MORPH=empty
bigae,biga,NOM1,Case=Dat|Numb=Plur
adde,addo,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
huc,hvc,ADV,Deg=Pos
plumipedes,plvmepes,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
uolatiles,volatilis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
-que,qvove,CONcoo,MORPH=empty
uentorum,ventvs,NOM2,Case=Gen|Numb=Plur
-que,qvove,CONcoo,MORPH=empty
simul,simvl,ADV,Deg=Pos
require,reqviro,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
cursum,cvrsvs,NOM4,Case=Acc|Numb=Sing
quos,qvi,PROrel,Case=Acc|Numb=Plur
uinctos,vincio,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
Cameri,camerivs,NOM2,Case=Gen|Numb=Sing
mihi,ego,PROper,Case=Dat|Numb=Sing
dicares,dico,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=2
defessus,defessvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos|Tense=Perf|Voice=Dep
tamen,tamen,ADV,Deg=Pos
omnibus,omnis,PROind,Case=Abl|Numb=Plur
medullis,medvlla,NOM1,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
multis,mvltvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
langoribus,langor,NOM3,Case=Abl|Numb=Plur
peresus,peredo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
essem,svm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
te,tv,PROper,Case=Acc|Numb=Sing
mihi,ego,PROper,Case=Dat|Numb=Sing
amice,amicvs,ADV,MORPH=empty
quaeritando,qvaerito,VER,Case=Abl|Numb=Sing|Mood=Adj|Voice=Act
.,vnvs,ADJcar,Case=Dat|Numb=Plur
