form,lemma,pos,morph
quod,qvi,PROrel,Case=Acc|Numb=Sing
putas,pvto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
oportere,oportet,VER,Mood=Inf|Tense=Pres|Voice=Act
peruideri,pervideo,VER,Mood=Inf|Tense=Pres|Voice=Pass
iam,iam,ADV,Deg=Pos
animi,animvs,NOM2,Case=Gen|Numb=Sing
mei,mevs,PROpos,Case=Gen|Numb=Sing
firmitatem,firmitas,NOM3,Case=Acc|Numb=Sing
grauius,gravis,ADJqua,Case=Acc|Numb=Sing|Deg=Comp
-que,qvovs,CONcoo,MORPH=empty
quosdam,qvidam,PROind,Case=Acc|Numb=Plur
scribis,scribo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
de,de,PRE,MORPH=empty
me,ego,PROper,Case=Abl|Numb=Sing
loqui,loqvor,VER,Mood=Inf|Tense=Pres|Voice=Dep
quam,qvam,ADVrel,MORPH=empty
aut,avt,CONcoo,MORPH=empty
te,tv,PROper,Case=Acc|Numb=Sing
scribere,scribo,VER,Mood=Inf|Tense=Pres|Voice=Act
aut,avt,CONcoo,MORPH=empty
Brutum,brvtvs,NOM2,Case=Acc|Numb=Sing
si,si,CONsub,MORPH=empty
qui,qvis,PROind,Case=Nom|Numb=Plur
me,ego,PROper,Case=Acc|Numb=Sing
fractum,frango,VER,Case=Acc|Numb=Sing|Mood=Inf|Tense=Perf|Voice=Pass
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
animo,animvs,NOM2,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
debilitatum,debilito,VER,Case=Acc|Numb=Sing|Voice=Pass
putant,pvto,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sciant,scio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
quid,qvis,PROint,Case=Acc|Numb=Sing
litterarum,littera,NOM1,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
cuius,qvi,PROrel,Case=Gen|Numb=Sing
generis,genvs,NOM3,Case=Gen|Numb=Sing
conficiam,conficio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
