form,lemma,pos,morph
nunc,nvnc,ADV,Deg=Pos
etiam,etiam,ADV,Deg=Pos
infectos,inficio,ADJqua,Case=Acc|Numb=Plur|Deg=Pos|Mood=Par|Tense=Perf|Voice=Pass
demens,demens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
imitare,imitor,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Dep|Person=2
Britannos,britanni,NOM2,Case=Acc|Numb=Plur
ludis,lvdvs,NOM2,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
externo,externvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
tincta,tingo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
nitore,nitor,NOM3,Case=Abl|Numb=Sing
caput,capvt,NOM3,Case=Acc|Numb=Sing
ut,vt,ADVrel,MORPH=empty
natura,natvra,NOM1,Case=Nom|Numb=Sing
dedit,do,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
sic,sic,ADV,Deg=Pos
omnis,omnis,PROind,Case=Nom|Numb=Sing
recta,rectvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
figura,figvra,NOM1,Case=Abl|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
turpis,tvrpis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Romano,romanvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
Belgicus,belgicvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ore,os,NOM3,Case=Abl|Numb=Sing
color,color,NOM3,Case=Nom|Numb=Sing
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
illi,ille,PROdem,Case=Nom|Numb=Plur
sub,svb,PRE,MORPH=empty
terris,terra,NOM1,Case=Abl|Numb=Plur
fiant,fio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
mala,malvm,NOM2,Case=Acc|Numb=Plur
multa,mvltvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
puellae,pvella,NOM1,Case=Gen|Numb=Sing
quae,qvi,PROrel,Case=Nom|Numb=Sing
mentita,mentior,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
suas,svvs,PROpos.ref,Case=Acc|Numb=Plur
uertit,verto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
inepta,ineptvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
comas,coma,NOM1,Case=Acc|Numb=Plur
deme,demo,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
mihi,ego,PROper,Case=Dat|Numb=Sing
certe,certe,ADV,Deg=Pos
poteris,possvm,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
formosa,formosvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
uideri,video,VER,Mood=Inf|Tense=Pres|Voice=Pass
mi,ego,PROper,Case=Dat|Numb=Sing
formosa,formosvs,ADJqua,Case=Voc|Numb=Sing|Deg=Pos
sat,satis,ADJqua,Case=Ind|Deg=Pos
es,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
si,si,CONsub,MORPH=empty
modo,modo,ADV,Deg=Pos
saepe,saepe,ADV,Deg=Pos
uenis,venio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
