form,lemma,pos,morph
Scio,scio,NOM2,Case=Dat|Numb=Sing
ego,ego,PROper,Case=Nom|Numb=Sing
quam,qvam,ADVint,MORPH=empty
difficile,difficilis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
atque,atqve,CONcoo,MORPH=empty
asperum,asper,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
factu,facio,VER,Mood=SupUm|Voice=Act
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
consilium,consilivm,NOM2,Case=Acc|Numb=Sing
dare,do,VER,Mood=Inf|Tense=Pres|Voice=Act
regi,rex,NOM3,Case=Dat|Numb=Sing
aut,avt,CONcoo,MORPH=empty
imperatori,imperator,NOM3,Case=Dat|Numb=Sing
postremo,posterivs,ADV,Deg=Sup
quoiquam,qvisqvam,PROind,Case=Dat|Numb=Sing
mortali,mortalis,NOM3,Case=Dat|Numb=Sing|Deg=Pos
quoius,qvi,PROrel,Case=Gen|Numb=Sing
opes,ops,NOM3,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
excelso,excelsvm,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
;,o,PRE,MORPH=empty
quippe,qvippe,ADV,MORPH=empty
cum,cvm,CONsub,MORPH=empty
et,et,CONcoo,MORPH=empty
illis,ille,PROdem,Case=Dat|Numb=Plur
consultorum,consvltvm,NOM2,Case=Gen|Numb=Plur
copiae,copia,NOM1,Case=Nom|Numb=Plur
adsint,assvm,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
neque,neqve,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
futuro,fvtvrvm,NOM2,Case=Abl|Numb=Sing
quisquam,qvisqvam,PROind,Case=Nom|Numb=Sing
satis,satis,ADV,Deg=Pos
callidus,callidvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
satis,satis,ADV,Deg=Pos
-que,qvovs,CONcoo,MORPH=empty
prudens,prvdens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Gen|Numb=Sing
Quin,qvin,ADJcar,Case=Ind|Numb=Sing
etiam,etiam,ADV,Deg=Pos
saepe,saepe,ADV,Deg=Pos
praua,pravvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
magis,magis,ADV,Deg=Comp
quam,qvam,ADVrel,MORPH=empty
bona,bonvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
consilia,consilivm,NOM2,Case=Nom|Numb=Plur
prospere,prospere,ADV,Deg=Pos
eueniunt,evenio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quia,qvia,CONsub,MORPH=empty
plerasque,plervsqve,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
res,res,NOM5,Case=Acc|Numb=Plur
fortuna,fortvna,NOM1,Case=Nom|Numb=Sing
ex,ex,PRE,MORPH=empty
libidine,libido,NOM3,Case=Abl|Numb=Sing
sua,svvs,PROpos.ref,Case=Abl|Numb=Sing
agitat,agito,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Sed,sedes,NOM2,Case=Nom|Numb=Sing
mihi,ego,PROper,Case=Dat|Numb=Sing
studium,stvdivm,NOM2,Case=Nom|Numb=Sing
fuit,svm,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
adulescentulo,adolescentvlvs,NOM2,Case=Dat|Numb=Sing
rem,res,NOM5,Case=Acc|Numb=Sing
publicam,pvblicvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
capessere,capesso,VER,Mood=Inf|Tense=Pres|Voice=Act
atque,atqve,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
ea,is,PROdem,Case=Abl|Numb=Sing
cognoscenda,cognosco,VER,Case=Abl|Numb=Sing|Mood=Adj|Voice=Pass
multam,mvltvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
magnam,magnvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
-que,qvovs,CONcoo,MORPH=empty
curam,cvra,NOM1,Case=Acc|Numb=Sing
habui,habeo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
;,o,INJ,MORPH=empty
non,non,ADVneg,MORPH=empty
ita,ita,ADV,Deg=Pos
ut,vt,CONsub,MORPH=empty
magistratum,magistratvs,NOM4,Case=Acc|Numb=Sing
modo,modo,ADV,Deg=Pos
caperem,capio,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
quem,qvi,PROrel,Case=Acc|Numb=Sing
multi,mvltvs,NOM2,Case=Nom|Numb=Plur|Deg=Pos
malis,malvs,ADJqua,Case=Abl|Numb=Plur
artibus,ars,NOM3,Case=Abl|Numb=Plur
adepti,adipiscor,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep
erant,svm,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
sed,sed,CONcoo,MORPH=empty
etiam,etiam,ADV,Deg=Pos
ut,vt,CONsub,MORPH=empty
rem,res,NOM5,Case=Acc|Numb=Sing
publicam,pvblicvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
domi,domvs,NOM2,Case=Loc|Numb=Sing
militiae,militia,NOM1,Case=Gen|Numb=Sing
-que,qvovs,CONcoo,MORPH=empty
quantum,qvantvm,PROint,Case=Nom|Numb=Sing
-que,qvovs,CONcoo,MORPH=empty
armis,arma,NOM2,Case=Abl|Numb=Plur
uiris,vir,NOM2,Case=Abl|Numb=Plur
opulentia,opvlentia,NOM1,Case=Nom|Numb=Sing
posset,possvm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
cognitum,cognosco,VER,Case=Acc|Numb=Sing|Mood=Inf|Tense=Perf|Voice=Pass
habuerim,habeo,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Sing
Itaque,itaqve,NOM2,Case=Voc|Numb=Sing
mihi,ego,PROper,Case=Dat|Numb=Sing
multa,mvltvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
cum,cvm,PRE,MORPH=empty
animo,animvs,NOM2,Case=Abl|Numb=Sing
agitanti,agito,VER,Case=Dat|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
consilium,consilivm,NOM2,Case=Nom|Numb=Sing
fuit,svm,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
famam,fama,NOM1,Case=Acc|Numb=Sing
modestiam,modestia,NOM1,Case=Acc|Numb=Sing
-que,qvovs,CONcoo,MORPH=empty
meam,mevs,PROpos,Case=Acc|Numb=Sing
post,post,PRE,MORPH=empty
tuam,tvvs,PROpos,Case=Acc|Numb=Sing
dignitatem,dignitas,NOM3,Case=Acc|Numb=Sing
haberei,habereo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
et,et,CONcoo,MORPH=empty
quoius,qvi,PROrel,Case=Gen|Numb=Sing
rei,res,NOM5,Case=Gen|Numb=Sing
lubet,libet,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
periculum,pericvlvm,NOM2,Case=Acc|Numb=Sing
facere,facio,VER,Mood=Inf|Tense=Pres|Voice=Act
dum,dvm,CONsub,MORPH=empty
quid,qvis,PROint,Case=Nom|Numb=Sing
tibi,tv,PROper,Case=Dat|Numb=Sing
ex,ex,PRE,MORPH=empty
eo,is,PROdem,Case=Abl|Numb=Sing
gloriae,gloria,NOM1,Case=Gen|Numb=Sing
acciderit,accido,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Gen|Numb=Sing
Id,idvs,NOM7,Case=Acc|Numb=Sing
-que,qvivis,CONcoo,MORPH=empty
non,non,ADVneg,MORPH=empty
temere,temere,ADV,Deg=Pos
neque,neqve,CONcoo,MORPH=empty
ex,ex,PRE,MORPH=empty
fortuna,fortvna,NOM1,Case=Abl|Numb=Sing
tua,tvvs,PROpos,Case=Abl|Numb=Sing
decreui,decerno,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
sed,sed,CONcoo,MORPH=empty
quia,qvia,CONsub,MORPH=empty
in,in,PRE,MORPH=empty
te,tv,PROper,Case=Acc|Numb=Sing
praeter,praeter,PRE,MORPH=empty
ceteras,cetervs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
artem,ars,NOM3,Case=Acc|Numb=Sing
unam,vnvs,ADJcar,Case=Acc|Numb=Sing
egregie,egregie,ADV,Deg=Pos
mirabilem,mirabilis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
comperi,comperio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
semper,semper,ADV,Deg=Pos
tibi,tv,PROper,Case=Dat|Numb=Sing
maiorem,magnvs,ADJqua,Case=Acc|Numb=Sing|Deg=Comp
in,in,PRE,MORPH=empty
aduersis,adversvm,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
quam,qvam,ADVrel,MORPH=empty
in,in,PRE,MORPH=empty
secundis,secvndvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
rebus,res,NOM5,Case=Abl|Numb=Plur
animum,animvs,NOM2,Case=Acc|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Sed,sed,CONcoo,Case=Nom|Numb=Sing
per,per,PRE,MORPH=empty
ceteros,ceteri,NOM2,Case=Acc|Numb=Plur
mortalis,mortalis,NOM3,Case=Acc|Numb=Plur
illa,ille,PROdem,Case=Nom|Numb=Sing
res,res,NOM5,Case=Nom|Numb=Sing
clarior,clarvs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quod,qvod,CONsub,MORPH=empty
prius,privs,ADJadv.ord,Deg=Comp
defessi,defessvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
homines,homo,NOM3,Case=Nom|Numb=Plur
laudando,lavdo,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
atque,atqve,CONcoo,MORPH=empty
admirando,admiror,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Dep
munificentiam,mvnificentia,NOM1,Case=Acc|Numb=Sing
tuam,tvvs,PROpos,Case=Acc|Numb=Sing
