form,lemma,pos,morph
Per,per,NOM3,Case=Nom|Numb=Sing
aliquot,aliqvot,PROind,Case=Ind
annos,annvs,NOM2,Case=Acc|Numb=Plur
quaedam,qvidam,PROind,Case=Nom|Numb=Sing
dilectum,dilectvs,NOM4,Case=Acc|Numb=Sing
uirum,vir,NOM2,Case=Acc|Numb=Sing
Amisit,amises,VER,Numb=Sing|Mood=Ind|Person=3
et,et,CONcoo,MORPH=empty
sarcophago,sarcophagvs,NOM2,Case=Dat|Numb=Sing
corpus,corpvs,NOM3,Case=Acc|Numb=Sing
condidit,condo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
;,o,PRE,MORPH=empty
A,aeqva,PROrel,Case=Abl|Numb=Sing
quo,qvi,PROrel,Case=Abl|Numb=Sing
reuelli,revello,VER,Mood=Inf|Tense=Pres|Voice=Pass
nullo,nvllvs,PROind,Case=Abl|Numb=Sing
cum,cvm,CONsub,MORPH=empty
posset,possvm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
modo,modo,ADV,Deg=Pos
Et,et,CONsub,MORPH=empty
in,in,PRE,MORPH=empty
sepulcro,sepvlcrvm,NOM2,Case=Abl|Numb=Sing
lugens,lvgeo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
uitam,vita,NOM1,Case=Acc|Numb=Sing
degeret,dego,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
Claram,clara,NOM1,Case=Acc|Numb=Sing
assecuta,asseqvor,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
famam,fama,NOM1,Case=Acc|Numb=Sing
castae,castvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
uirginis,virgo,NOM3,Case=Gen|Numb=Sing
.,pes,ADJcar,Case=Gen|Numb=Sing
Interea,interea,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
fanum,fanvm,NOM2,Case=Acc|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Plur
compilarant,compilo,VER,Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
Iouis,ivppiter,NOM3,Case=Gen|Numb=Sing
Cruci,crvcvs,NOM2,Case=Nom|Numb=Plur
suffixi,svffigo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
luerunt,lvo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
poenas,poena,NOM1,Case=Acc|Numb=Plur
numini,nvmen,NOM3,Case=Dat|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Horum,horvs,NOM2,Case=Acc|Numb=Sing
reliquias,reliqviae,NOM1,Case=Acc|Numb=Plur
ne,ne,CONsub,MORPH=empty
quis,qvis,PROind,Case=Nom|Numb=Sing
posset,possvm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
tollere,tollo,VER,Mood=Inf|Tense=Pres|Voice=Act
Custodes,cvstodes,NOM3,Case=Nom|Numb=Plur
dantur,do,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
milites,miles,NOM3,Case=Nom|Numb=Plur
cadauerum,cadaver,NOM2,Case=Gen|Numb=Plur
Monumentum,monvmentvm,NOM2,Case=Acc|Numb=Sing
iuxta,ivxta,ADV,MORPH=empty
mulier,mvlier,NOM3,Case=Nom|Numb=Sing
quo,qvi,PROrel,Case=Abl
se,svi,PROref,Case=Acc|Numb=Sing
incluserat,inclvdo,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Aliquando,aliqvandvs,NOM2,Case=Abl|Numb=Sing
sitiens,sitio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
unus,vnvs,ADJcar,Case=Nom|Numb=Sing
de,de,PRE,MORPH=empty
custodibus,cvstos,NOM3,Case=Abl|Numb=Plur
Aquam,aqva,NOM1,Case=Acc|Numb=Sing
rogauit,rogo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
media,medivs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
nocte,nox,NOM3,Case=Abl|Numb=Sing
ancillulam,ancillvla,NOM1,Case=Acc|Numb=Sing
Quae,qvaes,NOM1,Case=Gen|Numb=Sing
forte,forte,ADV,Deg=Pos
dominae,domina,NOM1,Case=Gen|Numb=Sing
tunc,tvnc,ADV,Deg=Pos
assistebat,assisto,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
suae,svvs,PROpos.ref,Case=Dat|Numb=Sing
Dormitum,dormitvs,NOM2,Case=Acc|Numb=Sing
eunti,eo,VER,Case=Dat|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
;,o,PRE,MORPH=empty
namque,namqve,CONcoo,MORPH=empty
lucubrauerat,lvcvbro,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
Et,et,CONcoo,MORPH=empty
usque,vsqve,ADV,Deg=Pos
in,in,PRE,MORPH=empty
serum,servs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
uigilias,vigilia,NOM1,Case=Acc|Numb=Plur
perduxerat,perdvco,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Paulum,pavlvs,NOM2,Case=Acc|Numb=Sing
reclusis,reclvdo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
foribus,foris,NOM3,Case=Abl|Numb=Plur
miles,miles,NOM3,Case=Nom|Numb=Sing
prospicit,prospicio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Videt,video,VER,Numb=Sing|Mood=Ind|Tense=Pres|Person=3
-que,qvove,CONcoo,Deg=Pos
et,et,CONcoo,MORPH=empty
aegram,aeger,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
facie,facies,NOM5,Case=Abl|Numb=Sing
pulchra,pvlcher,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
feminam,femina,NOM1,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Sing
Corruptus,corrvptvs,NOM2,Case=Nom|Numb=Sing
animus,animvs,NOM2,Case=Nom|Numb=Sing
ilico,illico,ADV,Deg=Pos
succenditur,svccendo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
Et,et,CONcoo,MORPH=empty
uritur,vro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
impudentis,impvdens,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
sensim,sensim,ADV,Deg=Pos
cupiditas,cvpiditas,NOM3,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Sing
Sollers,sollers,NOM3,Case=Nom|Numb=Sing
acume,acvme,ADJqua,Numb=Sing|Deg=Pos
-ne,ne,CONsub,MORPH=empty
mille,mille,ADJcar,Case=Ind
causas,cavsa,NOM1,Case=Acc|Numb=Plur
inuenit,invenio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Per,per,NOM3,Case=Nom|Numb=Sing
quas,qvi,PROrel,Case=Acc|Numb=Plur
uidere,video,VER,Mood=Inf|Tense=Pres|Voice=Act
possit,possvm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
illam,ille,PROdem,Case=Acc|Numb=Sing
saepius,saepe,ADV,Deg=Comp
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Cotidiana,cotidianvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
capta,capio,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
consuetudine,consvetvdo,NOM3,Case=Abl|Numb=Sing
Paulatim,pavlatis,NOM3,Case=Acc|Numb=Sing
facta,facio,NOM2,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
aduenae,advena,NOM1,Case=Gen|Numb=Sing
submissior,svbmissvs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
;,o,PRE,MORPH=empty
Mox,mox,NOM3,Case=Nom|Numb=Sing
artior,artvs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
reuinxit,revincio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
animum,animvs,NOM2,Case=Acc|Numb=Sing
copula,copvla,NOM1,Case=Abl|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Hic,hic,NOM3,Case=Nom|Numb=Sing
dum,dvm,CONsub,MORPH=empty
consumit,consvmo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
noctes,nox,NOM3,Case=Acc|Numb=Plur
custos,cvstos,NOM3,Case=Nom|Numb=Sing
diligens,diligens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Desideratum,desideratvs,NOM2,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
corpus,corpvs,NOM3,Case=Nom|Numb=Sing
ex,ex,PRE,MORPH=empty
una,vnvs,ADJcar,Case=Abl|Numb=Sing
cruce,crvx,NOM3,Case=Abl|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Turbatus,tvrbatvs,NOM2,Case=Nom|Numb=Sing
miles,miles,NOM3,Case=Nom|Numb=Sing
factum,facio,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
exponit,expono,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mulieri,mvlier,NOM3,Case=Dat|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
