form,lemma,pos,morph
efflagitasti,efflagito,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
cotidiano,cotidianvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
conuicio,convicivm,NOM2,Case=Abl|Numb=Sing
ut,vt,CONsub,MORPH=empty
libros,liber,NOM2,Case=Acc|Numb=Plur
quos,qvi,PROrel,Case=Acc|Numb=Plur
ad,ad,PRE,MORPH=empty
Marcellum,marcellvs,NOM2,Case=Acc|Numb=Sing
meum,mevs,PROpos,Case=Acc|Numb=Sing
de,de,PRE,MORPH=empty
Institutione,institvtio,NOM3,Case=Abl|Numb=Sing
oratoria,oratorivs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
scripseram,scribo,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=1
iam,iam,ADV,Deg=Pos
emittere,emitto,VER,Mood=Inf|Tense=Pres|Voice=Act
inciperem,incipio,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
nam,nam,CONcoo,MORPH=empty
ipse,ipse,PROdem,Case=Nom|Numb=Sing
eos,is,PROdem,Case=Acc|Numb=Plur
nondum,nondvm,ADVneg,MORPH=empty
opinabar,opinor,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Dep|Person=1
satis,satis,ADV,Deg=Pos
maturuisse,matvresco,VER,Mood=Inf|Tense=Perf|Voice=Act
quibus,qvi,PROrel,Case=Abl|Numb=Plur
componendis,compono,VER,Case=Abl|Numb=Plur|Mood=Adj|Voice=Pass
ut,vt,ADVrel,MORPH=empty
scis,scio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
paulo,pavlo,ADV,Deg=Pos
plus,mvltvs,ADJqua,Case=Acc|Numb=Sing|Deg=Comp
quam,qvam,ADVrel,MORPH=empty
biennium,biennivm,NOM2,Case=Acc|Numb=Sing
tot,tot,PROdem,Case=Ind
alioqui,alioqvi,ADV,Deg=Pos
negotiis,negotivm,NOM2,Case=Abl|Numb=Plur
districtus,distringo,VER,Case=Nom|Numb=Sing|Tense=Perf|Voice=Pass
impendi,impendo,VER,Mood=Ind|Tense=Perf|Voice=Act|Person=1
;,,PRE,MORPH=empty
quod,qvi,PROrel,Case=Acc|Numb=Sing
tempus,tempvs,NOM3,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
tam,tam,ADV,Deg=Pos
stilo,stilvs,NOM2,Case=Abl|Numb=Sing
quam,qvam,ADVrel,MORPH=empty
inquisitioni,inqvisitio,NOM3,Case=Dat|Numb=Sing
instituti,institvo,VER,Case=Gen|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
operis,opvs,NOM3,Case=Gen|Numb=Sing
prope,prope,ADV,Deg=Pos
infiniti,infinitvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
legendis,lego,VER,Case=Dat|Numb=Plur|Mood=Adj|Voice=Pass
auctoribus,avctor,NOM3,Case=Dat|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
innumerabiles,innvmerabilis,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
datum,do,ADJqua,Case=Nom|Numb=Sing|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,pes,ADJcar,Case=Gen|Numb=Sing
usus,vsvs,NOM4,Case=Nom|Numb=Sing
deinde,deinde,ADV,Deg=Pos
Horatii,horativs,NOM2,Case=Gen|Numb=Sing
consilio,consilivm,NOM2,Case=Abl|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
arte,ars,NOM3,Case=Abl|Numb=Sing
poetica,poetica,NOM1,Case=Abl|Numb=Sing|Deg=Pos
suadet,svadeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ne,ne,CONsub,MORPH=empty
praecipitetur,praecipito,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
editio,editio,NOM3,Case=Nom|Numb=Sing
nonum,nonvs,ADJord,Case=Nom|Numb=Sing|Deg=Pos
-que,qvovs,ADV,MORPH=empty
prematur,premo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
in,in,PRE,MORPH=empty
annum,annvs,NOM2,Case=Acc|Numb=Sing
dabam,do,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=1
iis,is,PROdem,Case=Dat|Numb=Plur
otium,otivm,NOM2,Case=Acc|Numb=Sing
ut,vt,CONsub,MORPH=empty
refrigerato,refrigero,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
inuentionis,inventio,NOM3,Case=Gen|Numb=Sing
amore,amor,NOM3,Case=Abl|Numb=Sing
diligentius,diligenter,ADV,Deg=Comp
repetitos,repeto,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
tanquam,tamqvam,ADVrel,MORPH=empty
lector,lector,NOM3,Case=Nom|Numb=Sing
perpenderem,perpendo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
sed,sed,CONcoo,MORPH=empty
si,si,CONsub,MORPH=empty
tanto,tantvs,PROdem,Case=Abl|Numb=Sing
opere,opvs,NOM3,Case=Abl|Numb=Sing
effagitantur,effagito,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
quam,qvam,ADVrel,MORPH=empty
tu,tv,PROper,Case=Nom|Numb=Sing
adfirmas,affirmo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
permittamus,permitto,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
uela,velvm,NOM2,Case=Acc|Numb=Plur
uentis,ventvs,NOM2,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
oram,ora,NOM1,Case=Acc|Numb=Sing
soluentibus,solvo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
bene,bene,ADV,Deg=Pos
precemur,precor,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=1
.,qvintvs,ADJcar,Case=Ind|Numb=Plur
multum,mvltvm,ADV,Deg=Pos
autem,avtem,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
tua,tvvs,PROpos,Case=Abl|Numb=Sing
quoque,qvoqve,ADV,Deg=Pos
fide,fides,NOM5,Case=Abl|Numb=Sing
ac,ac,CONcoo,MORPH=empty
diligentia,diligentia,NOM1,Case=Abl|Numb=Sing
positum,pono,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
in,in,PRE,MORPH=empty
manus,manvs,NOM4,Case=Acc|Numb=Plur
hominum,homo,NOM3,Case=Gen|Numb=Plur
quam,qvam,ADVint,MORPH=empty
emendatissimi,emendatvs,ADJqua,Case=Nom|Numb=Plur|Deg=Sup
ueniant,venio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Nom|Numb=Plur
