form,lemma,pos,morph
Diu,divivs,NOM2,Case=Voc|Numb=Sing
multum,mvltvm,ADV,Deg=Pos
-que,qvovs,CONcoo,MORPH=empty
dubitaui,dvbito,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
Stella,stella,NOM1,Case=Voc|Numb=Sing
iuuenis,ivvenis,NOM3,Case=Voc|Numb=Sing
optime,bene,ADV,Deg=Sup
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
studiis,stvdivm,NOM2,Case=Abl|Numb=Plur
nostris,noster,PROpos,Case=Abl|Numb=Plur
eminentissime,eminens,ADJqua,Case=Voc|Deg=Sup
qua,qvis,PROrel,Case=Abl|Numb=Sing
parte,pars,NOM3,Case=Abl|Numb=Sing
uoluisti,volo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
an,an,ADVint,MORPH=empty
hos,hic,PROdem,Case=Acc|Numb=Plur
libellos,libellvs,NOM2,Case=Acc|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
mihi,ego,PROper,Case=Dat|Numb=Sing
subito,svbitvs,ADJqua,Deg=Pos
calore,calor,NOM3,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
quadam,qvidam,PROind,Case=Abl|Numb=Sing
festinandi,festino,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
uoluptate,volvptas,NOM3,Case=Abl|Numb=Sing
fluxerunt,flvo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
cum,cvm,CONsub,MORPH=empty
singuli,singvlvs,ADJdis,Case=Nom|Numb=Plur
de,de,PRE,MORPH=empty
sinu,sinvs,NOM4,Case=Abl|Numb=Sing
meo,mevs,PROpos,Case=Abl|Numb=Sing
prodierint,prodeo,VER,Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
congregatos,congrego,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
ipse,ipse,PROdem,Case=Nom|Numb=Sing
dimitterem,dimitto,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Quid,qvis,PROint,Case=Acc|Numb=Sing
enim,enim,CONcoo,MORPH=empty
oportet,oportet,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
me,ego,PROper,Case=Acc|Numb=Sing
huius,hic,PROdem,Case=Gen|Numb=Sing
quoque,qvoqve,ADV,Deg=Pos
auctoritate,avctoritas,NOM3,Case=Abl|Numb=Sing
editionis,editio,NOM3,Case=Gen|Numb=Sing
onerari,onero,VER,Mood=Inf|Tense=Pres|Voice=Pass
qui,qvi,PROrel,Case=Nom|Numb=Sing
adhuc,adhvc,ADV,Deg=Pos
pro,pro,PRE,MORPH=empty
Thebaide,thebais,NOM2,Case=Abl|Numb=Sing
mea,mevs,PROpos,Case=Abl|Numb=Sing
quamuis,qvamvis,CONsub,MORPH=empty
me,ego,PROper,Case=Acc|Numb=Sing
reliquerit,relinqvo,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
timeo,timeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
Sed,sedis,NOM3,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
Culicem,cvlix,NOM3,Case=Acc|Numb=Sing
legimus,lego,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
et,et,CONcoo,MORPH=empty
Batrachomachiam,batrachomachia,NOM1,Case=Acc|Numb=Sing
etiam,etiam,ADV,Deg=Pos
agnoscimus,agnosco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
nec,nec,CONcoo,MORPH=empty
quisquam,qvisqvam,PROind,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
inlustrium,illvstris,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
poetarum,poeta,NOM1,Case=Gen|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
aliquid,aliqvis,PROind,Case=Acc|Numb=Sing
operibus,opvs,NOM3,Case=Abl|Numb=Plur
suis,svvs,PROpos.ref,Case=Abl|Numb=Plur
stilo,stilvs,NOM2,Case=Abl|Numb=Sing
remissiore,remissvs,ADJqua,Case=Abl|Numb=Sing|Deg=Comp
praeluserit,praelvdo,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Quid,qvis,PROint,Case=Nom|Numb=Sing
Quod,qvi,PROrel,Case=Nom|Numb=Sing
haec,hic,PROdem,Case=Nom|Numb=Sing
serum,servs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
continere,contineo,VER,Mood=Inf|Tense=Pres|Voice=Act
cum,cvm,PRE,MORPH=empty
illa,ille,PROdem,Case=Nom|Numb=Plur
uos,vos,PROper,Case=Nom|Numb=Plur
certe,certe,ADV,Deg=Pos
quorum,qvi,PROrel,Case=Gen|Numb=Plur
honori,honor,NOM3,Case=Dat|Numb=Sing
data,do,VER,Case=Nom|Numb=Plur|Mood=Ind|Tense=Perf|Voice=Pass
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
haberetis,habeo,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=2
Sed,sed,NOM3,Case=Acc|Numb=Sing
apud,apvd,PRE,MORPH=empty
ceteros,ceteri,NOM2,Case=Acc|Numb=Plur
necesse,necesse,ADJqua,Case=Ind|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
multum,mvltvm,ADV,Deg=Pos
illis,ille,PROdem,Case=Dat|Numb=Plur
pereat,pereo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ex,ex,PRE,MORPH=empty
uenia,venia,NOM1,Case=Abl|Numb=Sing
cum,cvm,CONsub,MORPH=empty
amiserint,amitto,VER,Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
quam,qvi,PROrel,Case=Acc
solam,solvs,PROind,Case=Acc|Numb=Sing
habuerunt,habeo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
gratiam,gratia,NOM1,Case=Acc|Numb=Sing
celeritatis,celeritas,NOM3,Case=Gen|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Sing
Nullum,nvllvs,NOM2,Case=Acc|Numb=Sing
enim,enim,CONcoo,MORPH=empty
ex,ex,PRE,MORPH=empty
illis,ille,PROdem,Case=Abl|Numb=Plur
biduo,bidvvm,NOM2,Case=Abl|Numb=Sing
longius,longe,ADV,Deg=Comp
tractum,traho,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
quaedam,qvidam,PROind,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
singulis,singvlvs,ADJdis,Case=Abl|Numb=Plur
diebus,dies,NOM5,Case=Abl|Numb=Plur
effusa,effvndo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Pass
;,o,PRE,MORPH=empty
quam,qvi,PROrel,Case=Acc|Numb=Sing
timeo,timeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
ne,ne,CONsub,MORPH=empty
uerum,vervm,CONcoo,MORPH=empty
istuc,istic,PROdem,Case=Acc|Numb=Sing
uersus,versvs,NOM4,Case=Nom|Numb=Plur
quoque,qvoqve,ADV,Deg=Pos
ipsi,ipse,PROdem,Case=Nom|Numb=Plur
de,de,PRE,MORPH=empty
se,svi,PROref,Case=Abl|Numb=Sing
probent,probo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Primus,primvs,NOM2,Case=Nom|Numb=Sing
libellus,libellvs,NOM2,Case=Nom|Numb=Sing
sacrosanctum,sacrosanctvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
habet,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
testem,testis,NOM3,Case=Acc|Numb=Sing
sumendum,svmo,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
enim,enim,CONcoo,MORPH=empty
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
a,ab,PRE,MORPH=empty
Ioue,ivppiter,NOM3,Case=Abl|Numb=Sing
principium,principivm,NOM2,Case=Nom|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Centum,centvs,NOM2,Case=Acc|Numb=Sing
hos,hic,PROdem,Case=Acc|Numb=Plur
uersus,versvs,NOM4,Case=Acc|Numb=Plur
quos,qvi,PROrel,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
equum,eqvvs,NOM2,Case=Acc|Numb=Sing
maximum,magnvs,ADJqua,Case=Acc|Numb=Sing|Deg=Sup
feci,facio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
indulgentissimo,indvlgens,ADJqua,Case=Dat|Numb=Sing|Deg=Sup
imperatori,imperator,NOM3,Case=Dat|Numb=Sing
postero,postervs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
die,dies,NOM5,Case=Abl|Numb=Sing
quam,qvi,PROrel,Case=Acc|Numb=Sing
dedicauerat,dedico,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
opus,opvs,NOM3,Case=Acc|Numb=Sing
tradere,trado,VER,Mood=Inf|Tense=Pres|Voice=Act
iussus,ivbeo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
sum,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Sing
Potuisti,potvistvs,NOM3,Case=Dat|Numb=Sing
illud,ille,PROdem,Case=Acc|Numb=Sing
dicet,dico,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
aliquis,aliqvis,PROind,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
ante,ante,ADV,Deg=Pos
uidisse,video,VER,Mood=Inf|Tense=Perf|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Respondebis,respondeo,VER,Case=Gen|Numb=Sing
illi,ille,PROdem,Case=Dat|Numb=Sing
tu,tv,PROper,Case=Nom|Numb=Sing
Stella,stella,NOM1,Case=Voc|Numb=Sing
carissime,carvs,ADJqua,Case=Voc|Numb=Sing|Deg=Sup
qui,qvi,PROrel,Case=Nom|Numb=Sing
epithalamio,epithalamivm,NOM2,Case=Abl|Numb=Sing
-ne,one,CONsub,MORPH=empty
tuum,tvvs,PROpos,Case=Acc|Numb=Sing
quod,qvi,PROrel,Case=Acc|Numb=Sing
mihi,ego,PROper,Case=Dat|Numb=Sing
iniunxeras,inivngo,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=2
scis,scio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
biduo,bidvvm,NOM2,Case=Abl|Numb=Sing
scriptum,scribo,VER,Case=Acc|Numb=Sing|Mood=Inf|Tense=Perf|Voice=Pass
.,vnvs,ADJcar,Case=Acc|Numb=Sing
Audacter,avdacter,NOM2,Case=Nom|Numb=Sing
mehercles,mehercles,INJ,Numb=Sing|Voice=Act|Person=2
sed,sed,CONcoo,MORPH=empty
ter,ter,ADJadv.mul,MORPH=empty
centum,centvm,ADJcar,Case=Ind
tamen,tamen,ADV,Deg=Pos
hexametros,hexametra,NOM2,Case=Acc|Numb=Plur
habet,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
fortasse,fortasse,ADV,Deg=Pos
tu,tv,PROper,Case=Nom|Numb=Sing
pro,pro,PRE,MORPH=empty
collega,collega,NOM1,Case=Abl|Numb=Sing
mentions,mentior,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Dep
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Manilius,manilivs,NOM2,Case=Nom|Numb=Sing
