form,lemma,pos,morph
Quam,qvi,PROrel,Case=Acc|Numb=Sing
puero,pver,NOM2,Case=Dat|Numb=Sing
legem,lex,NOM3,Case=Acc|Numb=Sing
fertur,fero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
dixisse,dico,VER,Mood=Inf|Tense=Perf|Voice=Act
Priapus,priapvs,NOM2,Case=Nom|Numb=Sing
uersibus,versvs,NOM4,Case=Abl|Numb=Plur
haec,hic,PROdem,Case=Nom|Numb=Plur
infra,infra,PRE,MORPH=empty
scripta,scriptvm,NOM2,Case=Acc|Numb=Plur
duobus,dvo,ADJcar,Case=Dat|Numb=Plur
erit,svm,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
quod,qvi,PROrel,Case=Acc
meus,mevs,PROpos,Case=Nom|Numb=Sing
hortus,hortvs,NOM2,Case=Nom|Numb=Sing
habet,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sumas,svmo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
impune,impvne,ADV,Deg=Pos
licebit,licet,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
si,si,CONsub,MORPH=empty
dederis,do,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
nobis,nos,PROper,Case=Dat|Numb=Plur
quod,qvi,PROrel,Case=Acc|Numb=Sing
tuus,tvvs,PROpos,Case=Nom|Numb=Sing
hortus,hortvs,NOM2,Case=Nom|Numb=Sing
habet,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,,PRE,MORPH=empty
.,vnvs,ADJcar,Case=Acc|Numb=Plur
