form,lemma,pos,morph
At,at,NOM2,Case=Nom|Numb=Sing
noua,novvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
Romuleum,romvlevs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
carpebat,carpo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
cura,cvra,NOM1,Case=Nom|Numb=Sing
senatum,senatvs,NOM4,Case=Acc|Numb=Sing
quis,qvis,PROint,Case=Abl|Numb=Sing
trepidas,trepidvs,ADJqua,Case=Acc|Numb=Plur|Person=2
gentes,gens,NOM3,Case=Acc|Numb=Plur
Martem,mars,NOM3,Case=Acc|Numb=Sing
-que,qvove,CONcoo,MORPH=empty
subiret,svbeo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
Hiberum,ibervs,NOM2,Case=Acc|Numb=Sing
attritis,attero,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
rebus,res,NOM5,Case=Abl|Numb=Plur
.,qvinqvaginta,ADJcar,Case=Ind|Numb=Plur
geminus,geminvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
iacet,iaceo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
hoste,hostis,NOM3,Case=Abl|Numb=Sing
superbo,svperbvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
Scipio,scipio,NOM3,Case=Nom|Numb=Sing
belligeri,belliger,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
Mauortia,martivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
pectora,pectvs,NOM3,Case=Nom|Numb=Plur
fratres,frater,NOM3,Case=Nom|Numb=Plur
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
hinc,hinc,ADV,Deg=Pos
metus,metvs,NOM4,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
Tyrias,tyrivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
ne,ne,CONsub,MORPH=empty
iam,iam,ADV,Deg=Pos
Tartessia,tartessivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
leges,lex,NOM3,Case=Acc|Numb=Plur
concedat,concedo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
tellus,tellvs,NOM3,Case=Nom|Numb=Sing
propiora,propior,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
-que,qvove,CONcoo,MORPH=empty
bella,bellvm,NOM2,Case=Acc|Numb=Plur
pauescat,pavesco,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Gen|Numb=Plur
anxia,anxivs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
turba,tvrba,NOM1,Case=Abl|Numb=Sing
patrum,pater,NOM3,Case=Gen|Numb=Plur
quasso,qvassvs,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
medicamina,medicamen,NOM3,Case=Acc|Numb=Plur
maesti,maestvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
imperio,imperivm,NOM2,Case=Abl|Numb=Sing
circumspectant,circvmspecto,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
diuos,divvs,NOM2,Case=Acc|Numb=Plur
-que,qvovs,CONcoo,MORPH=empty
precantur,precor,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
qui,qvi,PROrel,Case=Nom|Numb=Sing
laceris,lacer,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
ausit,avdeo,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
ductor,dvctor,NOM3,Case=Nom|Numb=Sing
succedere,svccedo,VER,Mood=Inf|Tense=Pres|Voice=Act
castris,castra,NOM2,Case=Abl|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Absterret,absterreo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
iuuenem,ivvenis,NOM3,Case=Acc|Numb=Sing
patrios,patrivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
patrui,patrvvs,NOM2,Case=Gen|Numb=Sing
-que,qvavis,CONcoo,MORPH=empty
piare,pio,VER,Mood=Inf|Tense=Pres|Voice=Act
optantem,opto,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
manis,manes,NOM3,Case=Acc|Numb=Plur
tristi,tristis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
conterrita,conterreo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
luctu,lvctvs,NOM4,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
reputans,repvto,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
annos,annvs,NOM2,Case=Acc|Numb=Plur
cognato,cognatvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
sanguine,sangvis,NOM3,Case=Abl|Numb=Sing
turba,tvrba,NOM1,Case=Nom|Numb=Sing
si,si,CONsub,MORPH=empty
gentem,gens,NOM3,Case=Acc|Numb=Sing
petat,peto,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
infaustam,infavstvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
inter,inter,PRE,MORPH=empty
busta,bvstvm,NOM2,Case=Acc|Numb=Plur
suorum,svvs,PROpos.ref,Case=Gen|Numb=Plur
decertandum,decerto,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Pass
hosti,hostis,NOM3,Case=Dat|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
fregerit,frango,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
arma,arma,NOM2,Case=Acc|Numb=Plur
duorum,dvo,ADJcar,Case=Gen|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
consulta,consvltvm,NOM2,Case=Acc|Numb=Plur
ducum,dvx,NOM3,Case=Gen|Numb=Plur
ac,ac,CONcoo,MORPH=empty
flagret,flagro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
meliore,bonvs,ADJqua,Case=Abl|Numb=Sing|Deg=Comp
Gradiuo,gradivvs,NOM2,Case=Abl|Numb=Sing|Deg=Pos
nec,nec,CONcoo,MORPH=empty
promptum,promptvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
teneris,tener,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
immania,immanis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
bella,bellvm,NOM2,Case=Acc|Numb=Plur
lacertis,lacertvs,NOM2,Case=Abl|Numb=Plur
moliri,molior,VER,Mood=Inf|Tense=Pres|Voice=Dep
regimen,regimen,NOM3,Case=Acc|Numb=Sing
-que,qvove,CONcoo,MORPH=empty
rudi,rvdis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
deposcere,deposco,VER,Mood=Inf|Tense=Pres|Voice=Act
in,in,PRE,MORPH=empty
aeuo,aevvm,NOM2,Case=Abl|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Has,has,NOM3,Case=Nom|Numb=Sing
lauri,lavrvs,NOM2,Case=Gen|Numb=Sing
residens,resideo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
iuuenis,ivvenis,NOM3,Case=Nom|Numb=Sing
uiridante,virido,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
sub,svb,PRE,MORPH=empty
umbra,vmbra,NOM1,Case=Abl|Numb=Sing
aedibus,aedes,NOM3,Case=Abl|Numb=Plur
extremis,exter,ADJqua,Case=Abl|Numb=Plur|Deg=Sup
uoluebat,volvo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
pectore,pectvs,NOM3,Case=Abl|Numb=Sing
curas,cvra,NOM1,Case=Acc|Numb=Plur
cum,cvm,CONsub,MORPH=empty
subito,svbito,ADV,Deg=Pos
adsistunt,assisto,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
dextra,dextera,NOM1,Case=Abl|Numb=Sing
laeua,laeva,NOM1,Case=Abl|Numb=Sing|Deg=Pos
-que,qvove,CONcoo,Deg=Pos
per,per,PRE,MORPH=empty
auras,avra,NOM1,Case=Acc|Numb=Plur
adlapsae,allabor,VER,Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep
haud,havd,ADVneg,MORPH=empty
paulum,pavlvm,ADV,Deg=Pos
mortali,mortalis,NOM3,Case=Abl|Numb=Sing|Deg=Pos
maior,magnvs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
imago,imago,NOM3,Case=Nom|Numb=Sing
hinc,hinc,ADV,Deg=Pos
Virtus,virtvs,NOM3,Case=Nom|Numb=Sing
illinc,illinc,ADV,Deg=Pos
Virtuti,virtvs,NOM3,Case=Dat|Numb=Sing
inimica,inimicvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Voluptas,volvptas,NOM1,Case=Nom|Numb=Sing
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
altera,alter,PROind,Case=Nom|Numb=Sing
Achaemenium,achaemenivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
spirabat,spiro,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
uertice,vertex,NOM3,Case=Abl|Numb=Sing
odorem,odor,NOM3,Case=Acc|Numb=Sing
ambrosias,ambrosia,NOM1,Case=Acc|Numb=Plur
diffusa,diffvndo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
comas,coma,NOM1,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
ueste,vestis,NOM3,Case=Abl|Numb=Sing
refulgens,refvlgeo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
ostrum,ostrvm,NOM2,Case=Acc|Numb=Sing
qua,qvi,PROrel,Case=Abl|Numb=Sing
fuluo,fvlvvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
Tyrium,tyrivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
suffuderat,svffvndo,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
auro,avrvm,NOM2,Case=Abl|Numb=Sing
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
fronte,frons,NOM3,Case=Abl|Numb=Sing
decor,decor,NOM3,Case=Nom|Numb=Sing
quaesitus,qvaero,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
acu,acvs,NOM4,Case=Abl|Numb=Sing
lasciua,lascivvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
-que,qvove,CONcoo,MORPH=empty
crebras,creber,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
ancipiti,anceps,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
motu,motvs,NOM4,Case=Abl|Numb=Sing
iaciebant,iacio,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
lumina,lvmen,NOM3,Case=Acc|Numb=Plur
flammas,flamma,NOM1,Case=Acc|Numb=Plur
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
alterius,alter,PROind,Case=Gen|Numb=Sing
dispar,dispar,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
habitus,habitvs,NOM4,Case=Nom|Numb=Sing
frons,frons,NOM3,Case=Nom|Numb=Sing
hirta,hirtvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
nec,nec,CONcoo,MORPH=empty
umquam,vmqvam,ADV,Deg=Pos
composita,compono,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
mutata,mvto,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass|Person=3
coma,coma,NOM1,Case=Abl|Numb=Sing
stans,sto,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
uultus,vvltvs,NOM4,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
ore,os,NOM3,Case=Abl|Numb=Sing
incessu,incessvs,NOM4,Case=Abl|Numb=Sing
-que,qvivis,CONcoo,MORPH=empty
uiro,vir,NOM2,Case=Abl|Numb=Sing
propior,propior,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
laeti,laetvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
-que,qvove,CONcoo,MORPH=empty
pudoris,pvdor,NOM3,Case=Gen|Numb=Sing
celsa,celsvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
umeros,hvmervs,NOM2,Case=Acc|Numb=Plur
niueae,nivevs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
fulgebat,fvlgeo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
stamine,stamen,NOM3,Case=Abl|Numb=Sing
pallae,palla,NOM1,Case=Gen|Numb=Sing
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
Occupat,occvpo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
inde,inde,ADV,Deg=Pos
prior,prior,ADJord,Case=Nom|Numb=Sing|Deg=Comp
promissis,promissvm,NOM2,Case=Abl|Numb=Plur
fisa,fido,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
Voluptas,volvptas,NOM1,Case=Nom|Numb=Sing
Quis,qvi,PROrel,Case=Dat|Numb=Plur
furor,fvror,NOM3,Case=Nom|Numb=Sing
hic,hic,ADV,MORPH=empty
non,non,ADVneg,MORPH=empty
digne,digne,ADJqua,Case=Voc|Deg=Pos
puer,pver,NOM2,Case=Voc|Numb=Sing
consumere,consvmo,VER,Mood=Inf|Tense=Pres|Voice=Act
bello,bellvm,NOM2,Case=Dat|Numb=Sing
florem,flos,NOM3,Case=Acc|Numb=Sing
aeui,aevvm,NOM2,Case=Gen|Numb=Sing
Cannaene,cannaenvs,NOM2,Case=Voc|Numb=Sing
tibi,tv,PROper,Case=Dat|Numb=Sing
grauior,gravis,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
-que,qvisqve,CONcoo,Case=Abl
palude,palvs,NOM3,Case=Abl|Numb=Sing
Maeonius,maeonivs,NOM2,Case=Nom|Numb=Sing
Stygia,stygivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
lacus,lacvs,NOM4,Case=Acc|Numb=Plur
excessere,excedo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Padus,padvs,NOM2,Case=Nom|Numb=Sing
-que,qvavis,CONcoo,MORPH=empty
quem,qvi,PROrel,Case=Acc|Numb=Sing
tandem,tandem,ADV,Deg=Pos
ad,ad,PRE,MORPH=empty
finem,finis,NOM3,Case=Acc|Numb=Sing
bellando,bello,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
fata,fatvm,NOM2,Case=Acc|Numb=Plur
lacesses,lacesso,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Act|Person=2
tune,tvneo,VER,Numb=Sing|Mood=Imp|Person=2
etiam,etiam,ADV,Deg=Pos
temptare,tento,VER,Mood=Inf|Tense=Pres|Voice=Act
paras,paro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
Atlantica,atlanticvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
regna,regnvm,NOM2,Case=Acc|Numb=Plur
Sidonias,sidonivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
-que,qvove,CONcoo,MORPH=empty
domos,domvs,NOM2,Case=Acc|Numb=Plur
moneo,moneo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
certare,certo,VER,Mood=Inf|Tense=Pres|Voice=Act
periclis,pericvlvm,NOM2,Case=Abl|Numb=Plur
desine,desino,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
et,et,CONcoo,MORPH=empty
armisonae,armisonvs,ADJqua,Case=Dat|Numb=Sing|Deg=Pos
caput,capvt,NOM3,Case=Acc|Numb=Sing
obiectare,obiecto,VER,Mood=Inf|Tense=Pres|Voice=Act
procellae,procella,NOM1,Case=Gen|Numb=Plur
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
ni,ni,CONsub,MORPH=empty
fugis,fvgio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
hos,hic,PROdem,Case=Acc|Numb=Plur
ritus,ritvs,NOM4,Case=Acc|Numb=Plur
Virtus,virtvs,NOM3,Case=Nom|Numb=Sing
te,tv,PROper,Case=Acc|Numb=Sing
saeua,saevvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
iubebit,ivbeo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
per,per,PRE,MORPH=empty
medias,medivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
