form,lemma,pos,morph
Eodem,eodes,NOM3,Case=Acc|Numb=Sing
tempore,tempvs,NOM3,Case=Abl|Numb=Sing
quidam,qvidam,PROind,Case=Nom|Numb=Sing
Vincentius,vincentivs,NOM2,Case=Nom|Numb=Sing
Victor,victor,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
Mauritania,mavritania,NOM1,Case=Abl|Numb=Sing
Caesariensi,caesariensis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
inuenit,invenio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
apud,apvd,PRE,MORPH=empty
Hispanum,hispanvs,NOM2,Case=Acc|Numb=Sing
quendam,qvidam,PROind,Case=Acc|Numb=Sing
presbyterum,presbyter,ADJqua,Case=Acc|Numb=Sing
Petrum,petrvs,NOM2,Case=Acc|Numb=Sing
nonnullum,nonnvllvs,PROind,Case=Acc|Numb=Sing
opusculum,opvscvlvm,NOM2,Case=Acc|Numb=Sing
meum,mevs,PROpos,Case=Acc|Numb=Sing
ubi,vbi,CONsub,MORPH=empty
quodam,qvidam,PROind,Case=Abl|Numb=Sing
loco,locvs,NOM2,Case=Abl|Numb=Sing
de,de,PRE,MORPH=empty
origine,origo,NOM3,Case=Abl|Numb=Sing
animae,anima,NOM1,Case=Gen|Numb=Sing
hominum,homo,NOM3,Case=Gen|Numb=Plur
singulorum,singvlvs,ADJdis,Case=Gen|Numb=Plur
utrum,vtrvm,ADVint,MORPH=empty
ex,ex,PRE,MORPH=empty
illa,ille,PROdem,Case=Abl|Numb=Sing
primi,primvs,ADJord,Case=Gen|Numb=Sing|Deg=Sup
hominis,homo,NOM3,Case=Gen|Numb=Sing
ac,ac,CONcoo,MORPH=empty
deinde,deinde,ADV,Deg=Pos
ex,ex,PRE,MORPH=empty
parentibus,parens,NOM3,Case=Abl|Numb=Plur
propagentur,propago,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
an,an,ADVint,MORPH=empty
sicut,sicvt,ADVrel,MORPH=empty
illi,ille,PROdem,Case=Nom|Numb=Plur
uni,vnvs,ADJcar,Case=Dat|Numb=Plur
sine,sine,PRE,MORPH=empty
ulla,vllvs,PROind,Case=Abl|Numb=Sing
propagatione,propagatio,NOM3,Case=Abl|Numb=Sing
singulae,singvlvs,ADJdis,Case=Nom|Numb=Plur
singulis,singvlvs,ADJdis,Case=Dat|Numb=Plur
dentur,do,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
me,ego,PROper,Case=Acc|Numb=Sing
nescire,nescio,VER,Mood=Inf|Tense=Pres|Voice=Act
confessus,confiteor,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
sum,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
uerum,vervm,CONcoo,Case=Acc|Numb=Sing
tamen,tamen,ADV,Deg=Pos
scire,scio,VER,Mood=Inf|Tense=Pres|Voice=Act
animam,anima,NOM1,Case=Acc|Numb=Sing
non,non,ADVneg,MORPH=empty
corpus,corpvs,NOM3,Case=Acc|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
sed,sed,CONcoo,MORPH=empty
spiritum,spiritvs,NOM4,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
contra,contra,PRE,MORPH=empty
ista,iste,PROdem,Case=Acc|Numb=Plur
mea,mevs,PROpos,Case=Acc|Numb=Plur
ad,ad,PRE,MORPH=empty
eundem,idem,PROdem,Case=Acc|Numb=Sing
Petrum,petrvs,NOM2,Case=Acc|Numb=Sing
scripsit,scribo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ille,ille,PROdem,Case=Nom|Numb=Sing
duos,dvo,ADJcar,Case=Acc|Numb=Plur
libros,liber,NOM2,Case=Acc|Numb=Plur
quos,qvi,PROrel,Case=Acc|Numb=Plur
mihi,ego,PROper,Case=Dat|Numb=Sing
de,de,PRE,MORPH=empty
Caesarea,caesarevs,NOM1,Case=Abl|Numb=Sing|Deg=Pos
Renatus,renatvs,NOM2,Case=Nom|Numb=Sing
monachus,monacvs,NOM2,Case=Nom|Numb=Sing
misit,mitto,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
quibus,qvi,PROrel,Case=Abl|Numb=Plur
ego,ego,PROper,Case=Nom|Numb=Sing
lectis,lectvs,NOM2,Case=Abl|Numb=Plur
responsione,responsio,NOM3,Case=Abl|Numb=Sing
mea,mevs,PROpos,Case=Abl|Numb=Sing
quattuor,qvatvor,ADJcar,Case=Ind
reddidi,reddo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
