form,lemma,pos,morph
I,vnvs,ADJcar,Case=Acc|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
De,de,NOM2,Case=Nom|Numb=Sing
capitis,capvt,NOM3,Case=Gen|Numb=Sing
passione,passio,NOM3,Case=Abl|Numb=Sing
quam,qvi,PROrel,Case=Acc
Graeci,graeci,NOM2,Case=Nom|Numb=Plur|Deg=Pos
cephalaea,cephalae,NOM1,Case=Nom|Numb=Plur
-ne,ne,CONsub,MORPH=empty
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
II,dvo,ADJcar,Case=Acc|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
De,decemites,NOM2,Case=Nom|Numb=Sing
scotomaticis,scotomaticvs,NOM2,Case=Dat|Numb=Plur|Deg=Pos
III,tres,ADJcar,Case=Gen|Numb=Plur
.,qvinqvaginta,ADJcar,Case=Ind|Numb=Plur
De,decenti,NOM2,Case=Abl|Numb=Sing
incubone,incvbo,NOM3,Case=Abl|Numb=Sing
IV,qvatvor,ADJcar,Case=Abl|Numb=Sing
.,qvinvs,ADJcar,Case=Acc|Numb=Plur
De,decenti,NOM2,Case=Nom|Numb=Sing
epilepsia,epilepsia,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
V,qvinqve,ADJcar,Case=Ind
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
De,decenti,NOM2,Case=Nom|Numb=Sing
furore,fvror,NOM3,Case=Abl|Numb=Sing
siue,sive,CONcoo,MORPH=empty
insania,insania,NOM1,Case=Abl|Numb=Sing
quam,qvi,PROrel,Case=Acc|Numb=Sing
Graeci,graeci,NOM2,Case=Nom|Numb=Plur|Deg=Pos
mania,manea,NOM3,Case=Acc|Numb=Plur
-ne,ne,CONsub,MORPH=empty
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
VI,sex,ADJcar,Case=Ind
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
De,decenti,NOM7,Case=Acc|Numb=Sing
melancholia,melancholivm,NOM2,Case=Acc|Numb=Plur
A,aeqva,ADJcar,Case=Abl|Numb=Sing
parte,pars,NOM3,Case=Abl|Numb=Sing
corporis,corpvs,NOM3,Case=Gen|Numb=Sing
quae,qvi,PROrel,Case=Nom|Numb=Sing
patitur,patior,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
passio,passio,NOM3,Case=Nom|Numb=Sing
nomen,nomen,NOM3,Case=Acc|Numb=Sing
accepit,accipio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
nam,nam,CONcoo,MORPH=empty
cephale,cephale,NOM3,Case=Nom|Numb=Sing
-ne,ne,CONsub,MORPH=empty
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
caput,capvt,NOM3,Case=Acc|Numb=Sing
uocauerunt,voco,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvadranta,ADJcar,Case=Ind|Numb=Plur
Generatur,genero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
autem,avtem,CONcoo,MORPH=empty
saepius,saepe,ADV,Deg=Comp
perfrictione,perfrictio,NOM3,Case=Abl|Numb=Sing
aut,avt,CONcoo,MORPH=empty
frigiditate,frigiditas,NOM3,Case=Abl|Numb=Sing
aut,avt,CONcoo,MORPH=empty
e,ex,PRE,MORPH=empty
contrario,contrarivm,NOM2,Case=Abl|Numb=Sing|Deg=Pos
solis,sol,NOM3,Case=Gen|Numb=Sing
exustione,exvstio,NOM3,Case=Abl|Numb=Sing
aut,avt,CONcoo,MORPH=empty
continuatione,continvatio,NOM3,Case=Abl|Numb=Sing
uigiliarum,vigilia,NOM1,Case=Gen|Numb=Plur
.,qvinqvaginta,ADJcar,Case=Gen|Numb=Plur
sed,sed,CONcoo,MORPH=empty
uehementius,vehementer,ADV,Deg=Comp
feminas,femina,NOM1,Case=Acc|Numb=Plur
