form,lemma,pos,morph
De,decenti,NOM2,Case=Nom|Numb=Sing
elephantiasi,elephantiadeo,VER,Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
De,decenti,NOM7,Case=Abl|Numb=Sing
phthiriasi,phirhiriasvs,NOM2,Numb=Sing
De,de,NOM2,Case=Nom|Numb=Sing
uentriculosis,ventricvlosvs,NOM2,Case=Abl|Numb=Plur|Deg=Pos
quos,qvi,PROrel,Case=Acc|Numb=Plur
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
coeliacos,coeliacvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
ceteris,cetervs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
defluxionibus,deflvxio,NOM3,Case=Abl|Numb=Plur
De,de,NOM2,Case=Abl|Numb=Sing
uentris,venter,NOM3,Case=Gen|Numb=Sing
debilitate,debilitas,NOM3,Case=Abl|Numb=Sing
De,des,NOM2,Case=Abl|Numb=Sing
uentris,venter,NOM3,Case=Gen|Numb=Sing
tumore,tvmor,NOM3,Case=Abl|Numb=Sing
uel,vel,CONcoo,MORPH=empty
duritia,dvritia,NOM1,Case=Abl|Numb=Sing
De,de,NOM2,Case=Abl|Numb=Sing
dysenteria,dysenterivm,NOM1,Case=Abl|Numb=Sing
De,de,NOM2,Case=Abl|Numb=Sing
cholicis,cholex,NOM3,Case=Gen|Numb=Sing
passionibus,passio,NOM3,Case=Abl|Numb=Plur
De,de,NOM2,Case=Abl|Numb=Sing
lumbricis,lvmbricvs,NOM2,Case=Abl|Numb=Plur
De,de,NOM2,Case=Abl|Numb=Sing
mollibus,mollis,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
siue,sive,CONcoo,MORPH=empty
subactis,svbigo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
quos,qvi,PROrel,Case=Acc|Numb=Plur
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
