form,lemma,pos,morph
De,de,NOM2,Case=Nom|Numb=Sing
abstinentia,abstinentia,NOM1,Case=Abl|Numb=Sing
menstruali,menstrvalis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
difficili,difficilis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
atque,atqve,CONcoo,MORPH=empty
dolida,dolidvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
purgatione,pvrgatio,NOM3,Case=Abl|Numb=Sing
De,de,NOM2,Case=Abl|Numb=Sing
tumore,tvmor,NOM3,Case=Abl|Numb=Sing
matricis,matricvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
De,de,NOM2,Case=Abl|Numb=Sing
satiriasi,satiriadesco,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
De,de,NOM2,Case=Abl|Numb=Sing
prefocatione,prefocatio,NOM3,Case=Abl|Numb=Sing
matricis,matricvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
De,de,NOM5,Case=Abl|Numb=Sing
extenssione,extenssio,NOM3,Case=Abl|Numb=Sing
matricis,matricvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
De,de,NOM2,Case=Abl|Numb=Sing
matricis,matricvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
inflatione,inflatiotio,NOM3,Case=Abl|Numb=Sing
De,de,NOM2,Case=Abl|Numb=Sing
tumenti,tvmeo,VER,Case=Dat|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
matrice,matricvs,NOM2,Case=Abl|Numb=Sing
De,de,NOM2,Case=Nom|Numb=Sing
duritia,dvritia,NOM1,Case=Abl|Numb=Sing
matricis,matricvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
De,de,NOM5,Case=Abl|Numb=Sing
mola,mola,NOM1,Case=Abl|Numb=Sing
quam,qvi,PROrel,Case=Acc|Numb=Sing
Greci,greci,NOM2,Case=Nom|Numb=Sing
milem,miles,NOM3,Case=Acc|Numb=Sing
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
De,de,NOM2,Case=Nom|Numb=Sing
fluore,flvor,NOM3,Case=Abl|Numb=Sing
sanguinis,sangvis,NOM3,Case=Gen|Numb=Sing
per,per,PRE,MORPH=empty
matricem,matrix,NOM3,Case=Acc|Numb=Sing
De,de,NOM2,Case=Abl|Numb=Sing
fluore,flvor,NOM3,Case=Abl|Numb=Sing
muliebri,mvliebris,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
secundum,secvndvm,PRE,Deg=Pos
ueteres,vetvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
De,de,NOM2,Case=Nom|Numb=Sing
seminis,semen,NOM3,Case=Gen|Numb=Sing
lapsu,lapsvs,NOM4,Case=Abl|Numb=Sing
De,de,NOM2,Case=Nom|Numb=Sing
matricis,matricvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
debilitate,debilitas,NOM3,Case=Abl|Numb=Sing
De,de,NOM2,Case=Abl|Numb=Sing
paralisi,paralis,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
matricis,matricvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
De,de,NOM2,Case=Abl|Numb=Sing
matricis,matricvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
inclinationibus,inclinatio,NOM3,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
inuersionibus,inversio,NOM3,Case=Abl|Numb=Plur
De,de,NOM2,Case=Abl|Numb=Sing
sterilitate,sterilitas,NOM3,Case=Abl|Numb=Sing
quam,qvi,PROrel,Case=Acc|Numb=Sing
Greci,greci,NOM2,Case=Nom|Numb=Plur
stirosim,stirosim,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uel,vel,CONcoo,MORPH=empty
aconiam,aconia,NOM1,Case=Acc|Numb=Sing
quod,qvi,PROrel,Case=Acc|Numb=Sing
generare,genero,VER,Mood=Inf|Tense=Pres|Voice=Act
non,non,ADVneg,MORPH=empty
sinat,sino,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
De,de,NOM2,Case=Nom|Numb=Sing
difficili,difficilis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
laborioso,laboriosvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
partu,partvs,NOM4,Case=Abl|Numb=Sing
De,de,NOM5,Case=Abl|Numb=Sing
preparatione,preparatio,NOM3,Case=Abl|Numb=Sing
rerum,res,NOM5,Case=Gen|Numb=Plur
ad,ad,PRE,MORPH=empty
difficultatem,difficvltas,NOM3,Case=Acc|Numb=Sing
partus,partvs,NOM4,Case=Gen|Numb=Plur
necessariarum,necessarivs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
male,male,ADV,Deg=Pos
parientium,pario,VER,Case=Gen|Numb=Plur
diligentia,diligentia,NOM1,Case=Abl|Numb=Sing
De,de,NOM2,Case=Nom|Numb=Sing
fetu,fetvs,NOM4,Case=Abl|Numb=Sing
extrahendo,extraho,VER,Case=Abl|Numb=Sing|Mood=Adj|Voice=Pass
uel,vel,CONcoo,MORPH=empty
decidendo,decido,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
quod,qvod,CONsub,MORPH=empty
Greci,grecvs,NOM2,Case=Gen|Numb=Sing
embriulcia,embrivlcia,NOM1,Case=Abl|Numb=Sing
-ne,ne,CONsub,MORPH=empty
uel,vel,CONcoo,MORPH=empty
embriotomia,embriotomia,NOM1,Case=Abl|Numb=Sing
-ne,ne,CONsub,MORPH=empty
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
