form,lemma,pos,morph
Vos,vos,NOM2,Case=Nom|Numb=Sing
etiam,etiam,ADV,Deg=Pos
quos,qvi,PROrel,Case=Acc|Numb=Plur
nulla,nvllvs,PROind,Case=Nom|Numb=Sing
mihi,ego,PROper,Case=Dat|Numb=Sing
cognatio,cognatio,NOM3,Case=Nom|Numb=Sing
iunxit,ivngo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
set,sed,CONcoo,MORPH=empty
fama,fama,NOM1,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
carae,carvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
relligio,religio,NOM3,Case=Abl|Numb=Sing
patriae,patria,NOM1,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
studium,stvdivm,NOM2,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
libris,liber,NOM2,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
sedula,sedvlvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
cura,cvra,NOM1,Case=Abl|Numb=Sing
docendi,doceo,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
commemorabo,commemoro,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
uiros,vir,NOM2,Case=Acc|Numb=Plur
morte,mors,NOM3,Case=Abl|Numb=Sing
obita,obeo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf
celebres,celeber,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
fors,fors,NOM3,Case=Nom|Numb=Sing
erit,svm,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
nostros,noster,PROpos,Case=Acc|Numb=Plur
manes,manes,NOM3,Case=Acc|Numb=Plur
sic,sic,ADV,Deg=Pos
adserat,assero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
olim,olim,ADV,Deg=Pos
exemplo,exemplvm,NOM2,Case=Abl|Numb=Sing
cupiet,cvpio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
qui,qvi,PROrel,Case=Nom|Numb=Sing
pius,pivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
meo,mevs,PROpos,Case=Dat|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
