form,lemma,pos,morph
LAIS,qvas,ADJord,Case=Nom|Numb=Sing
anus,anvs,NOM4,Case=Nom|Numb=Sing
Veneri,venvs,NOM3,Case=Dat|Numb=Sing
speculum,specvlvm,NOM2,Case=Acc|Numb=Sing
dico,dico,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
dignum,dignvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
habeat,habeo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
se,svi,PROref,Case=Acc|Numb=Sing
aeterna,aeternvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
aeternum,aeternvm,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
forma,forma,NOM1,Case=Abl|Numb=Sing
ministerium,ministerivm,NOM2,Case=Acc|Numb=Sing
at,at,CONcoo,MORPH=empty
mihi,ego,PROper,Case=Dat|Numb=Sing
nullus,nvllvs,PROind,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
hoc,hic,PROdem,Case=Abl|Numb=Sing
usus,vtor,VER,Case=Nom|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Dep|Person=1
quia,qvia,CONsub,MORPH=empty
cernere,cerno,VER,Mood=Inf|Tense=Pres|Voice=Act
talem,talis,PROdem,Case=Acc|Numb=Sing
qualis,qvalis,PROrel,Case=Nom|Numb=Sing
sum,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
nolo,nolo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
qualis,qvalis,PROint,Case=Nom|Numb=Sing
eram,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=1
nequeo,neqveo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
