form,lemma,pos,morph
Nomina,nomina,NOM1,Case=Nom|Numb=Sing
carorum,carvs,ADJqua,Case=Gen|Numb=Plur
iam,iam,ADV,Deg=Pos
condita,condo,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
funere,fvnvs,NOM3,Case=Abl|Numb=Sing
iusto,ivstvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
fleta,fleo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
prius,privs,ADJadv.ord,Deg=Comp
lacrimis,lacrima,NOM1,Case=Abl|Numb=Plur
nunc,nvnc,ADV,Deg=Pos
memorabo,memoro,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
modis,modvs,NOM2,Case=Abl|Numb=Plur
nuda,nvdvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
sine,sine,PRE,MORPH=empty
ornatu,ornatvs,NOM4,Case=Abl|Numb=Sing
fandi,for,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Dep
-que,qvavis,CONcoo,MORPH=empty
carentia,careo,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
cultu,cvltvs,NOM4,Case=Abl|Numb=Sing
sufficit,svfficio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
inferiis,inferiae,NOM1,Case=Abl|Numb=Plur
exequialis,exseqvialis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
honos,honor,NOM3,Case=Nom|Numb=Sing
nenia,nenia,NOM1,Case=Abl|Numb=Sing
funereis,fvnerevs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
satis,satis,ADJqua,Deg=Pos
officiosa,officiosvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
querellis,qverela,NOM1,Case=Abl|Numb=Plur
annua,annvvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
ne,ne,ADVneg,MORPH=empty
tacitis,tacitvs,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
munera,mvnvs,NOM3,Case=Acc|Numb=Plur
