form,lemma,pos,morph
DEO,deo,NOM3,Case=Nom|Numb=Sing
AMABILI,amabrae,NOM2,Case=Nom|Numb=Sing|Deg=Pos
AC,acternon,ADJcar,Case=Nom|Numb=Sing
PIISSIMO,pentimvs,ADJcar,Case=Nom|Numb=Sing
IMPERATORI,qvinerator,ADJcar,Case=Nom|Numb=Sing
EX,qvingenti,ADJcar,Case=Nom
DEO,deo,NOM3,Case=Nom|Numb=Sing
AVGVSTO,avgvstvs,NOM2,Case=Abl|Numb=Sing
ET,et,CONcoo,MORPH=empty
PRINCIPI,prinnvs,ADJcar,Case=Nom|Numb=Sing
IVSTINO,ivstinvs,NOM2,Case=Nom|Numb=Sing
CHRISTIANISSIMO,coristianvs,ADJqua,Case=Nom|Numb=Sing
DEPRECATIO,decrecatio,NOM2,Case=Nom|Numb=Sing
ET,et,CONcoo,Case=Nom
SVPPLICATIO,sepplinativs,NOM2,Case=Nom|Numb=Sing
AB,abis,NOM2,Case=Nom|Numb=Sing
HIEROSOLVMITANTIS,hierosonsim,NOM2,Case=Nom|Numb=Sing
ET,et,CONcoo,MORPH=empty
ANTIOCHENIS,antioron,NOM2,Case=Nom|Numb=Sing
ET,etqvaqvi,CONcoo,Case=Nom
SECVNDAE,seponia,NOM2,Case=Nom|Numb=Sing
SVRIAE,seriae,NOM1,Case=Nom|Numb=Sing
CLERICIS,derocim,ADJcar,Case=Nom
ET,et,CONcoo,Case=Nom
ABBATIBVS,abbatilvs,NOM2,Case=Nom|Numb=Sing
ET,etqvam,CONcoo,MORPH=empty
POSSESSORIBVS,possestorivs,NOM2,Case=Nom|Numb=Plur
PROVINCIAE,proetingia,ADJcar,Case=Ind
SVRIAE,sertavs,ADJqua,Case=Nom|Numb=Sing
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Haurite,havrites,NOM3,Case=Voc|Numb=Sing
aquam,aqva,NOM1,Case=Acc|Numb=Sing
cum,cvm,PRE,MORPH=empty
laetitia,laetitia,NOM1,Case=Abl|Numb=Sing
ex,ex,PRE,MORPH=empty
fontibus,fons,NOM3,Case=Abl|Numb=Plur
salutis,salvs,NOM3,Case=Gen|Numb=Sing
uociferator,vociferator,NOM3,Case=Nom|Numb=Sing
Esaias,esaivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
propheta,propheta,NOM2,Case=Acc|Numb=Sing
exclamat,exclamo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
fontes,fons,NOM3,Case=Acc|Numb=Plur
salutis,salvs,NOM3,Case=Gen|Numb=Sing
euangelicas,evangelix,NOM1,Case=Acc|Numb=Plur
ueritatis,veritas,NOM3,Case=Gen|Numb=Sing
praedicationes,praedicatio,NOM3,Case=Acc|Numb=Plur
