form,lemma,pos,morph
Emissis,emissis,NOM1,Case=Abl|Numb=Plur
iuuante,ivvo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
gratia,gratia,NOM1,Case=Abl|Numb=Sing
Christi,christvs,NOM2,Case=Gen|Numb=Sing
decem,decem,ADJcar,Case=Ind
conlationibus,collatio,NOM3,Case=Abl|Numb=Plur
patrum,pater,NOM3,Case=Gen|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Plur
exigentibus,exigo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
beatissimis,beatvs,ADJqua,Case=Abl|Numb=Plur|Deg=Sup
episcopis,episcops,NOM3,Case=Gen|Numb=Sing
Helladio,helladivs,NOM2,Case=Abl|Numb=Sing
ac,ac,CONcoo,MORPH=empty
Leontio,leontivs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
utcumque,vtcvmqve,ADVrel,MORPH=empty
digestae,digero,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
septem,septem,ADJcar,Case=Ind
alias,alivs,PROind,Numb=Plur
beato,beatvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
episcopo,episcopvs,NOM2,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
nomine,nomen,NOM3,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
meritis,meritvm,NOM2,Case=Abl|Numb=Plur
Honorato,honoratvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
sancto,sanctvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
quoque,qvoqve,ADV,Deg=Pos
famulo,famvlvs,NOM2,Case=Abl|Numb=Sing
Christi,christvs,NOM2,Case=Gen|Numb=Sing
Eucherio,evcherivs,NOM2,Case=Abl|Numb=Sing
dedicaui,dedico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
totidem,totidem,PROdem,Case=Ind|Deg=Pos
et,et,CONcoo,MORPH=empty
nunc,nvnc,ADV,Deg=Pos
uobis,vos,PROper,Case=Dat|Numb=Plur
o,o,INJ,MORPH=empty
sancti,sanctvs,ADJqua,Case=Voc|Numb=Plur|Deg=Pos
fratres,frater,NOM3,Case=Voc|Numb=Plur
Iouiniane,iovinianvs,NOM2,Case=Voc|Numb=Sing|Deg=Pos
Minerui,minervi,NOM2,Case=Voc|Numb=Sing
Leonti,leon,NOM2,Case=Dat|Numb=Sing
et,et,CONcoo,MORPH=empty
Theodore,theodorvs,NOM2,Case=Voc|Numb=Sing
credidi,credo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
consecrandas,consecro,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
posterior,postervs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
siquidem,siqvidem,CONsub,MORPH=empty
uestrum,vos,PROper,Case=Gen|Numb=Plur
illam,ille,PROdem,Case=Acc|Numb=Sing
coenobiorum,coenobivm,NOM2,Case=Gen|Numb=Plur
sanctam,sanctvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
atque,atqve,CONcoo,MORPH=empty
egregiam,egregivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
disciplinam,disciplina,NOM1,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
prouinciis,provincia,NOM1,Case=Abl|Numb=Plur
Gallicanis,gallicanvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
antiquarum,antiqvvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
uirtutum,virtvs,NOM3,Case=Gen|Numb=Plur
districtione,districtio,NOM3,Case=Abl|Numb=Sing
fundauit,fvndo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ceteri,ceteri,NOM2,Case=Nom|Numb=Plur
uero,vero,CONcoo,MORPH=empty
non,non,ADVneg,MORPH=empty
solum,solvm,ADV,Deg=Pos
coenobialem,coenobialis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
professionem,professio,NOM3,Case=Acc|Numb=Sing
adprime,apprimo,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
monachos,monachvs,NOM2,Case=Acc|Numb=Plur
expetere,expeto,VER,Mood=Inf|Tense=Pres|Voice=Act
uerum,vervm,CONcoo,MORPH=empty
etiam,etiam,ADV,Deg=Pos
anachoreticam,anachoretacvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
sitire,sitio,VER,Mood=Inf|Tense=Pres|Voice=Act
sublimitatem,svblimitas,NOM3,Case=Acc|Numb=Sing
uestris,vester,PROpos,Case=Dat|Numb=Plur
institutionibus,institvtio,NOM3,Case=Abl|Numb=Plur
prouocastis,provoco,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
.,vnvs,ADJcar,Case=Acc|Numb=Plur
ea,is,PROdem,Case=Nom|Numb=Plur
namque,namqve,CONcoo,MORPH=empty
conlationes,collatio,NOM3,Case=Nom|Numb=Plur
istae,iste,PROdem,Case=Nom|Numb=Plur
summorum,svpervs,ADJqua,Case=Gen|Numb=Plur|Deg=Sup
patrum,pater,NOM3,Case=Gen|Numb=Plur
disputatione,dispvtatio,NOM3,Case=Abl|Numb=Sing
contextae,contextvs,ADJqua,Case=Nom|Numb=Plur|Tense=Perf|Voice=Pass
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
ita,ita,ADV,Deg=Pos
in,in,PRE,MORPH=empty
omnibus,omnis,PROind,Case=Abl|Numb=Plur
temperatae,temperatvs,ADJqua,Case=Nom|Numb=Plur
ut,vt,ADVrel,MORPH=empty
utrique,vterqve,PROind,Case=Nom|Numb=Plur
professioni,professio,NOM3,Case=Dat|Numb=Sing
qua,qvi,PROrel,Case=Abl|Numb=Sing
non,non,ADVneg,MORPH=empty
solum,solvm,ADV,Deg=Pos
occiduas,occidvvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
regiones,regio,NOM3,Case=Acc|Numb=Plur
uerum,vervm,CONcoo,MORPH=empty
etiam,etiam,ADV,Deg=Pos
insulas,insvla,NOM1,Case=Acc|Numb=Plur
maximis,magnvs,ADJqua,Case=Abl|Numb=Plur|Deg=Sup
fratrum,frater,NOM3,Case=Gen|Numb=Plur
cateruis,caterva,NOM1,Case=Abl|Numb=Plur
fecistis,facio,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
florere,floreo,VER,Mood=Inf|Tense=Pres|Voice=Act
conueniant,convenio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
id,is,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
non,non,ADVneg,MORPH=empty
solum,solvm,ADV,Deg=Pos
hi,hic,PROdem,Case=Nom|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
adhuc,adhvc,ADV,Deg=Pos
per,per,PRE,MORPH=empty
congregationes,congregatio,NOM3,Case=Acc|Numb=Plur
laudabili,lavdabilis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
subiectione,svbiectio,NOM3,Case=Abl|Numb=Sing
perdurant,perdvro,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sed,sed,CONcoo,MORPH=empty
etiam,etiam,ADV,Deg=Pos
illi,ille,PROdem,Case=Nom|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
haud,havd,ADVneg,MORPH=empty
longe,longe,ADV,Deg=Pos
a,ab,PRE,MORPH=empty
uestris,vester,PROpos,Case=Abl|Numb=Plur
coenobiis,coenobia,NOM1,Case=Abl|Numb=Plur
secedentes,secedo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
anachoretarum,anachoretae,NOM1,Case=Gen|Numb=Plur
sectari,sector,VER,Mood=Inf|Tense=Pres|Voice=Dep
gestiunt,gestio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
disciplinam,disciplina,NOM1,Case=Acc|Numb=Sing
pro,pro,PRE,MORPH=empty
condicione,condicio,NOM3,Case=Abl|Numb=Sing
locorum,locvs,NOM2,Case=Gen|Numb=Plur
ac,ac,CONcoo,MORPH=empty
status,statvs,NOM4,Case=Gen|Numb=Sing
sui,svvs,PROpos.ref,Case=Gen|Numb=Sing
mensura,mensvra,NOM1,Case=Abl|Numb=Sing
plenius,plene,ADV,Deg=Comp
instruantur,instrvo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
quibus,qvi,PROrel,Case=Abl|Numb=Plur
hoc,hic,PROdem,Case=Nom|Numb=Sing
praecipuum,praecipvvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
contulit,confero,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
praede,praes,NOM3,Case=Abl|Numb=Sing
cedens,cedo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
uestri,vester,PROpos,Case=Gen|Numb=Sing
laboris,labor,NOM3,Case=Gen|Numb=Sing
industria,indvstria,NOM1,Case=Abl|Numb=Sing
ut,vt,CONsub,MORPH=empty
parati,paratvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
iam,iam,ADV,Deg=Pos
atque,atqve,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
isdem,idem,PROdem,Case=Abl|Numb=Plur
exercitiis,exercitia,NOM1,Case=Abl|Numb=Plur
deprehensi,deprehendo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
facilius,facile,ADV,Deg=Comp
praecepta,praeceptvm,NOM2,Case=Nom|Numb=Plur
seniorum,senior,NOM3,Case=Gen|Numb=Plur
atque,atqve,CONcoo,MORPH=empty
instituta,institvtvm,NOM2,Case=Acc|Numb=Plur
suscipiant,svscipio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ipsos,ipse,PROdem,Case=Acc|Numb=Plur
-que,qvove,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
cellulas,cellvla,NOM1,Case=Acc|Numb=Plur
suas,svvs,PROpos.ref,Case=Acc|Numb=Plur
auctores,avctor,NOM3,Case=Acc|Numb=Plur
conlationum,collatio,NOM3,Case=Gen|Numb=Plur
cum,cvm,PRE,MORPH=empty
ipsis,ipse,PROdem,Case=Abl|Numb=Plur
conlationum,collatio,NOM3,Case=Gen|Numb=Plur
uoluminibus,volvmen,NOM3,Case=Abl|Numb=Plur
recipientes,recipio,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
et,et,CONcoo,MORPH=empty
