form,lemma,pos,morph
Otia,otia,NOM1,Case=Nom|Numb=Sing
sopitis,sopio,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
ageret,ago,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
cum,cvm,CONsub,MORPH=empty
cantibus,cantvs,NOM4,Case=Abl|Numb=Plur
Orpheus,orphevs,NOM2,Case=Nom|Numb=Sing
neglectum,negligo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
-que,qvovs,CONcoo,MORPH=empty
diu,div,ADV,Deg=Pos
deposuisset,depono,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
opus,opvs,NOM3,Case=Acc
lugebant,lvgeo,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
erepta,eripio,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
sibi,svi,PROref,Case=Dat|Numb=Sing
solacia,solacivm,NOM2,Case=Acc|Numb=Plur
Nymphae,nympha,NOM1,Case=Nom|Numb=Plur
quaerebant,qvaero,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
dulces,dvlcis,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
flumina,flvmen,NOM3,Case=Acc|Numb=Plur
maesta,maestvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
modos,modvs,NOM2,Case=Acc|Numb=Plur
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
saeua,saevvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
feris,fera,NOM1,Case=Dat|Numb=Plur|Deg=Pos
natura,natvra,NOM1,Case=Nom|Numb=Sing
redit,redeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
metuens,metvo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
-que,qvove,CONcoo,MORPH=empty
leonem,leo,NOM3,Case=Acc|Numb=Sing
implorat,imploro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
citharae,cithara,NOM1,Case=Gen|Numb=Sing
uacca,vacca,NOM1,Case=Abl|Numb=Sing
tacentis,taceo,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
opem,ops,NOM3,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
illius,ille,PROdem,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
duri,dvrvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
fleuere,fleo,VER,Numb=Plur|Mood=Inf|Tense=Pres|Voice=Act
silentia,silentivm,NOM2,Case=Acc|Numb=Plur
montes,mons,NOM3,Case=Nom|Numb=Plur
silua,silva,NOM1,Case=Abl|Numb=Sing
-que,qvove,CONcoo,MORPH=empty
