form,lemma,pos,morph
Interea,intereae,ADJqua,Case=Nom|Numb=Plur
uarios,varivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
agitant,agito,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
dum,dvm,CONsub,MORPH=empty
tempora,tempvs,NOM3,Case=Acc|Numb=Plur
cursus,cvrsvs,NOM4,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
noua,novvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
pararet,paro,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
surgit,svrgo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
de,de,PRE,MORPH=empty
germine,germen,NOM3,Case=Abl|Numb=Sing
proles,proles,NOM3,Case=Nom|Numb=Sing
crimine,crimen,NOM3,Case=Abl|Numb=Sing
obeunt,obeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
nati,natvs,NOM2,Case=Nom|Numb=Plur
proles,proles,NOM3,Case=Nom|Numb=Sing
-que,qvovs,CONcoo,MORPH=empty
sequentum,seqvens,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
diuersos,diversvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
-que,qvove,CONcoo,MORPH=empty
nouat,novo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
tellus,tellvs,NOM3,Case=Nom|Numb=Sing
Memphitica,memphiticvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
reges,rex,NOM3,Case=Acc|Numb=Plur
.,qvadrantal,ADJcar,Case=Ind|Numb=Plur
notio,notio,NOM3,Case=Nom|Numb=Sing
cuncta,cvnctvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
Isacum,isacvs,NOM2,Case=Gen|Numb=Sing
nec,nec,CONcoo,MORPH=empty
uatum,vates,NOM3,Case=Gen|Numb=Plur
mulier,mvlier,NOM3,Case=Nom|Numb=Sing
prosunt,prosvm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
eximie,eximie,ADV,Deg=Pos
dilecta,diligo,VER,Case=Nom|Numb=Plur
prius,privs,ADJadv.ord,Deg=Comp
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
sed,sed,CONcoo,MORPH=empty
munere,mvnvs,NOM3,Case=Abl|Numb=Sing
sancti,sanctvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
tutantis,tvtor,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Pres|Voice=Dep
populum,popvlvs,NOM2,Case=Acc|Numb=Sing
domini,dominvs,NOM2,Case=Gen|Numb=Plur
numerosa,nvmerosvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
creantur,creo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
corpora,corpvs,NOM3,Case=Nom|Numb=Plur
et,et,CONcoo,MORPH=empty
inmensa,immensvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
densentur,denseo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
nube,nvbes,NOM3,Case=Abl|Numb=Sing
phalanges,phalanx,NOM3,Case=Nom|Numb=Plur
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
quae,qvi,PROrel,Case=Acc|Numb=Plur
metuenda,metvo,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
sibi,svi,PROref,Case=Dat|Numb=Sing
postquam,postqvam,CONsub,MORPH=empty
rex,rex,NOM3,Case=Nom|Numb=Sing
