form,lemma,pos,morph
Haec,haec,NOM3,Case=Nom|Numb=Sing
inter,inter,PRE,MORPH=empty
dominus,dominvs,NOM2,Case=Nom|Numb=Sing
lesum,lesvs,NOM4,Case=Acc|Numb=Sing
dignatus,dignor,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
adire,adeo,VER,Mood=Inf|Tense=Pres|Voice=Act
promittit,promitto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ualidis,validvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
sublimem,svblimis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
confore,confo,VER,Mood=Inf|Tense=Pres|Voice=Act
donis,donvm,NOM2,Case=Abl|Numb=Plur
admonitum,admoneo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
transire,transeo,VER,Mood=Inf|Tense=Pres|Voice=Act
uadum,vadvm,NOM2,Case=Acc|Numb=Sing
Iordanis,iordani,ADJqua,Case=Gen|Numb=Plur
amoeni,amoenvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
castra,castra,NOM2,Case=Acc|Numb=Plur
-que,qvovs,CONcoo,MORPH=empty
metata,metor,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
hostili,hostilis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
inponere,impono,VER,Mood=Inf|Tense=Pres|Voice=Act
ripae,ripa,NOM1,Case=Dat|Numb=Plur
;,,PRE,MORPH=empty
ut,vt,CONsub,MORPH=empty
-que,qvove,CONcoo,MORPH=empty
nouas,novvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
sedes,sedes,NOM3,Case=Acc|Numb=Plur
terrarum,terra,NOM1,Case=Gen|Numb=Plur
in,in,PRE,MORPH=empty
parte,pars,NOM3,Case=Abl|Numb=Sing
reposta,repono,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
constituat,constitvo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
plebem,plebs,NOM6,Case=Acc|Numb=Sing
