form,lemma,pos,morph
Discrimen,discrimes,NOM3,Case=Acc|Numb=Sing
generis,genvs,NOM3,Case=Gen|Numb=Sing
iunxerunt,ivngo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
foedera,foedvs,NOM3,Case=Acc|Numb=Plur
partus,partvs,NOM4,Case=Nom|Numb=Plur
Ingenii,ingenivs,NOM2,Case=Nom|Numb=Plur
stirpes,stirps,NOM3,Case=Nom|Numb=Plur
permixta,permisceo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
lege,lex,NOM3,Case=Abl|Numb=Sing
coacti,cogo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Pass
.,qvadranta,ADJcar,Case=Acc|Numb=Plur
