form,lemma,pos,morph
Hic,hic,NOM2,Case=Nom|Numb=Sing
sensum,sensvs,NOM4,Case=Acc|Numb=Sing
scripturae,scriptvra,NOM1,Case=Gen|Numb=Sing
sanctae,sanctvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
sollicitius,sollicite,ADV,Deg=Comp
perscrutemur,perscrvtor,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
et,et,CONcoo,MORPH=empty
obicientis,obicio,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
animum,animvs,NOM2,Case=Acc|Numb=Sing
consulamus,consvlo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
utrum,vtrvm,ADVint,MORPH=empty
Pharao,pharavs,NOM2,Case=Nom|Numb=Sing
uolens,volens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
an,an,ADVint,MORPH=empty
inuitus,invitvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
a,ab,PRE,MORPH=empty
domino,dominvs,NOM2,Case=Abl|Numb=Sing
fuerit,svm,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
induratus,indvro,VER,Case=Nom|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Sing
si,si,CONsub,MORPH=empty
nolens,nolo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
ipsi,ipse,PROdem,Case=Dat|Numb=Plur
utique,vtiqve,ADV,Deg=Pos
culpam,cvlpa,NOM1,Case=Acc|Numb=Sing
obdurationis,obdvratio,NOM3,Case=Gen|Numb=Sing
adsignas,assigno,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
si,si,CONsub,MORPH=empty
uero,vero,CONcoo,Deg=Pos
inuitus,invitvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
iniquitatem,iniqvitas,NOM3,Case=Acc|Numb=Sing
dei,devs,NOM2,Case=Gen|Numb=Sing
obdurantis,obdvro,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
accusas,accvso,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
.,vnvs,ADJcar,Case=Acc|Numb=Plur
quae,qvis,PROrel,Case=Nom|Numb=Sing
enim,enim,CONcoo,MORPH=empty
