form,lemma,pos,morph
Liberius,liberivs,NOM2,Case=Nom|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
antequam,anteqvam,CONsub,MORPH=empty
ad,ad,PRE,MORPH=empty
exilium,exsilivm,NOM2,Case=Acc|Numb=Sing
iret,eo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
hanc,hic,PROdem,Case=Acc|Numb=Sing
uniformem,vniformis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
epistulam,epistola,NOM1,Case=Acc|Numb=Sing
confessoribus,confessor,NOM3,Case=Dat|Numb=Plur
scripsit,scribo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
id,is,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Eusebio,evsebivs,NOM2,Case=Dat|Numb=Sing
Dionisio,dionisivs,NOM2,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
Lucifero,lvcifer,NOM2,Case=Abl|Numb=Sing
in,in,PRE,MORPH=empty
exilio,exsilivm,NOM2,Case=Abl|Numb=Sing
constitutis,constitvo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Quamuis,qvamvis,NOM1,Case=Abl|Numb=Sing
sub,svb,PRE,MORPH=empty
imagine,imago,NOM3,Case=Abl|Numb=Sing
pacis,pax,NOM3,Case=Gen|Numb=Sing
humani,hvmanvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
generis,genvs,NOM3,Case=Gen|Numb=Sing
inimicus,inimicvs,NOM2,Case=Nom|Numb=Sing
uehementius,vehementer,ADJqua,Case=Nom|Deg=Comp
in,in,PRE,MORPH=empty
membra,membrvm,NOM2,Case=Acc|Numb=Plur
ecclesiae,ecclesia,NOM1,Case=Gen|Numb=Sing
uideatur,video,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
