form,lemma,pos,morph
Dominus,dominvs,NOM2,Case=Nom|Numb=Sing
per,per,PRE,MORPH=empty
deriuationem,derivatio,NOM3,Case=Acc|Numb=Sing
dictus,dico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
quod,qvi,PROrel,Case=Nom|Numb=Sing
domui,domvs,NOM4,Case=Dat|Numb=Sing
praesit,praesvm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Disertus,disertvs,NOM2,Case=Nom|Numb=Sing
doctus,doctvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
a,ab,PRE,MORPH=empty
disserendo,dissero,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Pass
dictus,dico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
disposite,disposite,ADV,Deg=Pos
enim,enim,CONcoo,MORPH=empty
disserit,dissero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Sing
Doctus,doctvs,NOM2,Case=Nom|Numb=Sing
a,ab,PRE,MORPH=empty
dicendo,dico,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Inde,indvs,NOM7,Case=Voc|Numb=Sing
et,et,CONcoo,MORPH=empty
dictor,dictor,NOM3,Case=Nom|Numb=Sing
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
Docilis,docilis,NOM2,Case=Nom|Numb=Plur
non,non,ADVneg,MORPH=empty
quod,qvi,CONsub,Case=Nom|Numb=Sing
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
doctus,doctvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
sed,sed,CONcoo,MORPH=empty
quia,qvia,CONsub,MORPH=empty
doceri,doceo,VER,Mood=Inf|Tense=Pres|Voice=Pass
potest,possvm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
enim,enim,CONcoo,MORPH=empty
ingeniosus,ingeniosvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
discendum,disco,VER,Case=Acc|Numb=Sing|Mood=Ger|Voice=Act
aptus,aptvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
.,vnvs,ADJcar,Case=Gen|Numb=Sing
Discipulus,discipvlvs,NOM2,Case=Nom|Numb=Sing
a,ab,PRE,MORPH=empty
disciplina,disciplina,NOM1,Case=Abl|Numb=Sing
dictus,dico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
disciplina,disciplina,NOM1,Case=Abl|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
a,ab,PRE,MORPH=empty
discendo,disco,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
uocata,voco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Sing
Dispensator,dispensator,NOM3,Case=Nom|Numb=Sing
uocatur,voco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
cui,qvi,PROrel,Case=Dat|Numb=Sing
creditur,credo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
administratio,administratio,NOM3,Case=Nom|Numb=Sing
pecuniarum,pecvnia,NOM1,Case=Gen|Numb=Plur
.,vnvs,ADJcar,Case=Gen|Numb=Plur
Et,et,CONcoo,MORPH=empty
ideo,ideo,ADV,Deg=Pos
dispensator,dispensator,NOM3,Case=Nom|Numb=Sing
quia,qvia,CONsub,MORPH=empty
prius,privs,ADJadv.ord,Deg=Comp
qui,qvi,PROrel,Case=Nom|Numb=Plur
dabant,do,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
pecuniam,pecvnia,NOM1,Case=Acc|Numb=Sing
non,non,ADVneg,MORPH=empty
numerabant,nvmero,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
eam,is,PROdem,Case=Acc|Numb=Sing
sed,sed,CONcoo,MORPH=empty
adpendebant,appendo,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Diues,dives,NOM3,Case=Nom|Numb=Sing
ab,ab,PRE,MORPH=empty
aere,aes,NOM3,Case=Abl|Numb=Sing
uocatus,voco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Sing
Decorus,decorvs,NOM2,Case=Nom|Numb=Sing
perfectus,perficio,VER,Case=Nom|Numb=Sing|Tense=Perf|Voice=Pass
a,ab,PRE,MORPH=empty
decem,decem,ADJcar,Case=Ind
.,qvintvs,ADJcar,Case=Ind|Numb=Plur
Decens,decens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
conpositus,compono,VER,Case=Nom|Numb=Sing|Deg=Pos|Tense=Perf|Voice=Pass
a,ab,PRE,MORPH=empty
numero,nvmervs,NOM2,Case=Abl|Numb=Sing
decem,decem,ADJcar,Case=Ind
dictus,dico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Sing
Hinc,hinc,NOM7,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
decorus,decorvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
decibilis,decibilis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
Directus,directvs,NOM2,Case=Nom|Numb=Sing
eo,eo,ADV,Case=Abl|Numb=Sing|Deg=Pos
quod,qvi,CONsub,MORPH=empty
in,in,PRE,MORPH=empty
rectum,rectvm,NOM2,Case=Acc|Numb=Sing|Deg=Pos
uadit,vado,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Dilectus,dilectvs,NOM2,Case=Nom|Numb=Sing
a,ab,PRE,MORPH=empty
diligentia,diligentia,NOM1,Case=Abl|Numb=Sing
.,qvintvs,ADJcar,Case=Abl|Numb=Plur
Haec,haectvs,NOM3,Case=Nom|Numb=Sing
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
enim,enim,CONcoo,MORPH=empty
signa,signvm,NOM2,Case=Nom|Numb=Plur
diligendi,diligo,VER,Case=Gen|Numb=Sing|Mood=Adj|Voice=Act
.,qvintvs,ADJcar,Case=Ind|Numb=Plur
Delibutus,delibvtvs,NOM2,Case=Nom|Numb=Sing
de,de,PRE,MORPH=empty
oleo,olevm,NOM2,Case=Abl|Numb=Sing
unctus,vngo,VER,Case=Nom|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Dep
ut,vt,ADVrel,MORPH=empty
athletae,athleta,NOM1,Case=Nom|Numb=Plur
solent,soleo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=SemDep|Person=3
uel,vel,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
cereumate,cerevmate,NOM3,Case=Abl|Numb=Sing
pueri,pver,NOM2,Case=Nom|Numb=Plur
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
Hinc,hinc,NOM7,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
Ter,ter,ADJadv.mul,Case=Nom|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Phorm,phorm,NOM7,Case=Nom|Numb=Sing
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
delibutum,delibvo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
gaudio,gavdivm,NOM2,Case=Abl|Numb=Sing
id,is,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
perfusum,perfvndo,VER,Case=Nom|Numb=Sing|Tense=Perf|Voice=Pass
uel,vel,ADV,MORPH=empty
plenum,plenvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
.,vnvs,ADJcar,Case=Nom|Numb=Sing
Delicatus,delicatvs,NOM2,Case=Nom|Numb=Sing
quod,qvod,CONsub,Case=Nom
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
deliciis,delicia,NOM1,Case=Abl|Numb=Plur
pastus,pasco,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
uiuens,vivens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
in,in,PRE,MORPH=empty
epulis,epvlae,NOM1,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
nitore,nitor,NOM3,Case=Abl|Numb=Sing
corporis,corpvs,NOM3,Case=Gen|Numb=Sing
.,qvinqvaginta,ADJcar,Case=Gen|Numb=Plur
Defessus,defessvs,NOM2,Case=Nom|Numb=Sing
semper,semper,ADV,Deg=Pos
infirmus,infirmvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
quasi,qvasi,ADVrel,MORPH=empty
diu,div,ADV,Deg=Pos
fessus,fessvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
.,vnvs,ADJcar,Case=Acc|Numb=Sing
