form,lemma,pos,morph
,,PRE,MORPH=empty
.,pentvm,ADJcar,Case=Acc|Numb=Plur
Comoedi,comoedvs,NOM2,Case=Nom|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
qui,qvi,PROrel,Case=Nom|Numb=Plur
priuatorum,privatvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
hominum,homo,NOM3,Case=Gen|Numb=Plur
acta,actvm,NOM2,Case=Acc|Numb=Plur
dictis,dictvm,NOM2,Case=Abl|Numb=Plur
aut,avt,CONcoo,MORPH=empty
gestu,gestvs,NOM4,Case=Abl|Numb=Sing
cantabant,canto,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
atque,atqve,CONcoo,MORPH=empty
stupra,stvprvm,NOM2,Case=Acc|Numb=Plur
uirginum,virgo,NOM3,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
amores,amor,NOM3,Case=Nom|Numb=Plur
meretricum,meretrix,NOM3,Case=Gen|Numb=Plur
in,in,PRE,MORPH=empty
suis,svvs,PROpos.ref,Case=Abl|Numb=Plur
fabulis,fabvla,NOM1,Case=Abl|Numb=Plur
exprimebant,exprimo,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
