form,lemma,pos,morph
Hic,hic,NOM3,Case=Nom|Numb=Sing
ubi,vbi,CONsub,MORPH=empty
modestus,modestvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
edendi,edo,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
modus,modvs,NOM2,Case=Nom|Numb=Sing
cessare,cesso,VER,Mood=Inf|Tense=Pres|Voice=Act
fecit,facio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
castimoniam,castimonia,NOM1,Case=Acc|Numb=Sing
ferculorum,fercvlvm,NOM2,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
conuiualis,convivalis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
laetitia,laetitia,NOM1,Case=Abl|Numb=Sing
minusculis,minvscvlvm,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
poculis,pocvlvm,NOM2,Case=Abl|Numb=Plur
oriebatur,orior,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Dep|Person=3
Auienus,avienvs,NOM2,Case=Nom|Numb=Sing
ait,aio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Bene,bene,NOM2,Case=Nom|Numb=Sing
ac,ac,CONcoo,MORPH=empty
sapienter,sapienter,ADV,Deg=Pos
Maro,maro,NOM3,Case=Nom|Numb=Sing
noster,noster,PROpos,Case=Nom|Numb=Sing
tumultuosum,tvmvltvosvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
sobrium,sobrivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
uno,vnvs,ADJcar,Case=Abl|Numb=Sing
eodem,idem,PROdem,Case=Abl|Numb=Sing
-que,qvisqve,CONcoo,Case=Abl|Numb=Sing
uersu,versvs,NOM4,Case=Abl|Numb=Sing
descripsit,describo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
sub,svb,PRE,MORPH=empty
paucorum,pavci,NOM2,Case=Gen|Numb=Plur
uerborum,verbvm,NOM2,Case=Gen|Numb=Plur
inmutatione,immvtatio,NOM3,Case=Abl|Numb=Sing
conuiuium,convivivm,NOM2,Case=Acc|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Nam,nam,NOM1,MORPH=empty
ubi,vbi,CONsub,MORPH=empty
sub,svb,PRE,MORPH=empty
adparatu,apparatvs,NOM4,Case=Abl|Numb=Sing
regio,regio,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
procedere,procedo,VER,Mood=Inf|Tense=Pres|Voice=Act
solet,soleo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=SemDep|Person=3
luxus,lvxvs,NOM4,Case=Nom|Numb=Sing
ad,ad,PRE,MORPH=empty
strepitum,strepitvs,NOM4,Case=Acc|Numb=Sing
Postquam,postqva,NOM1,Case=Acc|Numb=Sing
prima,primvs,ADJord,Case=Nom|Numb=Sing|Deg=Sup
inquit,inqvio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quies,qvies,NOM3,Case=Nom|Numb=Sing
epulis,epvlae,NOM1,Case=Abl|Numb=Plur
at,at,CONcoo,MORPH=empty
cum,cvm,CONsub,MORPH=empty
heroes,heros,NOM3,Case=Nom|Numb=Sing
castigatis,castigo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
dapibus,daps,NOM3,Case=Abl|Numb=Plur
adsidunt,assido,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
non,non,ADVneg,MORPH=empty
reducit,redvco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quietem,qvies,NOM3,Case=Acc|Numb=Sing
quia,qvia,CONsub,MORPH=empty
nec,nec,CONcoo,MORPH=empty
praecessit,praecedo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
tumultus,tvmvltvs,NOM4,Case=Nom|Numb=Sing
sed,sed,CONcoo,MORPH=empty
Postquam,postqva,NOM1,Case=Acc|Numb=Sing
exempta,eximo,VER,Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass|Person=3
fames,fames,NOM3,Case=Nom|Numb=Sing
epulis,epvlae,NOM1,Case=Abl|Numb=Plur
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
Nostrum,noster,NOM2,Case=Acc|Numb=Sing
hoc,hic,PROdem,Case=Nom|Numb=Sing
conuiuium,convivivm,NOM2,Case=Nom|Numb=Sing
quod,qvi,PROrel,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
heroici,heroicvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
seculi,secvlvs,NOM2,Case=Gen|Numb=Sing
pudicitiam,pvdicitia,NOM1,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
nostri,noster,PROpos,Case=Gen|Numb=Plur
conduxit,condvco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
elegantiam,elegantia,NOM1,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
quo,qvi,PROrel,Case=Abl|Numb=Sing
splendor,splendor,NOM3,Case=Nom|Numb=Sing
sobrius,sobrivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
diligens,diligens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
parsimonia,parsimonia,NOM1,Case=Abl|Numb=Sing
Agathonis,agathon,NOM3,Case=Gen|Numb=Sing
conuiuio,convivivm,NOM2,Case=Abl|Numb=Sing
uel,vel,CONcoo,MORPH=empty
post,post,PRE,MORPH=empty
magniloquentiam,magniloqventia,NOM1,Case=Acc|Numb=Sing
Platonis,platon,NOM3,Case=Gen|Numb=Sing
non,non,ADVneg,MORPH=empty
conponere,compono,VER,Mood=Inf|Tense=Pres|Voice=Act
tantum,tantvm,ADV,Deg=Pos
sed,sed,CONcoo,MORPH=empty
nec,nec,CONcoo,MORPH=empty
praeferre,praefero,VER,Mood=Inf|Tense=Pres|Voice=Act
dubitauerim,dvbito,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Nam,nam,NOM1,MORPH=empty
ipse,ipse,PROdem,Case=Nom|Numb=Sing
rex,rex,NOM3,Case=Nom|Numb=Sing
mensae,mensa,NOM1,Case=Gen|Numb=Sing
nec,nec,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
moribus,mos,NOM3,Case=Abl|Numb=Plur
Socrate,socrates,NOM3,Case=Abl|Numb=Sing
minor,parvvs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
re,res,NOM5,Case=Abl|Numb=Sing
publica,pvblicvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
philosopho,philosophvs,NOM2,Case=Abl|Numb=Sing
efficacior,efficax,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
ceteri,ceteri,NOM2,Case=Nom|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
adestis,assvm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
eminentiores,eminens,ADJqua,Case=Acc|Numb=Plur|Deg=Comp
estis,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
ad,ad,PRE,MORPH=empty
studia,stvdivm,NOM2,Case=Acc|Numb=Plur
uirtutum,virtvs,NOM3,Case=Gen|Numb=Plur
quam,qvam,ADVrel,MORPH=empty
ut,vt,ADVrel,MORPH=empty
poetis,poeta,NOM1,Case=Dat|Numb=Plur
comicis,comicvs,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
Alcibiadi,alcibiades,NOM2,Case=Dat|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
tantum,tantvm,PROdem,Deg=Pos
fuit,svm,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
fortis,fortis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ad,ad,PRE,MORPH=empty
crimina,crimen,NOM3,Case=Acc|Numb=Plur
aliis,alivs,PROind,Case=Dat|Numb=Plur
-que,qvove,CONcoo,MORPH=empty
quibus,qvi,PROrel,Case=Dat|Numb=Plur
frequens,freqvens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
illud,ille,PROdem,Case=Nom|Numb=Sing
conuiuium,convivivm,NOM2,Case=Nom|Numb=Sing
fuit,svm,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
uos,vos,PROper,Case=Acc|Numb=Plur
quisquam,qvisqvam,PROind,Case=Nom|Numb=Sing
aestimet,aestimo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
conparandos,comparo,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Bona,bonvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
uerba,verbvm,NOM2,Case=Acc|Numb=Plur
quaeso,qvaeso,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
Praetextatus,praetextatvs,NOM2,Case=Nom|Numb=Sing
ait,aio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
circa,circa,PRE,MORPH=empty
reuerentiam,reverentia,NOM1,Case=Acc|Numb=Sing
tantum,tantvm,ADV,Deg=Pos
Socraticae,socraticvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
maiestatis,maiestas,NOM3,Case=Gen|Numb=Sing
nam,nam,CONcoo,MORPH=empty
reliquis,reliqvvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
qui,qvi,PROrel,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
illo,ille,PROdem,Case=Abl|Numb=Sing
fuere,svm,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
symposio,symposio,NOM2,Case=Abl|Numb=Sing
haec,hic,PROdem,Case=Acc|Numb=Plur
lumina,lvmen,NOM3,Case=Acc|Numb=Plur
quis,qvis,PROint,Case=Nom|Numb=Plur
non,non,ADVneg,MORPH=empty
praeponenda,praepono,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
consentiat,consentio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Sed,sed,NOM7,Case=Acc|Numb=Sing
quorsum,qvorsvm,ADVrel,MORPH=empty
tibi,tv,PROper,Case=Dat|Numb=Sing
Auiene,avienvs,NOM2,Case=Voc|Numb=Sing
hoc,hic,PROdem,Case=Acc|Numb=Sing
tendit,tendo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
exemplum,exemplvm,NOM2,Case=Acc|Numb=Sing
Quia,qvia,NOM1,Case=Nom|Numb=Sing
sub,svb,PRE,MORPH=empty
illorum,ille,PROdem,Case=Gen|Numb=Plur
inquit,inqvio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
supercilio,svpercilivm,NOM2,Case=Abl|Numb=Sing
non,non,ADVneg,MORPH=empty
defuit,desvm,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
qui,qvi,PROrel,Case=Nom|Numb=Sing
psaltriam,psaltria,NOM1,Case=Acc|Numb=Sing
intromitti,intromitto,VER,Mood=Inf|Tense=Pres|Voice=Pass
peteret,peto,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
puella,pvella,NOM1,Case=Nom|Numb=Sing
ex,ex,PRE,MORPH=empty
industria,indvstria,NOM1,Case=Abl|Numb=Sing
supra,svpra,PRE,MORPH=empty
naturam,natvra,NOM1,Case=Acc|Numb=Sing
mollior,mollis,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
canora,canorvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
dulcedine,dvlcedo,NOM3,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
saltationis,saltatio,NOM3,Case=Gen|Numb=Sing
lubrico,lvbricvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
exerceret,exerceo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
inlecebris,illecebra,NOM1,Case=Abl|Numb=Plur
philosophantes,philosophor,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Dep
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Illic,illic,NOM7,Case=Nom|Numb=Sing
hoc,hic,PROdem,Case=Nom|Numb=Sing
fieri,fio,VER,Mood=Inf|Tense=Pres|Voice=Act
temptatum,tento,VER,Case=Nom|Numb=Sing|Tense=Perf|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
Agathonis,agathon,NOM3,Case=Gen|Numb=Sing
uictoria,victoria,NOM1,Case=Nom|Numb=Sing
celebraretur,celebro,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=3
nos,nos,PROper,Case=Nom|Numb=Plur
honorem,honor,NOM3,Case=Acc|Numb=Sing
dei,devs,NOM2,Case=Gen|Numb=Sing
cuius,qvi,PROrel,Case=Gen|Numb=Sing
hoc,hic,PROdem,Case=Nom|Numb=Sing
festum,festvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
nullo,nvllvs,PROind,Case=Abl|Numb=Sing
admixtu,admixtvs,NOM4,Case=Abl|Numb=Sing
uoluptatis,volvptas,NOM3,Case=Gen|Numb=Sing
augemus,avgeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Neque,neqve,NOM2,Case=Voc
ego,ego,PROper,Case=Nom|Numb=Sing
sum,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
nescius,nescivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
uos,vos,PROper,Case=Acc|Numb=Plur
nec,nec,CONcoo,MORPH=empty
tristitiam,tristitia,NOM1,Case=Acc|Numb=Sing
nec,nec,CONcoo,MORPH=empty
nubilum,nvbilvm,NOM2,Case=Acc|Numb=Sing
uultum,vvltvs,NOM4,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
bonis,bonvm,NOM2,Case=Abl|Numb=Plur
ducere,dvco,VER,Mood=Inf|Tense=Pres|Voice=Act
nec,nec,CONcoo,MORPH=empty
Crassum,crassvs,NOM2,Case=Acc|Numb=Sing
illum,ille,PROdem,Case=Acc|Numb=Sing
quem,qvi,PROrel,Case=Acc|Numb=Sing
Cicero,cicero,NOM3,Case=Nom|Numb=Sing
auctore,avctor,NOM3,Case=Abl|Numb=Sing
Lucilio,lvcilivs,NOM2,Case=Dat|Numb=Sing
semel,semel,ADJadv.mul,MORPH=empty
in,in,PRE,MORPH=empty
uita,vita,NOM1,Case=Abl|Numb=Sing
risisse,rideo,VER,Mood=Inf|Tense=Perf|Voice=Act
scribit,scribo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
magnopere,magnopere,ADV,Deg=Pos
mirari,miror,VER,Mood=Inf|Tense=Pres|Voice=Dep
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Ad,ad,NOM7,Case=Nom|Numb=Sing
haec,hic,PROdem,Case=Acc|Numb=Plur
cum,cvm,CONsub,MORPH=empty
Praetextatus,praetextatvs,NOM2,Case=Nom|Numb=Sing
diceret,dico,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
ludicras,lvdicer,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
uoluptates,volvptas,NOM3,Case=Acc|Numb=Plur
nec,nec,CONcoo,MORPH=empty
suis,svvs,PROpos.ref,Case=Abl|Numb=Plur
Penatibus,penates,NOM3,Case=Abl|Numb=Plur
adsuetas,assvetvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
nec,nec,CONcoo,MORPH=empty
ante,ante,PRE,MORPH=empty
coetum,coetvs,NOM4,Case=Acc|Numb=Sing
tam,tam,ADV,Deg=Pos
serium,serivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
producendas,prodvco,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
excepit,excipio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Symmachus,symmachvs,NOM2,Case=Nom|Numb=Sing
Quia,qvia,NOM1,Case=Nom|Numb=Sing
Saturnalibus,satvrnalia,NOM3,Case=Dat|Numb=Plur
optimo,bonvs,ADJqua,Case=Abl|Numb=Sing|Deg=Sup
dierum,dies,NOM5,Case=Gen|Numb=Plur
ut,vt,ADVrel,MORPH=empty
ait,aio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Veronensis,veronenses,NOM3,Case=Gen|Numb=Sing
poeta,poeta,NOM1,Case=Nom|Numb=Sing
nec,nec,CONcoo,MORPH=empty
uoluptas,volvptas,NOM3,Case=Nom|Numb=Sing
nobis,nos,PROper,Case=Dat|Numb=Plur
ut,vt,ADVrel,MORPH=empty
Stoicis,stoici,NOM2,Case=Dat|Numb=Plur
tamquam,tamqvam,ADVrel,MORPH=empty
hostis,hostis,NOM3,Case=Nom|Numb=Sing
repudianda,repvdio,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
nec,nec,CONcoo,MORPH=empty
ut,vt,CONsub,MORPH=empty
Epicureis,epicvrei,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
summum,svpervs,ADJqua,Case=Acc|Numb=Sing|Deg=Sup
bonum,bonvm,NOM2,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
uoluptate,volvptas,NOM3,Case=Abl|Numb=Sing
ponendum,pono,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Pass
excogitemus,excogito,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
alacritatem,alacritas,NOM3,Case=Acc|Numb=Sing
lasciuia,lascivia,NOM1,Case=Abl|Numb=Sing
carentem,careo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
et,et,CONcoo,MORPH=empty
ni,ni,CONsub,MORPH=empty
fallor,fallo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=1
inueni,invenio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
ut,vt,CONsub,MORPH=empty
iocos,iocvs,NOM2,Case=Acc|Numb=Plur
ueterum,vetvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
ac,ac,CONcoo,MORPH=empty
nobilium,nobilis,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
uirorum,vir,NOM2,Case=Gen|Numb=Plur
edecumatos,edecvmatvs,ADJqua,Case=Acc|Numb=Plur|Voice=Pass
ex,ex,PRE,MORPH=empty
multiiugis,mvltiivgvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
libris,liber,NOM2,Case=Abl|Numb=Plur
