form,lemma,pos,morph
Crispando,crispandvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
capillo,capillvs,NOM2,Case=Abl|Numb=Sing
conpositionem,compositio,NOM3,Case=Acc|Numb=Sing
huiusmodi,hvivsmodi,ADV,Deg=Pos
facies,facies,NOM5,Case=Nom|Numb=Sing
Afronitri,afronitrvs,NOM2,Case=Gen|Numb=Sing
floris,flos,NOM3,Case=Gen|Numb=Sing
tortulas,tortvla,NOM1,Case=Acc|Numb=Plur
numero,nvmervs,NOM2,Case=Abl|Numb=Sing
XXX,triginta,ADJcar,Case=Ind
nucem,nvx,NOM3,Case=Acc|Numb=Sing
pineam,pinevs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
de,de,PRE,MORPH=empty
qua,qvi,PROrel,Case=Abl|Numb=Sing
propter,propter,PRE,MORPH=empty
uetustatem,vetvstas,NOM3,Case=Acc|Numb=Sing
nuclei,nvclevs,NOM2,Case=Gen|Numb=Sing
delapsi,delabor,VER,Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep
sint,svm,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
tunsam,tvnda,ADJqua,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
puluerem,pvlvis,NOM3,Case=Acc|Numb=Sing
redactam,redigo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
saponis,sapona,NOM3,Case=Gen|Numb=Sing
Gallici,gallicvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
III,tres,ADJcar,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
Amminei,amminevs,NOM2,Case=Gen|Numb=Sing
uini,vinvm,NOM2,Case=Gen|Numb=Sing
cyathos,cyathvs,NOM2,Case=Acc|Numb=Plur
III,tres,ADJcar,Case=Acc|Numb=Plur
permiscebis,permisceo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
et,et,CONcoo,MORPH=empty
conteres,contero,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
atque,atqve,CONcoo,MORPH=empty
inde,inde,ADV,Deg=Pos
caput,capvt,NOM3,Case=Acc|Numb=Sing
inlines,illino,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
balneo,balinevm,NOM2,Case=Abl|Numb=Sing
lauabis,lavo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Sphondylio,sphondylivs,NOM2,Case=Dat|Numb=Sing
quoque,qvoqve,ADV,Deg=Pos
caput,capvt,NOM3,Case=Acc|Numb=Sing
perungeatur,pervngeo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
sed,sed,CONcoo,MORPH=empty
prius,privs,ADJadv.ord,Deg=Comp
radatur,rado,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Cornum,cornvs,NOM2,Case=Acc|Numb=Sing
arietis,aries,NOM3,Case=Gen|Numb=Sing
uratur,vro,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
cinis,cinis,NOM3,Case=Nom|Numb=Sing
-que,qvovs,CONcoo,MORPH=empty
eius,is,PROdem,Case=Gen|Numb=Sing
cum,cvm,PRE,MORPH=empty
oleo,olevm,NOM2,Case=Abl|Numb=Sing
conteratur,contero,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
atque,atqve,CONcoo,MORPH=empty
inde,inde,ADV,Deg=Pos
derasum,derado,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
caput,capvt,NOM3,Case=Nom|Numb=Sing
frequenter,freqventer,ADV,Deg=Pos
unguatur,vngvo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
.,qvadranta,ADJcar,Case=Acc|Numb=Sing
Capillis,capillvs,NOM2,Case=Abl|Numb=Plur
nigrandis,nigro,VER,Case=Abl|Numb=Plur|Deg=Pos|Mood=Adj|Voice=Pass
infectio,infectio,NOM3,Case=Nom|Numb=Sing
optima,bonvs,ADJqua,Case=Nom|Numb=Sing|Deg=Sup
Hirundinum,hirvndinvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
stercus,stercvs,NOM3,Case=Acc|Numb=Sing
quantum,qvantvm,PROrel,Case=Acc|Numb=Sing
sufficiat,svfficio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
cum,cvm,CONsub,MORPH=empty
aceti,acetvm,NOM2,Case=Gen|Numb=Sing
sextario,sextarivs,NOM2,Case=Abl|Numb=Sing|Deg=Pos
mitte,mitto,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
in,in,PRE,MORPH=empty
uas,vas,NOM3,Case=Acc|Numb=Sing
fictile,fictilis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
atque,atqve,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
fimo,fimvs,NOM2,Case=Abl|Numb=Sing
caballino,caballinvs,NOM2,Case=Abl|Numb=Sing
per,per,PRE,MORPH=empty
dies,dies,NOM5,Case=Acc|Numb=Plur
XXXV,qvinqve,ADJcar,Case=Ind
suffossum,svffodio,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
habeto,habeo,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
ac,ac,CONcoo,MORPH=empty
sic,sic,ADV,Deg=Pos
macerato,macero,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
atque,atqve,CONcoo,MORPH=empty
hoc,hic,PROdem,Case=Abl|Numb=Sing
medicamento,medicamentvm,NOM2,Case=Abl|Numb=Sing
rasum,rado,VER,Case=Acc|Numb=Sing
caput,capvt,NOM3,Case=Acc|Numb=Sing
inlinito,illino,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
in,in,PRE,MORPH=empty
umbra,vmbra,NOM1,Case=Abl|Numb=Sing
per,per,PRE,MORPH=empty
pinniculam,pinnicvla,NOM1,Case=Acc|Numb=Sing
pictoris,pictor,NOM3,Case=Gen|Numb=Sing
;,o,PRE,MORPH=empty
sed,sed,CONcoo,MORPH=empty
seuo,sevvs,NOM2,Case=Abl|Numb=Sing
ceruino,cervino,VER,Case=Abl|Numb=Sing|Tense=Pres|Voice=Act
faciem,facies,NOM5,Case=Acc|Numb=Sing
prius,privs,ADJadv.ord,Deg=Comp
perunge,pervngo,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
ne,ne,CONsub,MORPH=empty
quid,qvis,PROind,Case=Acc|Numb=Sing
inde,inde,ADV,Deg=Pos
destillet,destillo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
maculet,macvlo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
dum,dvm,CONsub,MORPH=empty
siccatur,sicco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
infectio,infectio,NOM3,Case=Nom|Numb=Sing
oleum,olevm,NOM2,Case=Acc|Numb=Sing
intra,intra,PRE,MORPH=empty
os,os,NOM3,Case=Acc|Numb=Sing
teneto,teneo,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
ne,ne,CONsub,MORPH=empty
et,et,CONcoo,MORPH=empty
dentes,dens,NOM3,Case=Nom|Numb=Plur
inficiantur,inficio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
ac,ac,CONcoo,MORPH=empty
post,post,ADV,Deg=Pos
inposueris,impono,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
medicame,medica,NOM2,Case=Acc|Numb=Sing|Deg=Pos
-ne,one,CONsub,MORPH=empty
quarto,qvartvs,ADJord,Case=Abl|Numb=Sing|Deg=Pos
die,dies,NOM5,Case=Abl|Numb=Sing
caput,capvt,NOM3,Case=Acc|Numb=Sing
lauato,lavo,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Medium,medivs,NOM2,Case=Acc|Numb=Sing
lapidem,lapis,NOM3,Case=Acc|Numb=Sing
conterito,contero,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
ei,is,PROdem,Case=Dat|Numb=Sing
-que,qvivis,CONcoo,Deg=Pos
admisceto,admisceo,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
nardi,nardvs,NOM2,Case=Gen|Numb=Plur
puri,pvrvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
quantum,qvantvm,PROrel,Case=Nom|Numb=Sing
satis,satis,ADV,Case=Ind|Deg=Pos
