form,lemma,pos,morph
I,vnvs,ADJcar,Case=Acc|Numb=Sing
Ad,ad,NOM7,Case=Acc|Numb=Sing
capitis,capvt,NOM3,Case=Gen|Numb=Sing
omnes,omnis,PROind,Case=Acc|Numb=Plur
subitos,svbitvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
diutinos,divtinvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
multiplices,mvltiplex,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
dolores,dolor,NOM3,Case=Acc|Numb=Plur
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
II,dvo,ADJcar,Case=Acc|Numb=Plur
Ad,ades,NOM3,Case=Acc|Numb=Sing
omnes,omnis,PROind,Case=Acc|Numb=Plur
dolores,dolor,NOM3,Case=Acc|Numb=Plur
emicranii,emicranivs,NOM2,Case=Nom|Numb=Plur
et,et,CONcoo,MORPH=empty
eterocranii,eterocranivs,NOM2,Case=Nom|Numb=Plur
subitos,svbitvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
diutinos,divtinvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
,,PRE,MORPH=empty
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
III,tres,ADJcar,Case=Acc|Numb=Plur
Ad,ad,NOM7,Case=Acc|Numb=Sing
uertiginem,vertigo,NOM3,Case=Acc|Numb=Sing
capitis,capvt,NOM3,Case=Gen|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Sing
IIII,qvatvor,ADJcar,Case=Ind
Pituriasi,pitvriasvs,NOM2,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
porrigini,porrigo,NOM3,Case=Dat|Numb=Sing
ac,ac,CONcoo,MORPH=empty
prurigini,prvrigo,NOM3,Case=Dat|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
ulceribus,vlcvs,NOM3,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
lindinibus,lindenes,NOM3,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
peduculis,pedvcvlvs,NOM1,Case=Abl|Numb=Plur
.,qvintvs,ADJcar,Case=Gen|Numb=Plur
V,qvinqve,ADJcar,Case=Ind
Ad,ad,NOM3,Case=Nom|Numb=Sing
capitis,capvt,NOM3,Case=Gen|Numb=Sing
reumata,revmo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
et,et,CONcoo,MORPH=empty
purgationem,pvrgatio,NOM3,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
pituitae,pitvita,NOM1,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
fleumatis,flevmo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
deductionem,dedvctio,NOM3,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
restrictionem,restrictio,NOM3,Case=Acc|Numb=Sing
catarri,catarvs,NOM2,Case=Gen|Numb=Sing
.,qvadrantal,ADJcar,Case=Gen|Numb=Sing
VI,sex,ADJcar,Case=Ind
