form,lemma,pos,morph
Lectis,lectis,NOM2,Case=Abl|Numb=Plur
duobus,dvo,ADJcar,Case=Abl|Numb=Plur
libris,liber,NOM2,Case=Abl|Numb=Plur
conpositionum,compositio,NOM3,Case=Gen|Numb=Plur
Graecis,graecvs,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
Pulli,pvllvs,NOM2,Case=Voc|Numb=Sing
Natalis,natalis,NOM3,Case=Voc|Numb=Plur
quos,qvi,PROrel,Case=Acc|Numb=Plur
misisti,mitto,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
mihi,ego,PROper,Case=Dat|Numb=Sing
ut,vt,CONsub,MORPH=empty
in,in,PRE,MORPH=empty
Latinum,latinvs,NOM2,Case=Acc|Numb=Sing
sermonem,sermo,NOM3,Case=Acc|Numb=Sing
conuerterem,converto,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
libenter,libenter,ADV,Deg=Pos
parui,parvvm,VER,Numb=Sing|Person=1
tuae,tvvs,PROpos,Case=Dat|Numb=Sing
uoluntati,volvntas,NOM3,Case=Dat|Numb=Sing
dignos,dignvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
eos,is,PROdem,Case=Acc|Numb=Plur
existimans,existimo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
quibus,qvi,PROrel,Case=Dat|Numb=Plur
operam,opera,NOM1,Case=Acc|Numb=Sing
inpenderem,impendo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
quoniam,qvoniam,CONsub,MORPH=empty
plenos,plenvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
utilitatis,vtilitas,NOM3,Case=Gen|Numb=Sing
conperi,comperio,VER,Mood=Ind|Voice=Act
.,vnvs,ADJcar,Case=Gen|Numb=Sing
Alioquin,aliocvin,NOM7,Case=Acc|Numb=Sing
excusassem,excvso,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=1
me,ego,PROper,Case=Acc|Numb=Sing
propositum,propositvm,VER,Case=Acc|Numb=Sing|Mood=Inf|Tense=Perf|Voice=Pass
habens,habeo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
nihil,nihil,PROind,Case=Ind
non,non,ADVneg,MORPH=empty
dignum,dignvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
sublimi,svblimis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
Romanorum,romanvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
maiestate,maiestas,NOM3,Case=Abl|Numb=Sing
de,de,PRE,MORPH=empty
bono,bonvs,NOM2,Case=Abl|Numb=Sing|Deg=Pos
medicinae,medicina,NOM1,Case=Gen|Numb=Sing
artis,ars,NOM3,Case=Gen|Numb=Sing
splendidissime,splendide,ADV,Deg=Sup
scribere,scribo,VER,Mood=Inf|Tense=Pres|Voice=Act
id,is,PROdem,Case=Acc|Numb=Sing
-que,qvivis,CONcoo,MORPH=empty
perennitati,perennitas,NOM3,Case=Dat|Numb=Sing
et,et,CONcoo,MORPH=empty
litteris,littera,NOM1,Case=Abl|Numb=Plur
mandare,mando,VER,Mood=Inf|Tense=Pres|Voice=Act
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Habebit,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ergo,ergo,CONcoo,MORPH=empty
et,et,CONcoo,MORPH=empty
praesens,praesens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
tempus,tempvs,NOM3,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
futura,svm,ADJqua,Case=Nom|Numb=Sing|Tense=Fut|Voice=Act
posteritas,posteritas,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
hoc,hic,PROdem,Case=Abl|Numb=Sing
perpetuae,perpetvvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
uoluntatis,volvntas,NOM3,Case=Gen|Numb=Sing
meae,mevs,PROpos,Case=Gen|Numb=Sing
curae,cvra,NOM1,Case=Gen|Numb=Sing
-que,qvovs,CONcoo,MORPH=empty
gratissimum,gratvs,ADJqua,Case=Nom|Numb=Sing|Deg=Sup
munus,mvnvs,NOM3,Case=Nom|Numb=Sing
siquidem,siqvidem,CONsub,MORPH=empty
bona,bonvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
ualetudine,valetvdo,NOM3,Case=Abl|Numb=Sing
nihil,nihil,PROind,Case=Ind
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
pulchrius,pvlcher,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
.,vnvs,NOM2,Case=Gen|Numb=Sing
Dedi,dedivs,NOM2,Case=Gen|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
operam,opera,NOM1,Case=Acc|Numb=Sing
quantam,qvantvs,PROint,Case=Acc|Numb=Sing
potui,possvm,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
ut,vt,CONsub,MORPH=empty
ad,ad,PRE,MORPH=empty
uerbum,verbvm,NOM2,Case=Acc|Numb=Sing
transferrem,transfero,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
quae,qvi,PROrel,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
Graecis,graecvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
medicinalibus,medicinalis,NOM3,Case=Abl|Numb=Plur
repperi,reperio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
nec,nec,CONcoo,MORPH=empty
necessariam,necessarivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
curam,cvra,NOM1,Case=Acc|Numb=Sing
cultus,cvltvs,NOM4,Case=Gen|Numb=Sing
orationis,oratio,NOM3,Case=Gen|Numb=Sing
putaui,pvto,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
quia,qvia,CONsub,MORPH=empty
rectius,recte,ADV,Deg=Comp
duxi,dvco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
proprietates,proprietas,NOM3,Case=Acc|Numb=Plur
nominum,nomen,NOM3,Case=Gen|Numb=Plur
edere,edo,VER,Mood=Inf|Tense=Pres|Voice=Act
et,et,CONcoo,MORPH=empty
rem,res,NOM5,Case=Acc|Numb=Sing
ueram,vervs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
sub,svb,PRE,MORPH=empty
herbarum,herba,NOM1,Case=Gen|Numb=Plur
peregrinarum,peregrinvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
uocabulis,vocabvlvm,NOM2,Case=Abl|Numb=Plur
explicare,explico,VER,Mood=Inf|Tense=Pres|Voice=Act
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Vnum,vnvs,NOM2,Case=Acc|Numb=Sing
genus,genvs,NOM3,Case=Acc|Numb=Sing
fateor,fateor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
me,ego,PROper,Case=Acc|Numb=Sing
translationis,translatio,NOM3,Case=Gen|Numb=Sing
de,de,PRE,MORPH=empty
industria,indvstria,NOM1,Case=Abl|Numb=Sing
declinasse,declino,VER,Mood=Inf|Tense=Perf|Voice=Act
quo,qvi,PROrel,MORPH=empty
fere,fere,ADV,Deg=Pos
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
utuntur,vtor,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
in,in,PRE,MORPH=empty
medicamentorum,medicamentvm,NOM2,Case=Gen|Numb=Plur
scripturis,scriptvra,NOM1,Case=Abl|Numb=Plur
omnia,omnis,PROind,Case=Acc|Numb=Plur
ad,ad,PRE,MORPH=empty
secundum,secvndvm,PRE,Case=Acc|Numb=Sing
personam,persona,NOM1,Case=Acc|Numb=Sing
dirigentes,dirigo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
Ego,ego,NOM3,Case=Nom|Numb=Sing
uero,vero,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
usum,vsvs,NOM4,Case=Acc|Numb=Sing
medicamentorum,medicamentvm,NOM2,Case=Gen|Numb=Plur
quae,qvi,PROrel,Case=Acc|Numb=Plur
edidi,edo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
ominis,omen,NOM3,Case=Gen|Numb=Sing
boni,bonvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
gratia,gratia,NOM1,Case=Abl|Numb=Sing
malui,malo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
quam,qvam,CONsub,MORPH=empty
infinitam,infinitvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
inserere,insero,VER,Mood=Inf|Tense=Pres|Voice=Act
personam,persona,NOM1,Case=Acc|Numb=Sing
admonerem,admoneo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
-que,qvovs,CONcoo,Deg=Pos
nisi,nisi,CONsub,MORPH=empty
certum,certvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
haberem,habeo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
te,tv,PROper,Case=Acc|Numb=Sing
non,non,ADVneg,MORPH=empty
ignorare,ignoro,VER,Mood=Inf|Tense=Pres|Voice=Act
me,ego,PROper,Case=Acc|Numb=Sing
huiusmodi,hvivsmodi,ADV,Deg=Pos
bona,bonvm,NOM2,Case=Acc|Numb=Plur|Deg=Pos
utilitatis,vtilitas,NOM3,Case=Gen|Numb=Sing
magis,magis,ADV,Deg=Comp
quam,qvam,ADVrel,MORPH=empty
delectationis,delectatio,NOM3,Case=Gen|Numb=Sing
