form,lemma,pos,morph
Claude,clavdes,NOM3,Case=Voc|Numb=Sing
precor,precor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
miseras,miser,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
aetas,aetas,NOM3,Case=Nom|Numb=Sing
uerbosa,verbosvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
querelas,qverela,NOM1,Case=Acc|Numb=Plur
numquid,nvmqvid,ADVint,MORPH=empty
et,et,CONcoo,MORPH=empty
hic,hic,ADV,Case=Nom|Numb=Sing
uitium,vitivm,NOM2,Case=Acc|Numb=Sing
uis,volo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
reserare,resero,VER,Mood=Inf|Tense=Pres|Voice=Act
tuum,tvvs,PROpos,Case=Acc|Numb=Sing
sic,sic,ADV,Deg=Pos
satis,satis,ADV,Deg=Pos
indignum,indignvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
leuiter,leviter,ADV,Deg=Pos
tetigisse,tango,VER,Mood=Inf|Tense=Perf|Voice=Act
pudorem,pvdor,NOM3,Case=Acc|Numb=Sing
contractata,contracto,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
diu,div,ADV,Deg=Pos
crimina,crimen,NOM3,Case=Acc|Numb=Plur
crimen,crimen,NOM3,Case=Acc|Numb=Sing
habent,habeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Ind|Numb=Plur
omnibus,omnis,PROind,Case=Dat|Numb=Plur
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
eadem,idem,PROdem,Case=Nom|Numb=Sing
leti,letvm,NOM2,Case=Gen|Numb=Sing
uia,via,NOM1,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
tamen,tamen,ADV,Deg=Pos
unus,vnvs,ADJcar,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uitae,vita,NOM1,Case=Gen|Numb=Sing
cunctis,cvnctvs,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
exitii,exitivm,NOM2,Case=Gen|Numb=Sing
-que,qvove,CONcoo,MORPH=empty
modus,modvs,NOM2,Case=Nom|Numb=Sing
hac,hic,PROdem,Case=Abl|Numb=Sing
pueri,pver,NOM2,Case=Nom|Numb=Plur
atque,atqve,CONcoo,MORPH=empty
senes,senex,NOM3,Case=Nom|Numb=Plur
pariter,pariter,ADV,Deg=Pos
iuuenes,ivvenis,NOM3,Case=Nom|Numb=Plur
-que,qvovs,CONcoo,Deg=Pos
feruntur,fero,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
hac,hic,PROdem,Case=Abl|Numb=Sing
par,par,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
diuitibus,dives,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
pauper,pavper,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
egenus,egenvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
erit,svm,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
.,qvadrantal,ADJcar,Case=Gen|Numb=Sing
ergo,ergo,CONcoo,MORPH=empty
quod,qvi,PROrel,Case=Nom|Numb=Sing
attritum,attero,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
quodque,qvisqve,PROind,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uitabile,vitabilis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
nulli,nvllvs,PROind,Case=Dat|Numb=Sing
festino,festinvs,VER,Case=Abl|Numb=Sing|Tense=Pres|Voice=Act
gressu,gressvs,NOM4,Case=Abl|Numb=Sing
uincere,vinco,VER,Mood=Inf|Tense=Pres|Voice=Act
praestat,praesto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
iter,iter,NOM3,Case=Acc|Numb=Sing
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
infelix,infelix,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ceu,cev,INJ,MORPH=empty
iam,iam,ADV,Deg=Pos
defleto,defleo,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act
funere,fvnvs,NOM3,Case=Abl|Numb=Sing
surgo,svrgo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
hac,hac,ADV,Case=Abl
me,ego,PROper,Case=Acc|Numb=Sing
defunctum,defvngor,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
uiuere,vivo,VER,Mood=Inf|Tense=Pres|Voice=Act
parte,pars,NOM3,Case=Abl|Numb=Sing
puto,pvto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
