form,lemma,pos,morph
Hoc,hoc,NOM3,Case=Nom|Numb=Sing
carmen,carmen,NOM3,Case=Nom|Numb=Sing
quod,qvi,PROrel,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
ipsum,ipse,PROdem,Case=Acc|Numb=Sing
contineri,contineo,VER,Mood=Inf|Tense=Pres|Voice=Pass
libro,liber,NOM2,Case=Abl|Numb=Sing
Parisiensi,parisienses,NOM3,Case=Dat|Numb=Sing
f.,filivs,NOM2,Case=Nom|Numb=Sing
u,ve,ADVint,MORPH=empty
r,ro,NOM3,Numb=Sing
Claudii,clavdivs,NOM2,Case=Gen|Numb=Sing
Marii,marivs,NOM2,Case=Gen|Numb=Sing
Victoris,victor,NOM3,Case=Gen|Numb=Sing
Alethiae,alethia,NOM1,Case=Gen|Numb=Sing
subiunctum,svbivngo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
supra,svpra,ADV,Deg=Pos
diximus,dico,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
idem,idem,PROdem,Case=Nom|Numb=Plur
cuius,qvi,PROrel,Case=Gen|Numb=Sing
fraudes,fravs,NOM3,Case=Acc|Numb=Plur
modo,modo,ADV,Deg=Pos
notauimus,noto,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
Gagneius,gagneivs,NOM2,Case=Nom|Numb=Sing
primus,primvs,ADJord,Case=Nom|Numb=Sing|Deg=Sup
edidit,edo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ita,ita,ADV,Deg=Pos
ut,vt,CONsub,MORPH=empty
non,non,ADVneg,MORPH=empty
curans,cvro,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
quod,qvod,PROrel,Case=Acc
in,in,PRE,MORPH=empty
codice,cavdex,NOM3,Case=Abl|Numb=Sing
Lugdunensi,lvgdvnensis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
si,si,CONsub,MORPH=empty
quidem,qvidem,ADV,Deg=Pos
talem,talis,PROdem,Case=Acc|Numb=Sing
librum,liber,NOM2,Case=Acc|Numb=Sing
habuit,habeo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
sine,sine,PRE,MORPH=empty
dubio,dvbivm,NOM2,Case=Abl|Numb=Sing
eodem,idem,PROdem,Case=Abl|Numb=Sing
