form,lemma,pos,morph
Praecepit,praeceps,NOM3,Case=Nom|Numb=Sing
dominus,dominvs,NOM2,Case=Nom|Numb=Sing
coruis,corvvs,NOM2,Case=Abl|Numb=Plur
ut,vt,CONsub,MORPH=empty
pascerent,pasco,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
Heliam,helia,NOM1,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
torrente,torrens,NOM3,Case=Abl|Numb=Sing
Choreb,chores,NOM3,Case=Acc|Numb=Sing
sedentem,sedeo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
mira,mirvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
profecto,profecto,ADV,Deg=Pos
res,res,NOM5,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
uiro,vir,NOM2,Case=Dat|Numb=Sing
sancto,sanctvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
auis,avis,NOM3,Case=Nom|Numb=Sing
inmunda,immvndvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
uitae,vita,NOM1,Case=Gen|Numb=Sing
subsidia,svbsidivm,NOM2,Case=Acc|Numb=Plur
ministraret,ministro,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Gen|Numb=Plur
unde,vnde,ADVrel,MORPH=empty
si,si,CONsub,MORPH=empty
et,et,CONcoo,MORPH=empty
nos,nos,PROper,Case=Acc|Numb=Plur
contemnentes,contemno,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
etiam,etiam,ADV,Deg=Pos
propria,proprivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
imitemur,imitor,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=1
paupertatem,pavpertas,NOM3,Case=Acc|Numb=Sing
Heliae,helia,NOM1,Case=Gen|Numb=Sing
credite,credo,VER,Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
dicenti,dico,VER,Case=Dat|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
quod,qvi,PROrel,MORPH=empty
inmunda,immvndvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
animalia,animal,NOM3,Case=Nom|Numb=Plur
id,is,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
homines,homo,NOM3,Case=Nom|Numb=Plur
peccatores,peccator,NOM3,Case=Nom|Numb=Plur
deuoto,devoveo,ADJqua,Case=Abl|Numb=Sing|Mood=Par|Voice=Pass
nobis,nos,PROper,Case=Dat|Numb=Plur
obsequio,obseqvivm,NOM2,Case=Abl|Numb=Sing
ministrabunt,ministro,VER,Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Cur,cvr,NOM2,Case=Nom|Numb=Sing
Heliseus,helisevs,NOM2,Case=Nom|Numb=Sing
mansuetus,mansvetvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ac,ac,CONcoo,MORPH=empty
mitis,mitis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
paruulos,parvvlvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
legimus,lego,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
bestiis,bestia,NOM1,Case=Abl|Numb=Plur
tradidisse,trado,VER,Mood=Inf|Tense=Perf|Voice=Act
Heliseus,helisevs,NOM2,Case=Nom|Numb=Sing
propheta,propheta,NOM1,Case=Acc|Numb=Sing
figuram,figvra,NOM1,Case=Acc|Numb=Sing
Christi,christvs,NOM2,Case=Gen|Numb=Sing
gerebat,gero,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
denique,deniqve,ADV,Deg=Pos
uocabulum,vocabvlvm,NOM2,Case=Nom|Numb=Sing
istud,iste,PROdem,Case=Acc|Numb=Sing
istud,iste,PROdem,Case=Acc|Numb=Sing
