form,lemma,pos,morph
Taediosam,taediosvs,NOM1,Case=Acc|Numb=Sing
pietatem,pietas,NOM3,Case=Acc|Numb=Sing
uestram,vester,PROpos,Case=Acc|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
tenui,tenvis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
rumore,rvmor,NOM3,Case=Abl|Numb=Sing
cognoui,cognosco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
sed,sed,CONcoo,MORPH=empty
harum,hic,PROdem,Case=Gen|Numb=Plur
baiulum,baivlvs,NOM2,Case=Acc|Numb=Sing
destinaui,destino,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
ut,vt,CONsub,MORPH=empty
anxietatem,anxietas,NOM3,Case=Acc|Numb=Sing
meam,mevs,PROpos,Case=Acc|Numb=Sing
de,de,PRE,MORPH=empty
acerbitate,acerbitas,NOM3,Case=Abl|Numb=Sing
nuntii,nvntivs,NOM2,Case=Nom|Numb=Plur
celeriter,celeriter,ADV,Deg=Pos
releuetis,relevo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=2
quia,qvia,CONsub,MORPH=empty
scit,scio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
diuina,divinvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
pietas,pietas,NOM3,Case=Nom|Numb=Sing
quod,qvod,CONsub,MORPH=empty
et,et,CONcoo,MORPH=empty
tristitiam,tristitia,NOM1,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
infirmitatem,infirmitas,NOM3,Case=Acc|Numb=Sing
uestram,vester,PROpos,Case=Acc|Numb=Sing
non,non,ADVneg,MORPH=empty
conpatientis,compatior,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
sed,sed,CONcoo,MORPH=empty
perferentis,perfero,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
dolore,dolor,NOM3,Case=Abl|Numb=Sing
participo,participo,NOM3,Case=Abl|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
sic,sic,ADV,Deg=Pos
ita,ita,ADV,Deg=Pos
concedat,concedo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
diuina,divinvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
miseratio,miseratio,NOM3,Case=Nom|Numb=Sing
ut,vt,CONsub,MORPH=empty
mihi,ego,PROper,Case=Dat|Numb=Sing
per,per,PRE,MORPH=empty
multos,mvltvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
annos,annvs,NOM2,Case=Acc|Numb=Plur
exterioris,exter,ADJqua,Case=Gen|Numb=Sing|Deg=Comp
uestri,vester,PROpos,Case=Gen|Numb=Sing
uigorem,vigor,NOM3,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
alacritatem,alacritas,NOM3,Case=Acc|Numb=Sing
integrae,integer,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
sanitatis,sanitas,NOM3,Case=Gen|Numb=Sing
indulgeat,indvlgeo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
quia,qvia,CONsub,MORPH=empty
uere,vere,ADV,Deg=Pos
tunc,tvnc,ADV,Deg=Pos
reparatum,reparo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
me,ego,PROper,Case=Acc|Numb=Sing
sentio,sentio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
si,si,CONsub,MORPH=empty
de,de,PRE,MORPH=empty
sospitate,sospitas,NOM3,Case=Abl|Numb=Sing
uestra,vester,PROpos,Case=Abl|Numb=Sing
celerius,celeriter,ADV,Deg=Comp
optata,optatvm,VER,Numb=Sing|Tense=Perf|Voice=Pass
cognouero,cognosco,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Sing
