form,lemma,pos,morph
Natandi,natandvs,NOM2,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
usum,vsvs,NOM4,Case=Acc|Numb=Sing
aestiuis,aestivvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
mensibus,mensis,NOM3,Case=Abl|Numb=Plur
omnis,omnis,PROind,Case=Nom|Numb=Sing
aequaliter,aeqvaliter,ADV,Deg=Pos
debet,debeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
tiro,tiro,NOM3,Case=Nom|Numb=Sing
condiscere,condisco,VER,Mood=Inf|Tense=Pres|Voice=Act
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Non,non,NOM7,MORPH=empty
enim,enim,CONcoo,MORPH=empty
semper,semper,ADV,Deg=Pos
pontibus,pons,NOM3,Case=Abl|Numb=Plur
flumina,flvmen,NOM3,Case=Nom|Numb=Plur
transeuntur,transeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
sed,sed,CONcoo,MORPH=empty
et,et,CONcoo,MORPH=empty
cedens,cedo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
et,et,CONcoo,MORPH=empty
insequens,inseqvor,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Dep
natare,nato,VER,Mood=Inf|Tense=Pres|Voice=Act
cogitur,cogo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
frequenter,freqventer,ADV,Deg=Pos
exercitus,exercitvs,NOM4,Case=Nom|Numb=Plur
.,vnvs,ADJcar,Case=Gen|Numb=Plur
Saepe,saepe,NOM2,Case=Nom|Numb=Sing
repentinis,repentinvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
imbribus,imber,NOM3,Case=Abl|Numb=Plur
uel,vel,CONcoo,MORPH=empty
niuibus,nix,NOM3,Case=Abl|Numb=Plur
solent,soleo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=SemDep|Person=3
exundare,exvndo,VER,Mood=Inf|Tense=Pres|Voice=Act
torrentes,torrens,ADJqua,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
ignorantia,ignorantia,NOM1,Case=Abl|Numb=Sing
non,non,ADVneg,MORPH=empty
solum,solvm,ADV,Deg=Pos
ab,ab,PRE,MORPH=empty
hoste,hostis,NOM3,Case=Abl|Numb=Sing
sed,sed,CONcoo,MORPH=empty
etiam,etiam,ADV,Deg=Pos
ab,ab,PRE,MORPH=empty
ipsis,ipse,PROdem,Case=Abl|Numb=Plur
aquis,aqva,NOM1,Case=Abl|Numb=Plur
discrimen,discrimen,NOM3,Case=Nom|Numb=Sing
incurrit,incvrro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Ideo,ideo,NOM2,Case=Abl|Numb=Sing
-que,qvove,CONcoo,MORPH=empty
Romani,romani,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
ueteres,vetvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
quos,qvi,PROrel,Case=Acc|Numb=Plur
tot,tot,PROdem,Case=Ind
bella,bellvm,NOM2,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
continuata,continvo,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
pericula,pericvlvm,NOM2,Case=Acc|Numb=Plur
ad,ad,PRE,MORPH=empty
omnem,omnis,PROind,Case=Acc|Numb=Sing
rei,res,NOM5,Case=Gen|Numb=Sing
militaris,militaris,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
erudiuerant,ervdio,VER,Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
artem,ars,NOM3,Case=Acc|Numb=Sing
campum,campvs,NOM2,Case=Acc|Numb=Sing
Martium,martivs,NOM2,Case=Acc|Numb=Sing|Deg=Pos
uicinum,vicinvs,NOM2,Case=Acc|Numb=Sing|Deg=Pos
Tiberi,tiberis,NOM3,Case=Dat|Numb=Sing
delegerunt,deligo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
in,in,PRE,MORPH=empty
quo,qvi,PROrel,Case=Abl|Numb=Sing
iuuentus,ivventvs,NOM3,Case=Nom|Numb=Sing
post,post,PRE,MORPH=empty
exercitium,exercitivm,NOM2,Case=Acc|Numb=Sing
armorum,arma,NOM2,Case=Gen|Numb=Plur
sudorem,svdor,NOM3,Case=Acc|Numb=Sing
puluerem,pvlvis,NOM3,Case=Acc|Numb=Sing
-que,qvovs,CONcoo,MORPH=empty
dilueret,dilvo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
ac,ac,CONcoo,MORPH=empty
lassitudinem,lassitvdo,NOM3,Case=Acc|Numb=Sing
cursus,cvrsvs,NOM4,Case=Gen|Numb=Sing
natandi,nato,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
labore,labor,NOM3,Case=Abl|Numb=Sing
deponeret,depono,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Non,non,NOM3,MORPH=empty
solum,solvm,ADV,Deg=Pos
autem,avtem,CONcoo,MORPH=empty
pedites,pedes,NOM3,Case=Nom|Numb=Plur
sed,sed,CONcoo,MORPH=empty
et,et,CONcoo,MORPH=empty
equites,eqves,NOM3,Case=Acc|Numb=Plur
ipsos,ipse,PROdem,Case=Acc|Numb=Plur
-que,qvove,CONcoo,MORPH=empty
equos,eqvvs,NOM2,Case=Acc|Numb=Plur
uel,vel,CONcoo,MORPH=empty
lixas,lixa,NOM1,Case=Acc|Numb=Plur
quos,qvi,PROrel,Case=Acc|Numb=Plur
galliarios,galliarivs,NOM2,Case=Acc|Numb=Plur
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ad,ad,PRE,MORPH=empty
natandum,nato,VER,Case=Acc|Numb=Sing|Mood=Ger|Voice=Act
exercere,exerceo,VER,Mood=Inf|Tense=Pres|Voice=Act
percommodum,percommodvm,NOM2,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ne,ne,CONsub,MORPH=empty
quid,qvis,PROind,Case=Nom|Numb=Sing
imperitis,imperitvs,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
cum,cvm,CONsub,MORPH=empty
necessitas,necessitas,NOM3,Case=Nom|Numb=Sing
incumbit,incvmbo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
eueniat,evenio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
