form,lemma,pos,morph
Legio,legio,NOM2,Case=Dat|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
non,non,ADVneg,MORPH=empty
tantum,tantvm,ADV,Deg=Pos
militum,miles,NOM3,Case=Gen|Numb=Plur
numero,nvmervs,NOM2,Case=Abl|Numb=Sing
sed,sed,CONcoo,MORPH=empty
etiam,etiam,ADV,Deg=Pos
genere,genvs,NOM3,Case=Abl|Numb=Sing
ferramentorum,ferramentvm,NOM2,Case=Gen|Numb=Plur
uincere,vinco,VER,Mood=Inf|Tense=Pres|Voice=Act
consueuit.Primum,consvesitaripvs,NOM2,Case=Acc|Numb=Sing
omnium,omnis,PROind,Case=Gen|Numb=Plur
instruitur,instrvo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
iaculis,iacvlvm,NOM2,Case=Abl|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Plur
nullae,nvllvs,PROind,Case=Nom|Numb=Plur
loricae,lorica,NOM1,Case=Nom|Numb=Plur
nulla,nvllvs,PROind,Case=Nom|Numb=Plur
possunt,possvm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
scuta,scvtvm,NOM2,Case=Acc|Numb=Plur
sufferre,svffero,VER,Mood=Inf|Tense=Pres|Voice=Act
.,qvintvs,ADJcar,Case=Gen|Numb=Plur
Nam,nam,NOM1,Case=Acc
per,per,PRE,MORPH=empty
singulas,singvlvs,ADJdis,Case=Acc|Numb=Plur
centurias,centvria,NOM1,Case=Acc|Numb=Plur
singulas,singvlvs,ADJdis,Case=Acc|Numb=Plur
carroballistas,carroballis,NOM1,Case=Nom|Numb=Sing
habere,habeo,VER,Mood=Inf|Tense=Pres|Voice=Act
consueuit,consvesco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
quibus,qvi,PROrel,Case=Dat|Numb=Plur
muli,mvlvs,NOM2,Case=Nom|Numb=Plur
ad,ad,PRE,MORPH=empty
trahendum,traho,VER,Case=Acc|Numb=Sing|Mood=Ger|Voice=Act
et,et,CONcoo,MORPH=empty
singula,singvlvs,ADJdis,Case=Acc|Numb=Plur
contubernia,contvbernivm,NOM2,Case=Nom|Numb=Plur
ad,ad,PRE,MORPH=empty
armandum,armo,VER,Case=Acc|Numb=Sing|Mood=Ger|Voice=Act
uel,vel,CONcoo,MORPH=empty
dirigendum,dirigo,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
hoc,hic,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
undecim,vndecim,ADJcar,Case=Ind
homines,homo,NOM3,Case=Nom|Numb=Plur
deputantur,depvto,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Hae,haedvs,NOM7,Case=Nom|Numb=Sing
quanto,qvanto,ADVint,MORPH=empty
maiores,maiores,NOM3,Case=Nom|Numb=Plur|Deg=Comp
fuerint,svm,VER,Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
tanto,tanto,ADV,Deg=Pos
longius,longe,ADV,Deg=Comp
ac,ac,CONcoo,MORPH=empty
fortius,fortiter,ADV,Deg=Comp
tela,telvm,NOM2,Case=Nom|Numb=Plur
