form,lemma,pos,morph
I,vnvs,ADJcar,Case=Acc|Numb=Sing
In,vnvs,ADJcar,Case=Acc
quot,qvot,ADJcar,Case=Ind
genera,genvs,NOM3,Case=Acc|Numb=Plur
diuidatur,divido,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
res,res,NOM5,Case=Nom|Numb=Sing
militarisII,milltaris,ADJqua,Case=Nom|Deg=Pos
Quid,qvis,PROrel,Case=Acc|Numb=Sing
inter,inter,PRE,MORPH=empty
legiones,legio,NOM3,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
auxilia,avxilivm,NOM2,Case=Acc|Numb=Plur
intersitIII,intersitim,ADJord,Deg=Pos
Quae,qvis,PROrel,Case=Gen|Numb=Sing
causa,cavsa,NOM1,Case=Abl|Numb=Sing
exhauriri,exhavrio,VER,Mood=Inf|Tense=Pres|Voice=Pass
fecerit,facio,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
legionesIIII,qegiones,ADJcar,Case=Ind
Quotenas,qvotenvs,NOM1,Case=Acc|Numb=Plur
legiones,legio,NOM3,Case=Acc|Numb=Plur
antiqui,antiqvvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
ad,ad,PRE,MORPH=empty
bellum,bellvm,NOM2,Case=Acc|Numb=Sing
duxerintV,dvco,VER,Voice=Pass
Quemadmodum,qvemadmodvm,NOM2,Case=Gen|Numb=Sing
legio,legio,NOM3,Case=Nom|Numb=Sing
constituaturVI,constitvo,VER,Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
Quot,qvot,PROind,Case=Nom|Numb=Sing
cohortes,cohors,NOM3,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
una,vnvs,ADJcar,Case=Abl|Numb=Sing
sint,svm,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
legione,legio,NOM3,Case=Abl|Numb=Sing
item,item,ADV,Deg=Pos
quot,qvot,PROrel,Case=Ind
milites,miles,NOM3,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
una,vnvs,ADJcar,Case=Abl|Numb=Sing
cohorte,cohors,NOM3,Case=Abl|Numb=Sing
sintVII,sentvarivs,ADJcar,MORPH=empty
Nomina,nomina,NOM1,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
gradus,gradvs,NOM4,Case=Nom|Numb=Plur
principiorum,principivm,NOM2,Case=Gen|Numb=Plur
legionisVIII,qegionesis,ADJcar,Case=Ind
Nomina,nomina,NOM1,Case=Nom|Numb=Sing
eorum,is,PROdem,Case=Gen|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
antiquos,antiqvvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
ordines,ordo,NOM3,Case=Acc|Numb=Plur
duxeruntVIIII,dvxvs,ADJcar,Case=Nom|Numb=Sing
De,decenti,NOM7,Case=Abl|Numb=Sing
officio,officivm,NOM2,Case=Abl|Numb=Sing
praefecti,praefectvs,NOM2,Case=Gen|Numb=Plur
legionisX,legio,NOM3,Case=Abl|Numb=Sing
De,decenti,NOM7,Case=Abl|Numb=Sing
officio,officivm,NOM2,Case=Abl|Numb=Sing
praefecti,praefectvs,NOM2,Case=Gen|Numb=Plur
castrorumXI,castrorimvs,NOM2,Case=Gen
De,decemvs,NOM7,Case=Abl|Numb=Sing
officio,officivm,NOM2,Case=Abl|Numb=Sing
praefecti,praefectvs,NOM2,Case=Gen|Numb=Sing
fabrorumXII,fabrorvs,NOM2,Case=Ind
De,decenti,NOM7,Case=Abl|Numb=Sing
officio,officivm,NOM2,Case=Abl|Numb=Sing
tribuni,tribvnvs,NOM2,Case=Nom|Numb=Plur
militumXIII,mille,ADJcar,Case=Ind
De,decemvir,NOM2,Case=Abl|Numb=Sing
centuriis,centvria,NOM1,Case=Abl|Numb=Plur
atque,atqve,CONcoo,MORPH=empty
uexillis,vexillvm,NOM2,Case=Abl|Numb=Plur
peditumXIIII,peditvs,ADJcar,Case=Ind|Deg=Pos
De,decenti,NOM2,Case=Abl|Numb=Sing
turmis,tvrma,NOM1,Case=Abl|Numb=Plur
equitum,eqves,NOM3,Case=Gen|Numb=Plur
legionariorumXV,legionarion,ADJord,Case=Gen|Deg=Pos
Quemadmodum,qvemadmodvm,NOM2,Case=Gen|Numb=Sing
legionum,legio,NOM3,Case=Gen|Numb=Plur
acies,acies,NOM5,Case=Nom|Numb=Plur
instruanturXVI,instrvo,VER,Numb=Sing|Mood=Ind|Voice=Pass|Person=1
Quemadmodum,qvemadmodvm,NOM2,Case=Gen|Numb=Sing
triarii,triarivm,NOM2,Case=Nom|Numb=Plur
uel,vel,CONcoo,MORPH=empty
centuriones,centvrio,NOM3,Case=Nom|Numb=Plur
armenturXVII,armentiri,NOM2,Case=Nom|Numb=Sing
Commissa,commissvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
pugna,pvgna,NOM1,Case=Abl|Numb=Sing
grauem,gravis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
armaturam,armatvra,NOM1,Case=Acc|Numb=Sing
stare,sto,VER,Mood=Inf|Tense=Pres|Voice=Act
pro,pro,PRE,MORPH=empty
muroXVIII,mirnvs,ADJord,Case=Abl|Deg=Pos
Nomina,nomina,NOM1,Case=Abl|Numb=Sing
militum,miles,NOM3,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
gradus,gradvs,NOM4,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
scutis,scvtvm,NOM2,Case=Abl|Numb=Plur
eorum,is,PROdem,Case=Gen|Numb=Plur
auersis,averto,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
scribendaXVIIII,scribendani,ADJqua,Case=Ind|Numb=Sing
Praeter,praeter,NOM2,Case=Nom|Numb=Sing
corporis,corpvs,NOM3,Case=Gen|Numb=Sing
robur,robvr,NOM3,Case=Acc|Numb=Sing
notarum,nota,NOM1,Case=Gen|Numb=Plur
uel,vel,CONcoo,MORPH=empty
computandi,compvto,VER,Case=Gen|Numb=Sing|Mood=Adj|Voice=Pass
artem,ars,NOM3,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
tironibus,tiro,NOM3,Case=Abl|Numb=Plur
eligendamXX,eligendam,ADJcar,Case=Acc|Numb=Sing
Donatiui,donativvs,NOM2,Case=Gen|Numb=Sing
partem,pars,NOM3,Case=Acc|Numb=Sing
dimidiam,dimidivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
debent,debeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
apud,apvd,PRE,MORPH=empty
signa,signvm,NOM2,Case=Acc|Numb=Plur
milites,miles,NOM3,Case=Acc|Numb=Plur
sequestrare,seqvestro,VER,Mood=Inf|Tense=Pres|Voice=Act
