form,lemma,pos,morph
I,vnvs,ADJcar,Case=Acc|Numb=Sing
Qui,qvi,PROrel,Case=Gen|Numb=Sing
modus,modvs,NOM2,Case=Nom|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
debeat,debeo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
exercitusII,exercitvs,NOM2,MORPH=empty
Quemadmodum,qvemadmodvm,NOM2,Case=Gen|Numb=Sing
sanitas,sanitas,NOM3,Case=Nom|Numb=Sing
gubernetur,gvberno,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
exercitusIII,exercitvs,NOM2,MORPH=empty
Quanta,qvantvs,NOM1,Case=Nom|Numb=Sing
cura,cvra,NOM1,Case=Nom|Numb=Sing
prouidenda,provideo,VER,Case=Nom|Numb=Plur|Mood=Adj|Voice=Pass
sint,svm,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
atque,atqve,CONcoo,MORPH=empty
seruanda,servo,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
pabula,pabvlvm,NOM2,Case=Acc|Numb=Plur
uel,vel,CONcoo,MORPH=empty
frumentaIIII,frvmentavs,ADJcar,Case=Ind
Quemadmodum,qvemadmodvm,ADJcar,Case=Gen|Numb=Sing
oporteat,oportet,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
prouidere,provideo,VER,Mood=Inf|Tense=Pres|Voice=Act
ne,ne,CONsub,MORPH=empty
seditionem,seditio,NOM3,Case=Acc|Numb=Sing
milites,miles,NOM3,Case=Nom|Numb=Plur
faciantV,faciantvs,ADV,Deg=Pos
Signorum,signi,NOM2,Case=Gen|Numb=Plur
militarium,militaris,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
quanta,qvantvs,PROrel,Case=Nom|Numb=Plur
sint,svm,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
generaVI,generas,NOM2,Case=Nom|Numb=Sing
Quanta,qvantvs,ADJcar,Case=Nom|Numb=Sing
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
seruanda,servo,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
cautela,cavtela,NOM1,Case=Nom|Numb=Sing
cum,cvm,PRE,MORPH=empty
uicinis,vicinvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
hostibus,hostis,NOM3,Case=Abl|Numb=Plur
mouetur,moveo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
exercitusVII,exercitvs,ADJcar,Case=Ind
Quemadmodum,qvemadmodvm,NOM2,Case=Gen|Numb=Sing
flumina,flvmen,NOM3,Case=Nom|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Plur
maiora,magnvs,ADJqua,Case=Nom|Numb=Plur|Deg=Comp
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
transeanturVIII,transeo,VER,Numb=Sing|Tense=Pres|Voice=Pass
Quemadmodum,qvemadmodvm,NOM2,Case=Gen
castra,castra,NOM2,Case=Nom|Numb=Plur
debeant,debeo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ordinariVIIII,ordinaris,ADJcar,Case=Ind|Deg=Pos
Quae,qvi,PROrel,Case=Nom|Numb=Plur
et,et,CONcoo,MORPH=empty
quanta,qvantvs,PROrel,Case=Nom|Numb=Plur
consideranda,considero,VER,Case=Nom|Numb=Plur|Mood=Adj|Voice=Pass
sint,svm,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
intellegatur,intelligo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
utrum,vtrvm,ADVint,MORPH=empty
superuentibus,svpervenio,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
et,et,CONcoo,MORPH=empty
insidiis,insidiae,NOM1,Case=Abl|Numb=Plur
an,an,ADVint,MORPH=empty
publico,pvblicvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
debeat,debeo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Marte,mars,NOM3,Case=Abl|Numb=Sing
confligiX,confliginis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
Quid,qvis,PROrel,Case=Acc|Numb=Sing
oporteat,oportet,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
fieri,fio,VER,Mood=Inf|Tense=Pres|Voice=Act
si,si,CONsub,MORPH=empty
quis,qvis,PROind,Case=Nom|Numb=Sing
