form,lemma,pos,morph
Multis,mvlti,NOM2,Case=Dat|Numb=Plur
quoque,qvoqve,ADV,Deg=Pos
signis,signvm,NOM2,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
tranquillo,tranqvillvm,NOM2,Case=Abl|Numb=Sing
procellae,procella,NOM1,Case=Nom|Numb=Plur
et,et,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
tempestatibus,tempestas,NOM3,Case=Abl|Numb=Plur
tranquilla,tranqvillvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
produntur,prodo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
quae,qvi,PROrel,Case=Nom|Numb=Plur
uelut,velvt,ADVrel,MORPH=empty
in,in,PRE,MORPH=empty
speculo,specvlvm,NOM2,Case=Abl|Numb=Sing
lunae,lvna,NOM1,Case=Gen|Numb=Sing
orbis,orbis,NOM3,Case=Nom|Numb=Sing
ostendit,ostendo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Rubicundus,rvbicvndvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
color,color,NOM3,Case=Nom|Numb=Sing
uentos,ventvs,NOM2,Case=Acc|Numb=Plur
caeruleus,caervlevs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
indicat,indico,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
pluuias,plvvia,NOM1,Case=Acc|Numb=Plur
ex,ex,PRE,MORPH=empty
utroque,vterqve,PROind,Case=Abl|Numb=Sing
commixtus,commisceo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
nimbos,nimbvs,NOM2,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
furentes,fvrens,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
procellas,procella,NOM1,Case=Acc|Numb=Plur
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Laetus,laetvs,NOM2,Case=Nom|Numb=Sing
orbis,orbis,NOM3,Case=Nom|Numb=Sing
ac,ac,CONcoo,MORPH=empty
lucidus,lvcidvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
serenitatem,serenitas,NOM3,Case=Acc|Numb=Sing
nauigiis,navigivm,NOM2,Case=Abl|Numb=Plur
repromittit,repromitto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quam,qvi,PROrel,Case=Acc|Numb=Sing
gestat,gesto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
in,in,PRE,MORPH=empty
uultu,vvltvs,NOM4,Case=Abl|Numb=Sing
praecipue,praecipve,ADV,Deg=Pos
si,si,CONsub,MORPH=empty
quarto,qvartvs,ADJord,Case=Abl|Numb=Sing|Deg=Pos
ortu,ortvs,NOM4,Case=Abl|Numb=Sing
neque,neqve,CONcoo,MORPH=empty
obtusis,obtvndo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
cornibus,cornv,NOM4,Case=Abl|Numb=Plur
