form,lemma,pos,morph
Mulomedicinae,mvlomedicinvs,NOM1,Case=Gen|Numb=Sing
ars,ars,NOM3,Case=Nom|Numb=Sing
iamdudum,iamdvdvm,ADV,Deg=Pos
uitio,vitivm,NOM2,Case=Abl|Numb=Sing
cupiditatis,cvpiditas,NOM3,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
exiguitate,exigvitas,NOM3,Case=Abl|Numb=Sing
mercedis,merces,NOM3,Case=Gen|Numb=Sing
nullo,nvllvs,PROind,Case=Abl|Numb=Sing
studiosius,stvdiose,ADV,Deg=Comp
discente,disco,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
collapsa,collabor,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Nom|Numb=Sing
Nuper,nvper,NOM3,Case=Nom|Numb=Sing
uero,vero,CONcoo,MORPH=empty
exemplo,exemplvm,NOM2,Case=Abl|Numb=Sing
Hunnorum,hvnni,NOM2,Case=Gen|Numb=Plur
siue,sive,CONcoo,MORPH=empty
gentium,gens,NOM3,Case=Gen|Numb=Plur
aliarum,alivs,PROind,Case=Gen|Numb=Plur
artis,ars,NOM3,Case=Gen|Numb=Sing
ipsius,ipse,PROdem,Case=Gen|Numb=Sing
etiam,etiam,ADV,Deg=Pos
usus,vsvs,NOM4,Case=Nom|Numb=Sing
intercidit,intercido,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
dum,dvm,CONsub,MORPH=empty
homines,homo,NOM3,Case=Acc|Numb=Plur
refugientes,refvgio,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
expensas,expendo,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
barbarorum,barbarvs,NOM2,Case=Gen|Numb=Plur
consuetudinem,consvetvdo,NOM3,Case=Acc|Numb=Sing
imitari,imitor,VER,Mood=Inf|Tense=Pres|Voice=Dep
uelle,volo,VER,Mood=Inf|Tense=Pres|Voice=Act
se,svi,PROref,Case=Acc|Numb=Sing
simulant,simvlo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
incurata,incvratvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
animalia,animal,NOM3,Case=Acc|Numb=Plur
hibernis,hibernvs,NOM2,Case=Dat|Numb=Plur
pascuis,pascvvm,NOM2,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
negligentiae,negligentia,NOM1,Case=Gen|Numb=Plur
casibus,casvs,NOM4,Case=Dat|Numb=Plur
dedunt,dedo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Quae,qvis,PROrel,Case=Gen|Numb=Sing
res,res,NOM5,Case=Nom|Numb=Sing
nulli,nvllvs,PROind,Case=Dat|Numb=Sing
compendium,compendivm,NOM2,Case=Acc|Numb=Sing
plurimis,mvltvs,ADJqua,Case=Dat|Numb=Plur|Deg=Sup
attulit,affero,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
damnum,damnvm,NOM2,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Primo,primvs,NOM2,Case=Abl|Numb=Sing
quod,qvod,CONsub,MORPH=empty
barbaricorum,barbaricvs,NOM2,Case=Gen|Numb=Plur|Deg=Pos
animalium,animal,NOM3,Case=Gen|Numb=Plur
alia,alivs,PROind,Case=Nom|Numb=Sing
natura,natvra,NOM1,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
omnem,omnis,PROind,Case=Acc|Numb=Sing
iniuriam,inivria,NOM1,Case=Acc|Numb=Sing
durius,dvrvs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
corpus,corpvs,NOM3,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Gen|Numb=Sing
Deinde,deindes,NOM7,Case=Voc|Numb=Sing
quod,qvi,PROrel,Case=Acc
sic,sic,ADV,Deg=Pos
instituuntur,institvo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
a,ab,PRE,MORPH=empty
paruulis,parvvlvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
ut,vt,CONsub,MORPH=empty
nec,nec,CONcoo,MORPH=empty
potionem,potio,NOM3,Case=Acc|Numb=Sing
medicinalem,medicinalis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
requirant,reqviro,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
hibernis,hibernvs,NOM2,Case=Abl|Numb=Plur
pascuis,pascvvm,NOM2,Case=Abl|Numb=Plur
uigeant,vigeo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ac,ac,CONcoo,MORPH=empty
sine,sine,PRE,MORPH=empty
pernicie,pernicies,NOM5,Case=Abl|Numb=Sing
frigora,frigvs,NOM3,Case=Acc|Numb=Plur
pruinas,prvina,NOM1,Case=Acc|Numb=Plur
-que,qvove,CONcoo,MORPH=empty
sustineant,svstineo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Nostra,nostra,NOM2,Case=Nom|Numb=Plur
uero,vero,CONcoo,MORPH=empty
iumenta,ivmentvm,NOM2,Case=Nom|Numb=Plur
et,et,CONcoo,MORPH=empty
mollioris,mollis,ADJqua,Case=Gen|Numb=Sing|Deg=Comp
generis,genvs,NOM3,Case=Gen|Numb=Sing
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
tectis,tectvm,NOM2,Case=Abl|Numb=Plur
frequentioribus,freqvens,ADJqua,Case=Abl|Numb=Plur|Deg=Comp
assueta,assvetvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
calidis,calidvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
-que,qvove,CONcoo,MORPH=empty
stabulis,stabvlvm,NOM2,Case=Abl|Numb=Plur
imbuta,imbvo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass|Person=3
ubi,vbi,ADVrel,MORPH=empty
si,si,CONsub,MORPH=empty
indignationem,indignatio,NOM3,Case=Acc|Numb=Sing
ex,ex,PRE,MORPH=empty
aliqua,aliqvis,PROind,Case=Abl|Numb=Sing
necessitate,necessitas,NOM3,Case=Abl|Numb=Sing
contraxerint,contraho,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
continuo,continvo,ADV,Deg=Pos
in,in,PRE,MORPH=empty
aliquod,aliqvis,PROind,Case=Acc|Numb=Sing
genus,genvs,NOM3,Case=Acc|Numb=Sing
incidunt,incido,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
morbi,morbvs,NOM2,Case=Nom|Numb=Plur
.,qvintvs,ADJcar,Case=Gen|Numb=Plur
Diligens,diligens,NOM3,Case=Nom|Numb=Sing
itaque,itaqve,CONcoo,MORPH=empty
paterfamilias,paterfamilia,NOM1,Case=Acc|Numb=Plur
cum,cvm,PRE,MORPH=empty
mortibus,mors,NOM3,Case=Abl|Numb=Plur
animalium,animal,NOM3,Case=Gen|Numb=Plur
suorum,svvs,PROpos.ref,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
medicinae,medicina,NOM1,Case=Gen|Numb=Sing
expensis,expensvm,NOM2,Case=Abl|Numb=Plur
atque,atqve,CONcoo,MORPH=empty
mercedibus,merces,NOM3,Case=Abl|Numb=Plur
faciat,facio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
rationem,ratio,NOM3,Case=Acc|Numb=Sing
intelliget,intelligo,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Act|Person=3
unius,vnvs,ADJcar,Case=Gen|Numb=Sing
uilissimi,vilis,ADJqua,Case=Gen|Numb=Sing|Deg=Sup
animalis,animal,NOM3,Case=Gen|Numb=Sing
pretium,pretivm,NOM2,Case=Acc|Numb=Sing
ad,ad,PRE,MORPH=empty
multorum,mvlti,NOM2,Case=Gen|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Plur
sine,sine,PRE,MORPH=empty
dubio,dvbivm,NOM2,Case=Abl|Numb=Sing
peritura,pereo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Fut|Voice=Act
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
si,si,CONsub,MORPH=empty
curata,cvratvs,ADJqua,Case=Nom|Numb=Plur
non,non,ADVneg,MORPH=empty
fuerint,svm,VER,Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
salutem,salvs,NOM3,Case=Acc|Numb=Sing
posse,possvm,VER,Mood=Inf|Tense=Pres|Voice=Act
sufficere,svfficio,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
