form,lemma,pos,morph
Summe,svpervs,NOM2,Case=Voc|Numb=Sing
sancte,sanctvs,ADJqua,Case=Voc|Numb=Sing|Deg=Pos
Deus,devs,NOM2,Case=Nom|Numb=Sing
cunctae,cvnctvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
uirtutis,virtvs,NOM3,Case=Gen|Numb=Sing
origo,origo,NOM3,Case=Nom|Numb=Sing
Omnipotens,omnipotens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
quem,qvi,PROrel,Case=Acc|Numb=Sing
nec,nec,CONcoo,MORPH=empty
subtili,svbtilis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
indagine,indago,NOM3,Case=Abl|Numb=Sing
rerum,res,NOM5,Case=Gen|Numb=Plur
Mentibus,mens,NOM3,Case=Abl|Numb=Plur
humanis,hvmanvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
sensu,sensvs,NOM4,Case=Abl|Numb=Sing
comprendere,comprehendo,VER,Mood=Inf|Tense=Pres|Voice=Act
fas,fas,NOM6,Case=Ind
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Et,et,CONcoo,MORPH=empty
nescire,nescio,VER,Mood=Inf|Tense=Pres|Voice=Act
nefas,nefas,NOM6,Case=Ind
nam,nam,CONcoo,MORPH=empty
te,tv,PROper,Case=Acc|Numb=Sing
ratione,ratio,NOM3,Case=Abl|Numb=Sing
profunda,profvndvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
In,vnvs,ADJcar,Case=Acc
tribus,tres,ADJcar,Case=Abl|Numb=Plur
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
Deum,devs,NOM2,Case=Acc|Numb=Sing
sed,sed,CONcoo,MORPH=empty
tres,tres,ADJcar,Case=Acc|Numb=Plur
sic,sic,ADV,Deg=Pos
credimus,credo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
unum,vnvs,ADJcar,Case=Acc|Numb=Sing
Vnica,vnicvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
personas,persona,NOM1,Case=Acc|Numb=Plur
ut,vt,CONsub,MORPH=empty
tres,tres,ADJcar,Case=Acc|Numb=Plur
substantia,svbstantia,NOM1,Case=Nom|Numb=Sing
reddat,reddo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Indiscreta,indiscreta,NOM1,Case=Acc|Numb=Sing
pio,pivs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
conseruans,conservo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
foedera,foedvs,NOM3,Case=Acc|Numb=Plur
nexu,nexvs,NOM4,Case=Abl|Numb=Sing
Tu,tv,NOM2,Case=Nom|Numb=Sing
