form,lemma,pos,morph
Quondam,qvonda,NOM1,Case=Acc|Numb=Sing
ueteres,vetvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
ob,ob,PRE,MORPH=empty
studium,stvdivm,NOM2,Case=Acc|Numb=Sing
sapientiae,sapientia,NOM1,Case=Gen|Numb=Sing
enucleare,envcleo,VER,Mood=Inf|Tense=Pres|Voice=Act
atque,atqve,CONcoo,MORPH=empty
sciscitari,sciscitor,VER,Mood=Inf|Tense=Pres|Voice=Dep
assidue,assidve,ADV,Deg=Pos
minime,parvm,ADV,Deg=Sup
desistebant,desisto,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
quae,qvi,PROrel,Case=Nom|Numb=Plur
forte,forte,ADV,Deg=Pos
uel,vel,CONcoo,MORPH=empty
qualia,qvalis,PROrel,Case=Nom|Numb=Plur
prospere,prospere,ADV,Deg=Pos
uel,vel,CONcoo,MORPH=empty
secus,secvs,ADV,Deg=Pos
prouinciis,provincia,NOM1,Case=Abl|Numb=Plur
locis,locvs,NOM2,Case=Abl|Numb=Plur
aut,avt,CONcoo,MORPH=empty
regionibus,regio,NOM3,Case=Abl|Numb=Plur
euenissent,evenio,VER,Numb=Plur|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
de,de,PRE,MORPH=empty
quibus,qvi,PROrel,Case=Abl|Numb=Plur
uel,vel,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
quibus,qvi,PROrel,Case=Abl|Numb=Plur
exacuerent,exacvo,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
stilum,stilvs,NOM2,Case=Acc|Numb=Sing
ingenii,ingenivm,NOM2,Case=Gen|Numb=Sing
sui,svvs,PROpos.ref,Case=Gen|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
redolentes,redoleo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
magisterii,magisterivm,NOM2,Case=Nom|Numb=Plur
flores,flos,NOM3,Case=Acc|Numb=Plur
ignaris,ignarvs,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
historiae,historia,NOM1,Case=Gen|Numb=Sing
calathorum,calathvm,NOM2,Case=Gen|Numb=Plur
offerrent,offero,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
gratuito,gratvitvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
munere,mvnvs,NOM3,Case=Abl|Numb=Sing
propinatos,propino,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
dabant,do,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
-que,qvavis,CONcoo,MORPH=empty
operam,opera,NOM1,Case=Acc|Numb=Sing
ut,vt,CONsub,MORPH=empty
nequaquam,neqvaqvam,ADVneg,MORPH=empty
lateret,lateo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
in,in,PRE,MORPH=empty
