form,lemma,pos,morph
de,de,PRE,MORPH=empty
Varrone,varro,NOM3,Case=Abl|Numb=Sing
loquebamur,loqvor,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Dep|Person=1
lupus,lvpvs,NOM2,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
fabula,fabvla,NOM1,Case=Abl|Numb=Sing
.,qvadrantal,ADJcar,Case=Abl|Numb=Plur
uenit,venio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
enim,enim,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
me,ego,PROper,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
quidem,qvidem,ADV,Deg=Pos
id,is,PROdem,Case=Nom|Numb=Sing
temporis,tempvs,NOM3,Case=Gen|Numb=Sing
ut,vt,CONsub,MORPH=empty
retinendus,retineo,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
esset,svm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Gen|Numb=Sing
sed,sed,CONcoo,MORPH=empty
ego,ego,PROper,Case=Nom|Numb=Sing
ita,ita,ADV,Deg=Pos
egi,ago,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
ut,vt,CONsub,MORPH=empty
non,non,ADVneg,MORPH=empty
scinderem,scindo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
paenulam,paenvla,NOM1,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
memini,memini,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
enim,enim,CONcoo,MORPH=empty
tuum,tvvs,PROpos,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
multi,mvltvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
erant,svm,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
nosque,nosqve,ADV,MORPH=empty
imparati,imparatvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
.,qvinqvaginta,ADJcar,Case=Gen|Numb=Plur
quid,qvis,PROint,Case=Acc|Numb=Sing
refert,refert,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
paulo,pavlo,ADV,Deg=Pos
post,post,ADV,MORPH=empty
C,centvm,ADJcar,Case=Ind
.,qvinqvaginta,ADJcar,Case=Ind|Numb=Plur
Capito,capito,NOM3,Case=Nom|Numb=Sing
cum,cvm,PRE,MORPH=empty
T,trivs,ADJcar,Case=Gen|Numb=Plur|Person=3
.,qvinqvaginta,ADJcar,Case=Ind|Numb=Plur
Carrinate,carrinas,NOM3,Case=Voc|Numb=Sing
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
horum,hic,PROdem,Case=Gen|Numb=Plur
ego,ego,PROper,Case=Nom|Numb=Sing
uix,vix,ADV,Deg=Pos
attigi,attingo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
paenulam,paenvla,NOM1,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
tamen,tamen,ADV,Deg=Pos
remanserunt,remaneo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ceciditque,ceciditve,ADV,MORPH=empty
belle,belle,ADV,Deg=Pos
.,vnvs,ADJcar,Case=Acc|Numb=Plur
sed,sed,CONcoo,MORPH=empty
casu,casvs,NOM4,Case=Abl|Numb=Sing
sermo,sermo,NOM3,Case=Nom|Numb=Sing
a,ab,PRE,MORPH=empty
Capitone,capito,NOM3,Case=Abl|Numb=Sing
de,de,PRE,MORPH=empty
urbe,vrbs,NOM3,Case=Abl|Numb=Sing
augenda,avgeo,VER,Case=Abl|Numb=Sing|Mood=Adj|Voice=Pass
a,ab,PRE,MORPH=empty
ponte,pons,NOM3,Case=Abl|Numb=Sing
Muluio,mvlvivs,NOM2,Case=Abl|Numb=Sing
Tiberim,tiberis,NOM3,Case=Acc|Numb=Sing
duci,dvx,NOM3,Case=Dat|Numb=Sing
secundum,secvndvm,PRE,MORPH=empty
montis,mons,NOM3,Case=Acc|Numb=Plur
Vaticanos,vaticanvs,NOM2,Case=Acc|Numb=Plur
campum,campvs,NOM2,Case=Acc|Numb=Sing
Martium,martivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
coaedificari,coaedifico,VER,Mood=Inf|Tense=Pres|Voice=Pass
illum,ille,PROdem,Case=Acc|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
campum,campvs,NOM2,Case=Acc|Numb=Sing
Vaticanum,vaticanvs,NOM2,Case=Acc|Numb=Sing
fieri,fio,VER,Mood=Inf|Tense=Pres|Voice=Act
quasi,qvasi,ADVrel,MORPH=empty
Martium,martivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
campum,campvs,NOM2,Case=Acc|Numb=Sing
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
quid,qvis,PROint,Case=Acc|Numb=Sing
ais,aio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
