form,lemma,pos,morph
HOC,on,ADJcar,Case=Nom|Numb=Sing
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
in,in,PRE,MORPH=empty
primis,primvs,ADJord,Case=Abl|Numb=Plur|Deg=Sup
quod,qvi,PROrel,Case=Acc|Numb=Sing
me,ego,PROper,Case=Acc|Numb=Sing
gaudere,gavdeo,VER,Mood=Inf|Tense=Pres|Voice=SemDep
iubebas,ivbeo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=2
tam,tam,ADV,Deg=Pos
te,tv,PROper,Case=Acc|Numb=Sing
formosam,formosvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
non,non,ADVneg,MORPH=empty
pudet,pvdeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
leuem,levis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
una,vnvs,ADJcar,Case=Nom|Numb=Sing
aut,avt,CONcoo,MORPH=empty
altera,alter,PROind,Case=Nom|Numb=Sing
nox,nox,NOM3,Case=Nom|Numb=Sing
nondum,nondvm,ADVneg,MORPH=empty
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
in,in,PRE,MORPH=empty
amore,amor,NOM3,Case=Abl|Numb=Sing
peracta,perago,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
et,et,CONcoo,MORPH=empty
dicor,dico,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=1
lecto,lectvs,NOM2,Case=Dat|Numb=Sing
iam,iam,ADV,Deg=Pos
grauis,gravis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
tuo,tvvs,PROpos,Case=Dat|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Sing
me,ego,PROper,Case=Acc|Numb=Sing
modo,modo,ADV,Deg=Pos
laudabas,lavdo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=2
et,et,CONcoo,MORPH=empty
carmina,carmen,NOM3,Case=Acc|Numb=Plur
nostra,noster,PROpos,Case=Acc|Numb=Plur
legebas,lego,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=2
ille,ille,PROdem,Case=Nom|Numb=Sing
tuus,tvvs,PROpos,Case=Nom|Numb=Sing
pennas,penna,NOM1,Case=Acc|Numb=Plur
tam,tam,ADV,Deg=Pos
cito,cito,ADV,Deg=Pos
uertit,verto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
amor,amor,NOM3,Case=Nom|Numb=Sing
contendat,contendo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
mecum,mecvs,NOM4,Case=Acc|Numb=Sing
ingenio,ingenivm,NOM2,Case=Abl|Numb=Sing
contendat,contendo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
arte,ars,NOM3,Case=Abl|Numb=Sing
in,in,PRE,MORPH=empty
primis,primvs,ADJord,Case=Abl|Numb=Plur|Deg=Sup
una,vnvs,ADJcar,Case=Abl|Numb=Sing|Deg=Pos
discat,disco,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
amare,amo,VER,Mood=Inf|Tense=Pres|Voice=Act
domo,domvs,NOM2,Case=Abl|Numb=Sing
si,si,CONsub,MORPH=empty
libitum,libet,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Fut|Voice=Pass
tibi,tv,PROper,Case=Dat|Numb=Sing
erit,svm,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
Lernaeas,lernaevs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
pugnet,pvgno,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ad,ad,PRE,MORPH=empty
hydras,hydra,NOM1,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
tibi,tv,PROper,Case=Dat|Numb=Sing
ab,ab,PRE,MORPH=empty
Hesperio,hesperivs,NOM2,Case=Abl|Numb=Sing
mala,malvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
dracone,draco,NOM3,Case=Abl|Numb=Sing
ferat,fero,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
taetra,teter,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
uenena,venenvm,NOM2,Case=Acc|Numb=Plur
libens,libens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
naufragus,navfragvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ebibat,ebibo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
undas,vnda,NOM1,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
numquam,nvmqvam,ADVneg,MORPH=empty
pro,pro,PRE,MORPH=empty
te,tv,PROper,Case=Abl|Numb=Sing
deneget,denego,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
miser,miser,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
quos,qvi,PROrel,Case=Acc|Numb=Plur
utinam,vtinam,ADV,Deg=Pos
in,in,PRE,MORPH=empty
nobis,nos,PROper,Case=Abl|Numb=Plur
uita,vita,NOM1,Case=Abl|Numb=Sing
experiare,experior,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Dep|Person=2
labores,labor,NOM3,Case=Acc|Numb=Plur
iam,iam,ADV,Deg=Pos
tibi,tv,PROper,Case=Dat|Numb=Sing
de,de,PRE,MORPH=empty
timidis,timidvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
iste,iste,PROdem,Case=Nom|Numb=Sing
proteruus,protervvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
erit,svm,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
qui,qvi,PROrel,Case=Nom|Numb=Sing
nunc,nvnc,ADV,Deg=Pos
se,svi,PROref,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
tumidum,tvmidvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
iactando,iacto,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
uenit,venio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
honorem,honor,NOM3,Case=Acc|Numb=Sing
discidium,discidivm,NOM2,Case=Acc|Numb=Sing
uobis,vos,PROper,Case=Dat|Numb=Plur
proximus,propior,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
annus,annvs,NOM2,Case=Nom|Numb=Sing
erit,svm,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
.,qvadranta,ADJcar,Case=Nom|Numb=Sing
at,at,CONcoo,MORPH=empty
me,ego,PROper,Case=Acc|Numb=Sing
non,non,ADVneg,MORPH=empty
aetas,aetas,NOM3,Case=Nom|Numb=Sing
mutabit,mvto,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
tota,totvs,PROind,Case=Nom|Numb=Sing
Sibyllae,sibylla,NOM1,Case=Gen|Numb=Sing
non,non,ADVneg,MORPH=empty
labor,labor,NOM3,Case=Nom|Numb=Sing
Alcidae,alcides,NOM1,Case=Gen|Numb=Sing
non,non,ADVneg,MORPH=empty
niger,niger,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ille,ille,PROdem,Case=Nom|Numb=Sing
dies,dies,NOM5,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Sing
tu,tv,PROper,Case=Nom|Numb=Sing
mea,mevs,PROpos,Case=Acc|Numb=Plur
compones,compono,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
et,et,CONcoo,MORPH=empty
dices,dico,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
Ossa,ossa,NOM1,Case=Voc|Numb=Sing
Properti,propertivs,NOM2,Case=Voc|Numb=Sing
haec,hic,PROdem,Case=Nom|Numb=Plur
tua,tvvs,PROpos,Case=Nom|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
eheu,ehev,INJ,MORPH=empty
tu,tv,PROper,Case=Nom|Numb=Sing
mihi,ego,PROper,Case=Dat|Numb=Sing
certus,certvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
eras,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=2
certus,certvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
eras,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=2
eheu,ehev,INJ,MORPH=empty
quamuis,qvamvis,CONsub,MORPH=empty
nec,nec,CONcoo,MORPH=empty
sanguine,sangvis,NOM3,Case=Abl|Numb=Sing
auito,avitvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
nobilis,nobilis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
quamuis,qvamvis,CONsub,MORPH=empty
non,non,ADVneg,MORPH=empty
ita,ita,ADV,Deg=Pos
diues,dives,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
eras,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=2
.,vnvs,ADJcar,Case=Acc|Numb=Plur
nil,nihil,PROind,Case=Ind
ego,ego,PROper,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
patiar,patior,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Dep|Person=1
numquam,nvmqvam,ADVneg,MORPH=empty
me,ego,PROper,Case=Acc|Numb=Sing
iniuria,inivria,NOM1,Case=Abl|Numb=Sing
mutat,mvto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ferre,fero,VER,Mood=Inf|Tense=Pres|Voice=Act
ego,ego,PROper,Case=Nom|Numb=Sing
formosam,formosvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
nullum,nvllvs,PROind,Case=Acc|Numb=Sing
onus,onvs,NOM3,Case=Acc|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
puto,pvto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
credo,credo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
ego,ego,PROper,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
paucos,pavci,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
ista,iste,PROdem,Case=Acc|Numb=Sing
periisse,pereo,VER,Mood=Inf|Tense=Perf|Voice=Act
figura,figvra,NOM1,Case=Abl|Numb=Sing
credo,credo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
ego,ego,PROper,Case=Nom|Numb=Sing
sed,sed,CONcoo,MORPH=empty
multos,mvltvs,ADJqua,Case=Acc|Numb=Plur
non,non,ADVneg,MORPH=empty
habuisse,habeo,VER,Mood=Inf|Tense=Perf|Voice=Act
fidem,fides,NOM5,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Sing
paruo,parvvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
dilexit,diligo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
spatio,spativm,NOM2,Case=Abl|Numb=Sing
Minoida,minois,ADJqua,Case=Acc|Numb=Sing
Theseus,thesevs,NOM7,Case=Nom|Numb=Sing
Phyllida,phyllis,NOM7,Case=Nom|Numb=Sing
Demophoon,demophoon,NOM7,Case=Nom|Numb=Sing
hospes,hospes,NOM3,Case=Nom|Numb=Sing
uterque,vterqve,PROind,Case=Nom|Numb=Sing
malus,malvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
.,qvadrantal,ADJcar,Case=Acc|Numb=Sing
iam,iam,ADV,Deg=Pos
tibi,tv,PROper,Case=Dat|Numb=Sing
Iasonia,iasonivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
nota,notvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Medea,medea,NOM1,Case=Nom|Numb=Sing
carina,carina,NOM1,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
modo,modo,ADV,Deg=Pos
seruato,servo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
sola,solvs,PROind,Case=Nom|Numb=Sing
relicta,relinqvo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
uiro,vir,NOM2,Case=Dat|Numb=Sing
.,vnvs,ADJcar,Case=Dat|Numb=Sing
dura,dvrvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quae,qvi,PROrel,Case=Nom|Numb=Sing
multis,mvlti,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
simulatum,simvlo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
fingit,fingo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
amorem,amor,NOM3,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
se,svi,PROref,Case=Acc|Numb=Sing
plus,mvltvs,ADJqua,Case=Acc|Deg=Comp
uni,vnvs,ADJcar,Case=Dat|Numb=Sing
si,si,CONsub,MORPH=empty
