form,lemma,pos,morph
Maxume,magnvs,NOM2,Case=Voc|Numb=Sing
uellem,volo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
patres,pater,NOM3,Case=Voc|Numb=Plur
conscripti,conscribo,VER,Case=Voc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
rem,res,NOM5,Case=Acc|Numb=Sing
publicam,pvblicvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
quietam,qvietvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
aut,avt,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
periculis,pericvlvm,NOM2,Case=Abl|Numb=Plur
a,ab,PRE,MORPH=empty
promptissumo,promptvs,ADJqua,Case=Abl|Numb=Sing|Deg=Sup
quoque,qvisqve,PROind,Case=Abl|Numb=Sing|Deg=Pos
defendi,defendo,VER,Mood=Inf|Tense=Pres|Voice=Pass
denique,deniqve,ADV,Deg=Pos
praua,pravvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
incepta,inceptvm,VER,Case=Acc|Numb=Plur
consultoribus,consvltor,NOM3,Case=Dat|Numb=Plur
noxae,noxa,NOM1,Case=Dat|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
sed,sed,CONcoo,MORPH=empty
contra,contra,ADV,MORPH=empty
seditionibus,seditio,NOM3,Case=Dat|Numb=Plur
omnia,omnis,PROind,Case=Nom|Numb=Plur
turbata,tvrbatvs,ADJqua,Case=Nom|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
ab,ab,PRE,MORPH=empty
iis,is,PROdem,Case=Abl|Numb=Plur
quos,qvi,PROrel,Case=Acc|Numb=Plur
prohibere,prohibeo,VER,Mood=Inf|Tense=Pres|Voice=Act
magis,magis,ADV,Deg=Comp
decebat,decet,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
;,o,PRE,MORPH=empty
postremo,posterivs,ADV,Deg=Sup
quae,qvi,PROrel,Case=Nom|Numb=Plur
pessumi,malvs,ADJqua,Case=Nom|Numb=Plur|Deg=Sup
et,et,CONcoo,MORPH=empty
stultissumi,stvltvs,ADJqua,Case=Nom|Numb=Plur|Deg=Sup
decreuere,decerno,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ea,is,PROdem,Case=Nom|Numb=Plur
bonis,bonvm,NOM2,Case=Dat|Numb=Plur
et,et,CONcoo,MORPH=empty
sapientibus,sapiens,NOM3,Case=Dat|Numb=Plur
faciunda,facio,VER,Case=Nom|Numb=Plur|Mood=Adj|Voice=Pass
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvinqvaginta,ADJcar,Case=Nom|Numb=Plur
nam,nam,CONcoo,MORPH=empty
bellum,bellvm,NOM2,Case=Acc|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
arma,arma,NOM2,Case=Nom|Numb=Plur
quamquam,qvamqvam,CONsub,MORPH=empty
uobis,vos,PROper,Case=Dat|Numb=Plur
inuisa,invisvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
tamen,tamen,ADV,Deg=Pos
quia,qvia,CONsub,MORPH=empty
Lepido,lepidvs,NOM2,Case=Dat|Numb=Sing
placent,placeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sumunda,svmo,VER,Case=Nom|Numb=Plur|Mood=Adj|Voice=Pass
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
;,o,PRE,MORPH=empty
nisi,nisi,CONsub,MORPH=empty
forte,forte,ADV,Deg=Pos
quoi,qvi,PROrel,Case=Dat|Numb=Sing
pacem,pax,NOM3,Case=Acc|Numb=Sing
praestare,praesto,VER,Mood=Inf|Tense=Pres|Voice=Act
et,et,CONcoo,MORPH=empty
bellum,bellvm,NOM2,Case=Acc|Numb=Sing
pati,patior,VER,Mood=Inf|Tense=Pres|Voice=Dep
consilium,consilivm,NOM2,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Gen|Numb=Sing
pro,pro,INJ,MORPH=empty
di,devs,NOM2,Case=Voc|Numb=Plur
boni,bonvs,ADJqua,Case=Voc|Numb=Plur|Deg=Pos
