form,lemma,pos,morph
legati,legatvs,NOM2,Case=Nom|Numb=Plur
Carthaginienses,carthaginienses,NOM3,Case=Nom|Numb=Plur
eo,is,PROdem,Case=Abl|Numb=Sing
tempore,tempvs,NOM3,Case=Abl|Numb=Sing
Romae,roma,NOM1,Case=Loc|Numb=Sing
erant,svm,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
Gulussa,gvlvsa,NOM1,Case=Nom|Numb=Sing
filius,filivs,NOM2,Case=Nom|Numb=Sing
Masinissae,masinissa,NOM1,Case=Dat|Numb=Sing
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
inter,inter,PRE,MORPH=empty
eos,is,PROdem,Case=Acc|Numb=Plur
magnae,magnvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
contentiones,contentio,NOM3,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
senatu,senatvs,NOM4,Case=Abl|Numb=Sing
fuere,svm,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
Carthaginienses,carthaginienses,NOM3,Case=Nom|Numb=Plur
querebantur,qveror,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Dep|Person=3
praeter,praeter,PRE,MORPH=empty
agrum,ager,NOM2,Case=Acc|Numb=Sing
de,de,PRE,MORPH=empty
quo,qvi,PROrel,Case=Abl|Numb=Sing
ante,ante,ADV,Deg=Pos
legati,legatvs,NOM2,Case=Nom|Numb=Plur
ab,ab,PRE,MORPH=empty
Roma,roma,NOM1,Case=Abl|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
re,res,NOM5,Case=Abl|Numb=Sing
praesenti,praesens,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
cognoscerent,cognosco,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
missi,mitto,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
essent,svm,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
amplius,ample,ADV,Deg=Comp
septuaginta,septvaginta,ADJcar,Case=Ind
oppida,oppidvm,NOM2,Case=Acc|Numb=Plur
castellaque,castellaqve,ADJqua,Case=Nom|Numb=Plur
agri,ager,NOM2,Case=Gen|Numb=Sing
Carthaginiensis,carthaginienses,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
biennio,biennivm,NOM2,Case=Abl|Numb=Sing
