form,lemma,pos,morph
Pastor,pastor,NOM3,Case=Nom|Numb=Sing
capellae,capella,NOM1,Case=Gen|Numb=Sing
cornu,cornv,NOM4,Case=Abl|Numb=Sing
baculo,bacvlvm,NOM2,Case=Abl|Numb=Sing
fregerat,frango,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
Rogare,rogo,VER,Mood=Inf|Tense=Pres|Voice=Act
coepit,coepio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ne,ne,CONsub,MORPH=empty
se,svi,PROref,Case=Acc|Numb=Sing
domino,dominvs,NOM2,Case=Dat|Numb=Sing
proderet,prodo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Quamuis,qvamvis,NOM1,Case=Abl|Numb=Sing
indigne,indigne,ADV,Deg=Pos
laesa,laedo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass
reticebo,reticeo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
tamen,tamen,ADV,Deg=Pos
;,o,PRE,MORPH=empty
Sed,sedestis,NOM3,Case=Abl|Numb=Sing
res,res,NOM5,Case=Nom|Numb=Sing
clamabit,clamo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
ipsa,ipse,PROdem,Case=Nom|Numb=Sing
quid,qvis,PROint,Case=Acc|Numb=Sing
deliqueris,delinqvo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
.,vnvs,ADJcar,Case=Acc|Numb=Plur
