form,lemma,pos,morph
Hoc,hoc,NOM3,Case=Nom|Numb=Sing
qualecumque,qvaliscvmqve,PROrel,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Musa,mvsa,NOM1,Case=Nom|Numb=Sing
quod,qvi,PROrel,Numb=Sing
ludit,lvdo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mea,mevs,PROpos,Case=Nom|Numb=Sing
Nequitia,neqvitia,NOM1,Case=Nom|Numb=Sing
pariter,pariter,ADV,Deg=Pos
laudat,lavdo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
frugalitas,frvgalitas,NOM3,Case=Nom|Numb=Sing
Sed,sedes,NOM3,Case=Acc|Numb=Sing
haec,hic,PROdem,Case=Acc|Numb=Sing
simpliciter,simpliciter,ADV,Deg=Pos
;,o,PRE,MORPH=empty
illa,ille,PROdem,Case=Abl|Numb=Sing
tacite,tacite,ADV,Deg=Pos
irascitur,irascor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Sing
