form,lemma,pos,morph
Inueni,invenivs,NOM2,Case=Gen|Numb=Sing
librum,liber,NOM2,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Marcelle,marcellvs,NOM2,Case=Voc|Numb=Sing
carissime,carvs,ADJqua,Case=Voc|Numb=Sing|Deg=Sup
quem,qvi,PROrel,Case=Acc|Numb=Sing
pietati,pietas,NOM3,Case=Dat|Numb=Sing
tuae,tvvs,PROpos,Case=Dat|Numb=Sing
dedicarem,dedico,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Reor,reor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
equidem,eqvidem,ADV,Deg=Pos
aliter,aliter,ADV,Deg=Pos
quam,qvam,ADVrel,MORPH=empty
inuocato,invoco,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
numine,nvmen,NOM3,Case=Abl|Numb=Sing
maximi,magnvs,ADJqua,Case=Gen|Numb=Sing|Deg=Sup
imperatoris,imperator,NOM3,Case=Gen|Numb=Sing
nullum,nvllvs,PROind,Case=Acc|Numb=Sing
opusculum,opvscvlvm,NOM2,Case=Acc|Numb=Sing
meum,mevs,PROpos,Case=Acc|Numb=Sing
coepisse,coepio,VER,Mood=Inf|Tense=Perf|Voice=Act
sed,sed,CONcoo,MORPH=empty
hic,hic,PROdem,Case=Nom|Numb=Sing
liber,liber,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
tres,tres,ADJcar,Case=Acc|Numb=Plur
habet,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
se,svi,PROref,Case=Acc|Numb=Sing
quam,qvam,ADVrel,MORPH=empty
quod,qvod,PROrel,Case=Nom
quarta,qvartvs,ADJord,Case=Nom|Numb=Sing|Deg=Pos
ad,ad,PRE,MORPH=empty
honorem,honor,NOM3,Case=Acc|Numb=Sing
tuum,tvvs,PROpos,Case=Acc|Numb=Sing
pertinet,pertineo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Primo,primvs,NOM2,Case=Dat|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
septimum,septimvs,ADJord,Case=Acc|Numb=Sing|Deg=Sup
decimum,decimvs,ADJord,Case=Acc|Numb=Sing|Deg=Pos
Germanici,germanicvs,NOM2,Case=Gen|Numb=Sing
nostri,noster,PROpos,Case=Gen|Numb=Plur
consulatum,consvlatvs,NOM4,Case=Acc|Numb=Sing
adoraui,adoro,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
secundo,secvndvs,ADJord,Case=Abl|Numb=Sing|Deg=Pos
gratias,gratia,NOM1,Case=Acc|Numb=Plur
egi,ago,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
sacratissimis,sacer,ADJqua,Case=Abl|Numb=Plur|Deg=Sup
eius,is,PROdem,Case=Gen|Numb=Sing
epulis,epvlae,NOM1,Case=Abl|Numb=Plur
honoratus,honoro,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
tertio,tertivs,ADJadv.ord,Case=Abl|Deg=Pos
uiam,via,NOM1,Case=Acc|Numb=Sing
Domitianam,domitianvs,ADJqua,Case=Acc|Numb=Sing
miratus,miror,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
sum,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
qua,qvi,PROrel,Case=Abl
grauissimam,gravis,ADJqua,Case=Acc|Numb=Sing|Deg=Sup
harenarum,arena,NOM1,Case=Gen|Numb=Plur
moram,mora,NOM1,Case=Acc|Numb=Sing
exemit,eximo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Sing
Cuius,cvivs,NOM2,Case=Nom|Numb=Sing
beneficio,beneficivm,NOM2,Case=Abl|Numb=Sing
tu,tv,PROper,Case=Nom|Numb=Sing
quoque,qvoqve,ADV,Deg=Pos
maturius,matvre,ADV,Deg=Comp
epistolam,epistola,NOM1,Case=Acc|Numb=Sing
meam,mevs,PROpos,Case=Acc|Numb=Sing
accipies,accipio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
quam,qvam,ADVrel,MORPH=empty
tibi,tv,PROper,Case=Dat|Numb=Sing
in,in,PRE,MORPH=empty
hoc,hic,PROdem,Case=Abl|Numb=Sing
libro,liber,NOM2,Case=Abl|Numb=Sing
