form,lemma,pos,morph
Si,si,NOM2,MORPH=empty
quando,qvando,CONsub,Deg=Pos
Telethusa,telethvsa,NOM1,Case=Nom|Numb=Sing
circulatrix,circvlatrix,NOM3,Case=Nom|Numb=Sing
quae,qvi,PROrel,Case=Nom|Numb=Sing
clunem,clvnis,NOM3,Case=Acc|Numb=Sing
tunica,tvnica,NOM1,Case=Abl|Numb=Sing
tegente,tego,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
nulla,nvllvs,PROind,Case=Abl|Numb=Sing
Aestu,aestvs,NOM4,Case=Abl|Numb=Sing
altius,alte,ADV,Deg=Comp
altiusque,altevsqve,ADV,Deg=Pos
motat,moto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
crisabit,criso,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
tibi,tv,PROper,Case=Dat|Numb=Sing
fluctuante,flvctvor,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Dep
lumbo,lvmbvs,NOM2,Case=Abl|Numb=Sing
haec,hic,PROdem,Case=Acc|Numb=Sing
sic,sic,ADV,Deg=Pos
non,non,ADVneg,MORPH=empty
modo,modo,ADV,Deg=Pos
te,tv,PROper,Case=Acc|Numb=Sing
Priape,priapvs,NOM3,Case=Voc|Numb=Sing
possit,possvm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
priuignum,privignvs,NOM2,Case=Acc|Numb=Sing
quoque,qvoqve,ADV,Deg=Pos
sed,sed,CONcoo,MORPH=empty
mouere,moveo,VER,Mood=Inf|Tense=Pres|Voice=Act
Phaedrae,phaedra,NOM1,Case=Gen|Numb=Sing
.,qvintvs,ADJcar,Case=Gen|Numb=Plur
