form,lemma,pos,morph
Post,post,NOM3,Numb=Sing
emensos,emetior,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep
insuperabilis,insvperabilis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
expeditionis,expeditio,NOM3,Case=Gen|Numb=Sing
euentus,eventvs,NOM4,Case=Gen|Numb=Sing
languentibus,langveo,ADJqua,Case=Abl|Numb=Plur|Deg=Pos|Voice=Act
partium,pars,NOM3,Case=Gen|Numb=Plur
animis,animvs,NOM2,Case=Abl|Numb=Plur
quas,qvi,PROrel,Case=Acc|Numb=Plur
periculorum,pericvlvm,NOM2,Case=Gen|Numb=Plur
uarietas,varietas,NOM3,Case=Nom|Numb=Sing
fregerat,frango,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
laborum,labor,NOM3,Case=Gen|Numb=Plur
nondum,nondvm,ADVneg,MORPH=empty
tubarum,tvba,NOM1,Case=Gen|Numb=Plur
cessante,cesso,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
clangore,clangor,NOM3,Case=Abl|Numb=Sing
uel,vel,CONcoo,MORPH=empty
milite,miles,NOM3,Case=Abl|Numb=Sing
locato,loco,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
per,per,PRE,MORPH=empty
statiores,statvs,ADJqua,Case=Acc|Numb=Plur|Deg=Comp
hibernas,hibernvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
fortunae,fortvna,NOM1,Case=Gen|Numb=Sing
saeuientis,saevio,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
procellae,procella,NOM1,Case=Nom|Numb=Plur
tempestatestempestales,tempestatelis,NOM3,Case=Nom|Numb=Plur
alias,alias,PROind,Case=Acc|Numb=Plur|Deg=Pos
rebus,res,NOM5,Case=Abl|Numb=Plur
infudere,infvndo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
communibus,commvnis,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
per,per,PRE,MORPH=empty
multa,mvltvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
illa,ille,PROdem,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
dira,dirvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
facinora,facinvs,NOM3,Case=Acc|Numb=Plur
Caesaris,caesar,NOM3,Case=Gen|Numb=Sing
Galli,gallvs,NOM2,Case=Gen|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Sing
ex,ex,PRE,MORPH=empty
squalore,sqvalor,NOM3,Case=Abl|Numb=Sing
imo,infervs,ADJqua,Case=Abl|Numb=Sing|Deg=Sup
miseriarum,miseria,NOM1,Case=Gen|Numb=Plur
in,in,PRE,MORPH=empty
aetatis,aetas,NOM3,Case=Gen|Numb=Sing
adultae,advltvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
primitiis,primitiae,NOM2,Case=Abl|Numb=Plur
ad,ad,PRE,MORPH=empty
principaleprinciple,principales,NOM3,Case=Acc|Numb=Sing
culmen,cvlmen,NOM3,Case=Acc|Numb=Sing
insperato,insperatvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
saltu,saltvs,NOM4,Case=Abl|Numb=Sing
prouectus,proveho,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
ultra,vltra,PRE,MORPH=empty
terminos,terminvs,NOM2,Case=Acc|Numb=Plur
potestatis,potestas,NOM3,Case=Gen|Numb=Sing
delatae,defero,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
procurrens,procvrro,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
asperitate,asperitas,NOM3,Case=Abl|Numb=Sing
nimia,nimivs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
cuncta,cvnctvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
foedabat,foedo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Propinquitate,propinqvitas,NOM3,Case=Abl|Numb=Sing
enim,enim,CONcoo,MORPH=empty
regiae,regivs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
stirpis,stirps,NOM3,Case=Gen|Numb=Sing
gentilitateque,gentilitate,ADV,Deg=Pos
etiam,etiam,ADV,Deg=Pos
tum,tvm,ADV,Deg=Pos
Constantii,constantivm,NOM2,Case=Gen|Numb=Sing
nominis,nomen,NOM3,Case=Gen|Numb=Sing
efferebatur,effero,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Pass|Person=3
in,in,PRE,MORPH=empty
fastus,fastvs,NOM4,Case=Acc|Numb=Plur
si,si,CONsub,MORPH=empty
plus,mvltvs,ADJqua,Deg=Comp
ualuisset,valeo,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
ausurus,avdeo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Fut|Voice=SemDep
hostilia,hostilis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
in,in,PRE,MORPH=empty
auctorem,avctor,NOM3,Case=Acc|Numb=Sing
suae,svvs,PROpos.ref,Case=Gen|Numb=Sing
felicitatis,felicitas,NOM3,Case=Gen|Numb=Sing
ut,vt,ADVrel,MORPH=empty
uidebatur,video,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Pass|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Cuius,cvivs,NOM2,Case=Nom|Numb=Sing
acerbitati,acerbitas,NOM3,Case=Dat|Numb=Sing
uxor,vxor,NOM3,Case=Nom|Numb=Sing
graue,gravis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
accesserat,accedo,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
incentiuumincentiuu,incentivs,ADV,Deg=Pos
germanitate,germanitas,NOM3,Case=Abl|Numb=Sing
Augusti,avgvstvs,NOM2,Case=Gen|Numb=Sing
turgida,tvrgidvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
supra,svpra,PRE,MORPH=empty
modum,modvs,NOM2,Case=Acc|Numb=Sing
quam,qvam,ADVrel,MORPH=empty
Hanniballiano,hanniballia,NOM2,Case=Dat|Numb=Sing
regi,rex,NOM3,Case=Dat|Numb=Sing
fratris,frater,NOM3,Case=Gen|Numb=Sing
filio,filivs,NOM2,Case=Dat|Numb=Sing
antehac,antehac,ADV,Deg=Pos
ConstantinusConstantirus,constantinvs,NOM2,Case=Nom|Numb=Sing
iunxerat,ivngo,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
pater,pater,NOM3,Case=Nom|Numb=Sing
Megaera,megaera,NOM1,Case=Nom|Numb=Sing
quaedam,qvidam,PROind,Case=Acc|Numb=Sing
mortalis,mortalis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
inflammatrix,inflammatrix,NOM3,Case=Nom|Numb=Sing
saeuientis,saevio,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
assidua,assidvvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
humani,hvmanvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
cruoris,crvor,NOM3,Case=Gen|Numb=Sing
auidaauda,avidaavdvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
nihil,nihil,PROind,Case=Ind
mitius,mitis,ADJqua,Case=Acc|Numb=Sing|Deg=Comp
quam,qvam,ADVrel,MORPH=empty
maritus,maritvs,NOM2,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Sing
Qui,qvi,PROrel,Case=Nom|Numb=Sing
paulatim,pavlatim,ADV,Deg=Pos
eruditiores,ervditvs,ADJqua,Case=Nom|Numb=Plur|Deg=Comp
facti,facio,VER,Case=Nom|Numb=Plur|Tense=Perf|Voice=Pass
processu,processvs,NOM4,Case=Abl|Numb=Sing
temporis,tempvs,NOM3,Case=Gen|Numb=Sing
ad,ad,PRE,MORPH=empty
nocendum,noceo,VER,Case=Acc|Numb=Sing|Mood=Ger|Voice=Act
per,per,PRE,MORPH=empty
clandestinos,clandestinvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
uersutosque,versvtvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
rumigerulos,rvmigervlvs,NOM2,Case=Acc|Numb=Plur
compertis,comperio,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
leuiter,leviter,ADV,Deg=Pos
addere,addo,VER,Mood=Inf|Tense=Pres|Voice=Act
quaedam,qvidam,PROind,Case=Acc|Numb=Plur
male,male,ADV,Deg=Pos
suetos,svetvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
falsa,falsvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
placentia,placeo,NOM1,Case=Abl|Numb=Plur
sibi,svi,PROref,Case=Dat|Numb=Sing
discentes,disco,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
affectati,affecto,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
regni,regnvm,NOM2,Case=Gen|Numb=Sing
uel,vel,CONcoo,MORPH=empty
artium,ars,NOM3,Case=Gen|Numb=Plur
nefandarum,nefandvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
calumnias,calvmnia,NOM1,Case=Acc|Numb=Plur
insontibus,insons,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
affigebant,affigo,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
