form,lemma,pos,morph
Contra,contra,NOM2,Case=Nom|Numb=Plur
Donatistas,donatistes,NOM1,Case=Acc|Numb=Plur
auctoritate,avctoritas,NOM3,Case=Abl|Numb=Sing
beatissimi,beatvs,ADJqua,Case=Gen|Numb=Sing|Deg=Sup
episcopi,episcopvs,NOM3,Case=Dat|Numb=Sing
et,et,CONcoo,MORPH=empty
martyris,martyrvs,NOM2,Case=Abl|Numb=Plur
Cypriani,cyprianvs,NOM2,Case=Gen|Numb=Plur
se,svi,PROref,Case=Acc|Numb=Sing
defendere,defendo,VER,Mood=Inf|Tense=Pres|Voice=Act
molientes,molior,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Dep
septem,septem,ADJcar,Case=Ind
libros,liber,NOM2,Case=Acc|Numb=Plur
de,de,PRE,MORPH=empty
baptismo,baptimmvm,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
scripsi,scribo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
in,in,PRE,MORPH=empty
quibus,qvi,PROrel,Case=Abl|Numb=Plur
docui,doceo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
nihil,nihil,PROind,Case=Ind
sic,sic,ADV,Deg=Pos
ualere,valeo,VER,Mood=Inf|Tense=Pres|Voice=Act
ad,ad,PRE,MORPH=empty
refellendos,refello,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
Donatistas,donatistes,NOM1,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
eorum,is,PROdem,Case=Gen|Numb=Plur
prorsus,prorsvs,ADV,Deg=Pos
ora,os,NOM3,Case=Acc|Numb=Plur
claudenda,clavdo,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
ne,ne,CONsub,MORPH=empty
aduersus,adversvs,PRE,MORPH=empty
catholicam,catholicvs,NOM1,Case=Acc|Numb=Sing
suum,svvs,PROpos.ref,Case=Acc|Numb=Sing
scisma,scisma,NOM1,Case=Abl|Numb=Sing
defendant,defendo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
quomodo,qvomodo,ADVint,MORPH=empty
litteras,littera,NOM1,Case=Acc|Numb=Plur
factumque,facioqve,VER,MORPH=empty
Cypriani,cyprianvs,NOM2,Case=Gen|Numb=Plur
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
Vbicumque,vbicvs,NOM2,Case=Voc|Numb=Sing
