form,lemma,pos,morph
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Volens,volens,NOM3,Case=Nom|Numb=Sing
etiam,etiam,ADV,Deg=Pos
causam,cavsa,NOM1,Case=Acc|Numb=Sing
Donatistarum,donatista,NOM1,Case=Gen|Numb=Plur
ad,ad,PRE,MORPH=empty
ipsius,ipse,PROdem,Case=Gen|Numb=Sing
humillimi,hvmilis,ADJqua,Case=Gen|Numb=Sing|Deg=Sup
uulgi,vvlgvs,NOM2,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
omnino,omnino,ADV,Deg=Pos
inperitorum,imperitvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
atque,atqve,CONcoo,MORPH=empty
idiotarum,idiota,NOM1,Case=Gen|Numb=Plur
notitiam,notitia,NOM1,Case=Acc|Numb=Sing
peruenire,pervenio,VER,Mood=Inf|Tense=Pres|Voice=Act
et,et,CONcoo,MORPH=empty
eorum,is,PROdem,Case=Gen|Numb=Plur
quantum,qvantvm,PROrel,Case=Acc
fieri,fio,VER,Mood=Inf|Tense=Pres|Voice=Act
per,per,PRE,MORPH=empty
nos,nos,PROper,Case=Acc|Numb=Plur
posset,possvm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
inhaerere,inhaereo,VER,Mood=Inf|Tense=Pres|Voice=Act
memoriae,memoria,NOM1,Case=Gen|Numb=Sing
psalmum,psalmvs,NOM2,Case=Acc|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
eis,is,PROdem,Case=Abl|Numb=Plur
cantaretur,canto,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=3
per,per,PRE,MORPH=empty
latinas,latina,NOM1,Case=Acc|Numb=Plur
litteras,littera,NOM1,Case=Acc|Numb=Plur
feci,facio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
sed,sed,CONcoo,MORPH=empty
usque,vsqve,ADV,Deg=Pos
ad,ad,PRE,MORPH=empty
V,qvinqve,ADJcar,Case=Acc
litteram,littera,NOM1,Case=Acc|Numb=Sing
quales,qvalis,PROrel,Case=Acc|Numb=Plur
abecedarias,abecedarivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
appellant,appello,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
tres,tres,ADJcar,Case=Acc|Numb=Plur
uero,vero,CONcoo,MORPH=empty
ultimas,vltimvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
omisi,omitto,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
sed,sed,CONcoo,MORPH=empty
pro,pro,PRE,MORPH=empty
eis,is,PROdem,Case=Abl|Numb=Plur
nouissimum,novvs,ADJqua,Case=Acc|Numb=Sing|Deg=Sup
quasi,qvasi,ADVrel,MORPH=empty
epilogum,epiloges,NOM3,Case=Gen|Numb=Plur
adiunxi,adivngo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
tamquam,tamqvam,CONsub,MORPH=empty
eos,is,PROdem,Case=Acc|Numb=Plur
mater,mater,NOM3,Case=Nom|Numb=Sing
adloqueretur,alloqvor,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Dep|Person=3
ecclesia,ecclesivs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
ypopsalma,ypopsalea,NOM1,Case=Nom|Numb=Sing
etiam,etiam,ADV,Deg=Pos
quod,qvi,PROrel,Case=Nom
respondetur,respondeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
et,et,CONcoo,MORPH=empty
prooemium,prooemivm,NOM2,Case=Nom|Numb=Sing
causae,cavsa,NOM1,Case=Gen|Numb=Sing
quod,qvi,PROrel,Case=Acc|Numb=Sing
uoluimus,volo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
ut,vt,CONsub,MORPH=empty
cantaretur,canto,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=3
non,non,ADVneg,MORPH=empty
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
in,in,PRE,MORPH=empty
ordine,ordo,NOM3,Case=Abl|Numb=Sing
litterarum,littera,NOM1,Case=Gen|Numb=Plur
;,,PRE,MORPH=empty
earum,is,PROdem,Case=Gen|Numb=Plur
quippe,qvippe,CONcoo,MORPH=empty
ordo,ordo,NOM3,Case=Nom|Numb=Sing
incipit,incipio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
post,post,PRE,MORPH=empty
prooemium,prooemivm,NOM2,Case=Acc|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
ideo,ideo,ADV,Deg=Pos
autem,avtem,CONcoo,MORPH=empty
non,non,ADVneg,MORPH=empty
aliquo,aliqvis,PROind,Case=Abl|Numb=Sing
carminis,carmen,NOM3,Case=Gen|Numb=Sing
