form,lemma,pos,morph
De,decimvs,NOM2,Case=Nom|Numb=Sing
suspirio,svspirivm,NOM2,Case=Abl|Numb=Sing
siue,sive,CONcoo,MORPH=empty
anhelitu,anhelitvs,NOM4,Case=Abl|Numb=Sing
quem,qvi,PROrel,Case=Acc|Numb=Sing
Graeci,graeci,NOM2,Case=Nom|Numb=Plur|Deg=Pos
asthma,asthmvm,NOM2,Case=Acc|Numb=Plur
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
De,de,NOM7,Case=Nom|Numb=Sing
stomachicis,stomachicvs,ADJqua,Case=Abl|Numb=Plur
De,de,NOM7,Case=Nom|Numb=Sing
phagedaena,phagedaenvs,NOM1,Case=Nom|Numb=Sing
De,de,NOM2,Case=Nom|Numb=Sing
iecorosis,iecorosvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
quos,qvi,PROrel,Case=Acc|Numb=Plur
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
hepaticos,hepaticvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
;,o,PRE,MORPH=empty
de,de,PRE,MORPH=empty
lienicis,lienix,NOM3,Case=Abl|Numb=Plur
quos,qvi,PROrel,Case=Acc|Numb=Plur
splenicos,splenicvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
appellant,appello,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
De,de,NOM2,Case=Abl|Numb=Sing
aurigine,avrigo,NOM3,Case=Abl|Numb=Sing
siue,sive,CONcoo,MORPH=empty
arquato,arcvo,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
morbo,morbvs,NOM2,Case=Abl|Numb=Sing
quem,qvi,PROrel,Case=Acc|Numb=Sing
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
icteron,icteron,ADV,Deg=Pos
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Latini,latini,NOM2,Case=Nom|Numb=Plur
uulgo,vvlgo,ADV,Deg=Pos
morbum,morbvs,NOM2,Case=Acc|Numb=Sing
regium,regivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
De,de,NOM2,Case=Nom|Numb=Sing
cachexia,cachexivs,NOM1,Case=Abl|Numb=Sing
De,de,NOM2,Case=Nom|Numb=Sing
nutrimenti,nvtrimentvm,NOM2,Case=Gen|Numb=Sing
cessatione,cessatio,NOM3,Case=Abl|Numb=Sing
quam,qvi,PROrel,Case=Acc|Numb=Sing
Graeci,graeci,NOM2,Case=Nom|Numb=Plur|Deg=Pos
atrophian,atrophia,NOM7,Case=Acc|Numb=Sing
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
De,de,NOM2,Case=Nom|Numb=Sing
hydrope,hydrops,NOM3,Case=Abl|Numb=Sing
Secundo,secvndvs,NOM2,Case=Abl|Numb=Sing
libro,liber,NOM2,Case=Abl|Numb=Sing
Tardarum,tarda,ADJqua,Case=Gen|Numb=Plur
passionum,passio,NOM3,Case=Gen|Numb=Plur
paralyticae,paralyticvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
passionis,passio,NOM3,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
canini,caninvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
raptus,raptvs,NOM4,Case=Nom|Numb=Plur
et,et,CONcoo,MORPH=empty
auriculae,avricvla,NOM1,Case=Gen|Numb=Plur
doloris,dolor,NOM3,Case=Gen|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
fluentis,flvo,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
humoris,hvmor,NOM3,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
dentium,dens,NOM3,Case=Gen|Numb=Plur
doloris,dolor,NOM3,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
apprehensionis,apprehensio,NOM3,Case=Gen|Numb=Sing
sensus,sensvs,NOM4,Case=Nom|Numb=Plur
quam,qvi,PROrel,Case=Acc
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
catalepsin,catalepsis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
appellant,appello,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
uocis,vox,NOM3,Case=Gen|Numb=Sing
amputationis,ampvtatio,NOM3,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
influxionis,inflvxio,NOM3,Case=Gen|Numb=Sing
quam,qvi,PROrel,Case=Acc|Numb=Sing
catarrhon,catarrhvs,NOM2,Case=Acc|Numb=Sing
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
tussiculae,tvssicvla,NOM1,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
sanguinis,sangvis,NOM3,Case=Gen|Numb=Sing
fluoris,flvor,NOM3,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
phthisicae,phthisicvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
passionis,passio,NOM3,Case=Gen|Numb=Sing
tradidimus,trado,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
curationem,cvratio,NOM3,Case=Acc|Numb=Sing
.,pes,ADJcar,Case=Acc|Numb=Plur
nunc,nvnc,ADV,Deg=Pos
ceterarum,cetervs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
prosequimur,proseqvor,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
ex,ex,PRE,MORPH=empty
ordine,ordo,NOM3,Case=Abl|Numb=Sing
disciplinam,disciplina,NOM1,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Anhelatio,anhelatio,NOM3,Case=Nom|Numb=Sing
siue,sive,CONsub,MORPH=empty
suspirium,svspirivm,NOM2,Case=Nom|Numb=Sing
ab,ab,PRE,MORPH=empty
accidenti,accidens,NOM3,Case=Abl|Numb=Sing
nomen,nomen,NOM3,Case=Acc|Numb=Sing
sumpsit,svmo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvadranta,ADJcar,Case=Acc|Numb=Plur
uocatur,voco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
praeterea,praeterea,ADV,Deg=Pos
secundum,secvndvm,PRE,MORPH=empty
aliquos,aliqvis,PROind,Case=Acc|Numb=Plur
spirationis,spiratio,NOM3,Case=Gen|Numb=Sing
difficultas,difficvltas,NOM3,Case=Nom|Numb=Sing
quam,qvi,PROrel,Case=Acc|Numb=Sing
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
dyspnoean,dyspnoean,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
siue,sive,CONsub,MORPH=empty
orthopnoean,orthopnoe,NOM7,Numb=Sing
siquidem,siqvidem,CONsub,MORPH=empty
sese,svi,PROref,Case=Acc|Numb=Sing
praefocari,praefoco,VER,Mood=Inf|Tense=Pres|Voice=Dep
sentiant,sentio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
cum,cvm,CONsub,MORPH=empty
iacuerint,iaceo,VER,Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
aegrotantes,aegroto,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
atque,atqve,CONcoo,MORPH=empty
erecti,erectvs,ADJqua,Case=Nom|Numb=Plur
facilius,facile,ADV,Deg=Comp
spirent,spio,VER,Numb=Plur|Mood=Sub|Tense=Fut|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
item,item,ADV,Deg=Pos
ut,vt,ADVrel,MORPH=empty
alii,alivs,PROind,Case=Nom|Numb=Plur
dicunt,dico,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
contrario,contrarivs,ADJqua,Case=Dat|Numb=Sing|Deg=Pos
uocabulo,vocabvlvm,NOM2,Case=Abl|Numb=Sing
suae,svvs,PROpos.ref,Case=Dat|Numb=Sing
uirtuti,virtvs,NOM3,Case=Dat|Numb=Sing
nomen,nomen,NOM3,Case=Acc|Numb=Sing
accepit,accipio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
nam,nam,CONcoo,MORPH=empty
cum,cvm,CONsub,MORPH=empty
spirationem,spiratio,NOM3,Case=Acc|Numb=Sing
conuertat,converto,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ac,ac,CONcoo,MORPH=empty
deprauet,depravo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
tamquam,tamqvam,CONsub,MORPH=empty
corrigat,corrigo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
orthopnoea,orthopnoe,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
nuncupatur,nvncvpo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
quam,qvam,ADVrel,MORPH=empty
nos,nos,PROper,Case=Nom|Numb=Plur
spirandi,spiro,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
dicere,dico,VER,Mood=Inf|Tense=Pres|Voice=Act
correctionem,correctio,NOM3,Case=Acc|Numb=Sing
poterimus,possvm,VER,Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=1
.,pentvm,ADJcar,Case=Acc|Numb=Plur
multa,mvltvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
enim,enim,CONcoo,MORPH=empty
contrariae,contrarivs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
interpretationis,interpretatio,NOM3,Case=Gen|Numb=Sing
uocabulum,vocabvlvm,NOM2,Case=Acc|Numb=Sing
sumpserunt,svmo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ut,vt,ADVrel,MORPH=empty
fella,fellvm,NOM2,Case=Acc|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Plur
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
glycea,glycevs,NOM1,Case=Nom|Numb=Plur
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uelut,velvt,ADVrel,MORPH=empty
dulcia,dvlcis,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
cum,cvm,CONsub,MORPH=empty
sint,svm,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
amarissima,amarvs,ADJqua,Case=Nom|Numb=Plur|Deg=Sup
.,qvintvs,ADJcar,Case=Dat|Numb=Sing
Grauat,gravat,VER,Case=Nom|Numb=Sing|Tense=Pres|Person=3
autem,avtem,CONcoo,MORPH=empty
atque,atqve,CONcoo,MORPH=empty
premit,premo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
haec,hic,PROdem,Case=Nom|Numb=Sing
passio,passio,NOM3,Case=Nom|Numb=Sing
magis,magis,ADV,Deg=Comp
mulieribus,mvlier,NOM3,Case=Abl|Numb=Plur
uiros,vir,NOM2,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
iuuenibus,ivvenis,NOM3,Case=Abl|Numb=Plur
senes,senex,NOM3,Case=Acc|Numb=Plur
atque,atqve,CONcoo,MORPH=empty
pueros,pver,NOM2,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
durioribus,dvrvs,ADJqua,Case=Abl|Numb=Plur|Deg=Comp
natura,natvra,NOM1,Case=Abl|Numb=Sing
corporibus,corpvs,NOM3,Case=Abl|Numb=Plur
teneriora,tener,ADJqua,Case=Nom|Numb=Plur|Deg=Comp
hiberno,hibernvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
atque,atqve,CONcoo,MORPH=empty
nocte,nox,NOM3,Case=Abl|Numb=Sing
magis,magis,ADV,Deg=Comp
quam,qvam,ADVrel,MORPH=empty
die,dies,NOM5,Case=Abl|Numb=Sing
uel,vel,CONcoo,MORPH=empty
aestate,aestas,NOM3,Case=Abl|Numb=Sing
.,vnvs,ADJcar,Case=Abl|Numb=Sing
in,in,PRE,MORPH=empty
quibusdam,qvidam,PROind,Case=Abl|Numb=Plur
ex,ex,PRE,MORPH=empty
initio,initivm,NOM2,Case=Abl|Numb=Sing
generatur,genero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
in,in,PRE,MORPH=empty
quibusdam,qvidam,PROind,Case=Abl|Numb=Plur
perfectis,perficio,ADJqua,Case=Abl|Numb=Plur|Voice=Pass
irruit,irrvo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
passionibus,passio,NOM3,Case=Abl|Numb=Plur
sed,sed,CONcoo,MORPH=empty
magis,magis,ADV,Deg=Comp
ex,ex,PRE,MORPH=empty
profundo,profvndvs,NOM2,Case=Abl|Numb=Sing
frigore,frigvs,NOM3,Case=Abl|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Sequitur,seqvor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
patientes,patiens,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
spirationis,spiratio,NOM3,Case=Gen|Numb=Sing
difficultas,difficvltas,NOM3,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
frequenter,freqventer,ADV,Deg=Pos
natura,natvra,NOM1,Case=Nom|Numb=Sing
celerior,celer,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
magis,magis,ADV,Deg=Comp
quam,qvam,ADVrel,MORPH=empty
tarda,tardvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
item,item,ADV,Deg=Pos
praefocationis,praefocatio,NOM3,Case=Gen|Numb=Sing
sensus,sensvs,NOM4,Case=Nom|Numb=Sing
secundum,secvndvm,PRE,Deg=Pos
thoracem,thorax,NOM3,Case=Acc|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
grauedo,gravedvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
feruor,fervor,NOM3,Case=Nom|Numb=Sing
igneus,ignevs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
item,item,ADV,Deg=Pos
enteron,enteron,ADV,Deg=Pos
ad,ad,PRE,MORPH=empty
superiora,svpervs,ADJqua,Case=Acc|Numb=Plur|Deg=Comp
conductio,condvctio,NOM3,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
cum,cvm,CONsub,MORPH=empty
passio,passio,NOM3,Case=Nom|Numb=Sing
uehementescere,vehemento,VER,Mood=Inf|Tense=Pres|Voice=Act
coeperit,coepio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
stridor,stridor,NOM3,Case=Nom|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
sibilatio,sibilatio,NOM3,Case=Nom|Numb=Sing
pectoris,pectvs,NOM3,Case=Gen|Numb=Sing
cum,cvm,CONsub,MORPH=empty
uocis,vox,NOM3,Case=Gen|Numb=Sing
debilitate,debilitas,NOM3,Case=Abl|Numb=Sing
tum,tvm,ADV,Deg=Pos
extensio,extensio,NOM3,Case=Nom|Numb=Sing
colli,collis,NOM3,Case=Gen|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
uultus,vvltvs,NOM4,Case=Gen|Numb=Sing
cum,cvm,PRE,MORPH=empty
rubore,rvbor,NOM3,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
oculorum,ocvlvs,NOM2,Case=Gen|Numb=Plur
suspenso,svspensvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
obtutu,obtvtvs,NOM4,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
iacendi,iaceo,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
potestas,potestas,NOM3,Case=Nom|Numb=Sing
schemate,schemo,VER,Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
supino,svpinvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
tussicula,tvssicvla,NOM1,Case=Nom|Numb=Sing
nunc,nvnc,ADV,Deg=Pos
arida,aridvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
nunc,nvnc,ADV,Deg=Pos
uuida,vvidvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
cum,cvm,PRE,MORPH=empty
sputis,spvtvm,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
tenuibus,tenvis,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
spumosis,spvmosvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
aut,avt,CONcoo,MORPH=empty
crassis,crassvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
uiscosis,viscosvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
sudoribus,svdor,NOM3,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
colore,color,NOM3,Case=Abl|Numb=Sing
morbido,morbidvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
atque,atqve,CONcoo,MORPH=empty
pulsu,pvlsvs,NOM4,Case=Abl|Numb=Sing
humili,hvmilis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
.,qvintvs,ADJcar,Case=Dat|Numb=Plur
at,at,CONcoo,MORPH=empty
si,si,CONsub,MORPH=empty
