form,lemma,pos,morph
De,decemites,NOM2,Case=Nom|Numb=Sing
ischiadicis,ischiadicvs,NOM2,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
psoeadicis,psoeadicvs,NOM3,Case=Abl|Numb=Plur
De,de,NOM2,Case=Abl|Numb=Sing
articulari,articvlor,VER,Case=Abl|Mood=Inf|Tense=Pres|Voice=Dep
passione,passio,NOM3,Case=Abl|Numb=Sing
quam,qvi,PROrel,Case=Acc|Numb=Sing
Graeci,graeci,NOM2,Case=Nom|Numb=Plur|Deg=Pos
arthritin,arthritis,NOM3,Case=Acc
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
De,decenti,NOM2,Case=Nom|Numb=Sing
podagra,podagra,NOM1,Case=Nom|Numb=Sing
De,de,NOM7,Case=Nom|Numb=Sing
renali,renalis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
quam,qvi,PROrel,Case=Acc|Numb=Sing
Graeci,graecvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
nephritin,nephritis,NOM3,Case=Acc|Numb=Sing
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
De,de,NOM7,Case=Nom|Numb=Sing
tardis,tardvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
uesicae,vesica,NOM1,Case=Gen|Numb=Sing
passionibus,passio,NOM3,Case=Abl|Numb=Plur
De,de,NOM7,Case=Abl|Numb=Sing
diabete,diabeo,VER,Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
De,de,NOM7,Case=Nom|Numb=Sing
seminis,semen,NOM3,Case=Gen|Numb=Sing
lapsu,lapsvs,NOM4,Case=Abl|Numb=Sing
quem,qvi,PROrel,Case=Acc|Numb=Sing
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
gonorrhoean,gonordhoea,ADJqua,Numb=Sing|Deg=Pos
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
De,de,NOM2,Case=Nom|Numb=Sing
somno,somnvs,NOM2,Case=Abl|Numb=Sing
uenerio,venerevs,NOM2,Case=Abl|Numb=Sing
quem,qvi,PROrel,Case=Acc|Numb=Sing
onirogmon,onirogmon,NOM3,Case=Acc|Numb=Sing
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
De,de,NOM2,Case=Abl|Numb=Sing
debilitate,debilitas,NOM3,Case=Abl|Numb=Sing
seminalium,seminalis,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
uiarum,via,NOM1,Case=Gen|Numb=Plur
De,de,NOM2,Case=Nom|Numb=Sing
priapismo,priapismvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
De,de,NOM5,Case=Abl|Numb=Sing
uomicis,vomex,NOM3,Case=Gen|Numb=Sing
siue,sive,CONcoo,MORPH=empty
internis,internvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
collectionibus,collectio,NOM3,Case=Abl|Numb=Plur
quas,qvi,PROrel,Case=Acc|Numb=Plur
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
empyemata,empyematvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
De,de,NOM2,Case=Nom|Numb=Sing
polysarcia,polysarcia,NOM1,Case=Abl|Numb=Sing
A,acilima,NOM2,Case=Abl|Numb=Sing
partibus,pars,NOM3,Case=Abl|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Plur
dolore,dolor,NOM3,Case=Abl|Numb=Sing
uexantur,vexo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
hae,hic,PROdem,Case=Nom|Numb=Plur
passiones,passio,NOM3,Case=Nom|Numb=Plur
nomina,nomen,NOM3,Case=Acc|Numb=Plur
sumpserunt,svmo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
nam,nam,CONcoo,MORPH=empty
uertebrorum,vertebra,NOM2,Case=Gen|Numb=Plur
ossa,os,NOM3,Case=Nom|Numb=Plur
quorum,qvi,PROrel,Case=Gen|Numb=Plur
summitas,svbmitas,NOM3,Case=Nom|Numb=Sing
iliorum,ilivm,NOM2,Case=Gen|Numb=Plur
initio,initivm,NOM2,Case=Abl|Numb=Sing
terminatur,termino,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
ischia,ischivm,NOM2,Case=Nom|Numb=Plur
uocauerunt,voco,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
item,item,ADV,Deg=Pos
musculos,mvscvlvs,NOM2,Case=Acc|Numb=Plur
clunium,clvnis,NOM3,Case=Gen|Numb=Plur
sub,svb,PRE,MORPH=empty
spinae,spina,NOM1,Case=Gen|Numb=Sing
finem,finis,NOM3,Case=Acc|Numb=Sing
ex,ex,PRE,MORPH=empty
interioribus,interiora,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
atque,atqve,CONcoo,MORPH=empty
exterioribus,exter,ADJqua,Case=Abl|Numb=Plur|Deg=Comp
adhaerentes,adhaereo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
psoeas,psoevs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
uocauerunt,voco,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Generantur,genero,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
istae,iste,PROdem,Case=Nom|Numb=Plur
passiones,passio,NOM3,Case=Nom|Numb=Plur
nunc,nvnc,ADV,Deg=Pos
ex,ex,PRE,MORPH=empty
manifestis,manifestvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
nunc,nvnc,ADV,Deg=Pos
ex,ex,PRE,MORPH=empty
occultis,occvltvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
causis,cavsa,NOM1,Case=Abl|Numb=Plur
ut,vt,ADVrel,MORPH=empty
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
perfrictio,perfrictio,NOM3,Case=Nom|Numb=Sing
profunda,profvndvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
uel,vel,CONcoo,MORPH=empty
terrena,terrenvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
cubatio,cvbatio,NOM3,Case=Nom|Numb=Sing
aut,avt,CONcoo,MORPH=empty
casus,casvs,NOM4,Case=Nom|Numb=Sing
repentinus,repentinvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
uel,vel,CONcoo,MORPH=empty
percussus,percvtio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
aut,avt,CONcoo,MORPH=empty
iugis,ivgvm,NOM2,Case=Abl|Numb=Plur
atque,atqve,CONcoo,MORPH=empty
immodicus,immodicvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
usus,vsvs,NOM4,Case=Nom|Numb=Sing
uenerius,venerevs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
aut,avt,CONcoo,MORPH=empty
quilibet,qvilibet,PROind,Case=Nom|Numb=Sing
longissimi,longvs,ADJqua,Case=Gen|Numb=Sing|Deg=Sup
temporis,tempvs,NOM3,Case=Gen|Numb=Sing
morbus,morbvs,NOM2,Case=Nom|Numb=Sing
item,item,ADV,Deg=Pos
uehemens,vehemens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
abductio,abdvctio,NOM3,Case=Nom|Numb=Sing
uel,vel,CONcoo,MORPH=empty
raptus,raptvs,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
in,in,PRE,MORPH=empty
exercitio,exercitivm,NOM3,Case=Abl|Numb=Sing
factus,facio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
aut,avt,CONcoo,MORPH=empty
longissimi,longvs,ADJqua,Case=Gen|Numb=Sing|Deg=Sup
temporis,tempvs,NOM3,Case=Gen|Numb=Sing
haemorrhoidarum,haemorrhodvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
fluor,flvor,NOM3,Case=Nom|Numb=Sing
retentus,retineo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
uel,vel,CONcoo,MORPH=empty
insueta,insvetvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
humi,hvmvs,NOM2,Case=Loc|Numb=Sing
fossio,fossio,NOM3,Case=Nom|Numb=Sing
aut,avt,CONcoo,MORPH=empty
cuiusdam,qvidam,PROind,Case=Gen|Numb=Sing
ponderis,pondvs,NOM3,Case=Gen|Numb=Sing
leuandi,levo,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
ex,ex,PRE,MORPH=empty
inferioribus,infervs,NOM3,Case=Abl|Numb=Plur
conatio,conatio,NOM3,Case=Nom|Numb=Sing
.,pes,ADJcar,Case=Gen|Numb=Plur
Fit,fio,CONsub,Numb=Sing|Person=3
praeterea,praeterea,ADV,Deg=Pos
in,in,PRE,MORPH=empty
omnibus,omnis,PROind,Case=Abl|Numb=Plur
aetatibus,aetas,NOM3,Case=Abl|Numb=Plur
sed,sed,CONcoo,MORPH=empty
frequentius,freqventer,ADV,Deg=Comp
in,in,PRE,MORPH=empty
mediis,medivs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
sequitur,seqvor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
ischiadicos,ischiadicvs,NOM2,Case=Acc|Numb=Plur
dolor,dolor,NOM3,Case=Nom|Numb=Sing
uertebrorum,vertebra,NOM2,Case=Gen|Numb=Plur
quam,qvi,PROrel,Case=Acc|Numb=Sing
passionem,passio,NOM3,Case=Acc|Numb=Sing
multi,mvlti,NOM2,Case=Nom|Numb=Plur
duplicem,dvplex,ADJmul,Case=Acc|Numb=Sing|Deg=Pos
ischiada,ischiada,NOM2,Case=Acc|Numb=Plur
uocauerunt,voco,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
attestante,attesto,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
grauedine,gravedo,NOM3,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
difficili,difficilis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
motu,motvs,NOM4,Case=Abl|Numb=Sing
contra,contra,PRE,MORPH=empty
solitum,soleo,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
morem,mos,NOM3,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
quibusdam,qvidam,PROind,Case=Abl|Numb=Plur
cum,cvm,CONsub,MORPH=empty
leui,levis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
torpore,torpvs,NOM3,Case=Abl|Numb=Sing
ac,ac,CONcoo,MORPH=empty
formicatione,formicatio,NOM3,Case=Abl|Numb=Sing
quibusdam,qvidam,PROind,Case=Abl|Numb=Plur
cum,cvm,PRE,MORPH=empty
uehementi,vehemens,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
atque,atqve,CONcoo,MORPH=empty
pungenti,pvngo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
et,et,CONcoo,MORPH=empty
feruido,fervidvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
dolore,dolor,NOM3,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
sensum,sensvs,NOM4,Case=Acc|Numb=Sing
patientis,patior,ADJqua,Case=Gen|Numb=Sing
tamquam,tamqvam,CONsub,MORPH=empty
serpentis,serpens,NOM3,Case=Gen|Numb=Sing
conuoluti,convolvo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
motu,motvs,NOM4,Case=Abl|Numb=Sing
aliquando,aliqvando,ADV,Deg=Pos
etiam,etiam,ADV,Deg=Pos
cum,cvm,PRE,MORPH=empty
febribus,febris,NOM3,Case=Abl|Numb=Plur
ut,vt,CONsub,MORPH=empty
neque,neqve,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
lecto,lectvs,NOM2,Case=Abl|Numb=Sing
suam,svvs,PROpos.ref,Case=Acc|Numb=Sing
conuentionem,conventio,NOM3,Case=Acc|Numb=Sing
ferre,fero,VER,Mood=Inf|Tense=Pres|Voice=Act
ualeant,valeo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
aegrotantes,aegroto,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
et,et,CONcoo,MORPH=empty
primo,primo,ADJadv.ord,Deg=Sup
in,in,PRE,MORPH=empty
uertebro,vertebrvm,NOM2,Case=Abl|Numb=Sing
dehinc,dehinc,ADV,Deg=Pos
partis,pars,NOM3,Case=Acc|Numb=Plur
spinae,spina,NOM1,Case=Gen|Numb=Sing
penetrans,penetro,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
loca,locvs,NOM2,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
usque,vsqve,ADV,Deg=Pos
ad,ad,PRE,MORPH=empty
mediam,medivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
natem,natis,NOM3,Case=Acc|Numb=Sing
ac,ac,CONcoo,MORPH=empty
superius,svpervs,ADV,Case=Acc|Deg=Comp
ad,ad,PRE,MORPH=empty
inguen,ingven,NOM3,Case=Acc|Numb=Sing
uel,vel,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
ancalen,ancales,NOM3,Case=Acc|Numb=Sing
perueniens,pervenio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
atque,atqve,CONcoo,MORPH=empty
suram,svra,NOM1,Case=Acc|Numb=Sing
dehinc,dehinc,ADV,Deg=Pos
etiam,etiam,ADV,Deg=Pos
talum,talvs,NOM2,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
pedis,pes,NOM3,Case=Gen|Numb=Sing
summitatem,svmmitas,NOM3,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Tum,tvs,NOM2,Case=Acc|Numb=Sing
cum,cvm,CONsub,MORPH=empty
passio,passio,NOM3,Case=Nom|Numb=Sing
tardauerit,tardo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
cessante,cesso,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
nutrimento,nvtrimentvm,NOM2,Case=Abl|Numb=Sing
cruris,crvs,NOM3,Case=Gen|Numb=Sing
totius,totvs,PROind,Case=Gen|Numb=Sing
tenuitas,tenvitas,NOM3,Case=Nom|Numb=Sing
fiet,fio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
quam,qvam,ADVrel,Case=Acc
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
atrophian,atrophia,NOM7,Case=Acc|Numb=Sing
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
incipiens,incipio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
a,ab,PRE,MORPH=empty
clunibus,clvnis,NOM3,Case=Abl|Numb=Plur
siue,sive,CONsub,MORPH=empty
ab,ab,PRE,MORPH=empty
inferioribus,infervs,ADJqua,Case=Abl|Numb=Plur|Deg=Comp
locis,locvs,NOM2,Case=Abl|Numb=Plur
attestante,attestor,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
debilitate,debilitas,NOM3,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
saepe,saepe,ADV,Deg=Pos
conductis,condvco,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
partibus,pars,NOM3,Case=Abl|Numb=Plur
breuitate,brevitas,NOM3,Case=Abl|Numb=Sing
cruris,crvs,NOM3,Case=Gen|Numb=Sing
aut,avt,CONcoo,MORPH=empty
ultra,vltra,PRE,MORPH=empty
naturam,natvra,NOM1,Case=Acc|Numb=Sing
longitudine,longitvdo,NOM3,Case=Abl|Numb=Sing
passionis,passio,NOM3,Case=Gen|Numb=Sing
distentione,distentio,NOM3,Case=Abl|Numb=Sing
suffecta,svfficio,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
ut,vt,CONsub,MORPH=empty
in,in,PRE,MORPH=empty
paralysin,paralysis,NOM3,Case=Acc|Numb=Sing
ueniat,venio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
aut,avt,CONcoo,MORPH=empty
ipsius,ipse,PROdem,Case=Gen|Numb=Sing
uertebri,vertebrivm,NOM1,Case=Gen|Numb=Sing
duratae,dvro,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
partes,pars,NOM3,Case=Nom|Numb=Plur
exstantiores,exstans,ADJqua,Case=Nom|Numb=Plur|Deg=Comp
fiant,fio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
constringitur,constringo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
praeterea,praeterea,ADV,Deg=Pos
saepe,saepe,ADV,Deg=Pos
ac,ac,CONcoo,MORPH=empty
retinetur,retineo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
uentris,venter,NOM3,Case=Gen|Numb=Sing
officium,officivm,NOM2,Case=Nom|Numb=Sing
aut,avt,CONcoo,MORPH=empty
cum,cvm,PRE,MORPH=empty
plurimo,mvltvs,ADJqua,Case=Abl|Numb=Sing|Deg=Sup
dolore,dolor,NOM3,Case=Abl|Numb=Sing
perficitur,perficio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
ob,ob,PRE,MORPH=empty
tensionem,tensio,NOM3,Case=Acc|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
spiritus,spiritvs,NOM4,Case=Gen|Numb=Sing
retenti,retineo,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
percussum,percvtio,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
itineris,iter,NOM3,Case=Gen|Numb=Sing
gressu,gressvs,NOM4,Case=Abl|Numb=Sing
quibus,qvi,PROrel,Case=Abl|Numb=Plur
forte,forte,ADV,Deg=Pos
permittitur,permitto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
initia,initivm,NOM2,Case=Nom|Numb=Plur
motus,motvs,NOM4,Case=Nom|Numb=Plur
impediuntur,impedio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
feruore,fervor,NOM3,Case=Abl|Numb=Sing
partium,pars,NOM3,Case=Gen|Numb=Plur
attestante,attestor,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
ac,ac,CONcoo,MORPH=empty
si,si,CONsub,MORPH=empty
perseuerans,persevero,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
fuerit,svm,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
motus,motvs,NOM4,Case=Nom|Numb=Sing
facilior,facilis,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
fiet,fio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Gen|Numb=Sing
tum,tvm,ADV,Deg=Pos
rursus,rvrsvs,ADV,Deg=Pos
subsidunt,svbsido,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uel,vel,CONcoo,MORPH=empty
intenti,intentvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
resistunt,resisto,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
repente,repente,ADV,Deg=Pos
tamquam,tamqvam,CONsub,MORPH=empty
fuerant,svm,VER,Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
necdum,necdvm,CONcoo,MORPH=empty
gressu,gressvs,NOM4,Case=Abl|Numb=Sing
tentato,tento,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Fut|Voice=Pass
.,vnvs,ADJcar,Case=Acc|Numb=Plur
tum,tvm,ADV,Deg=Pos
magis,magis,ADV,Deg=Comp
uehementem,vehemens,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
dolorem,dolor,NOM3,Case=Acc|Numb=Sing
sentiunt,sentio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
ambulant,ambvlo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quidam,qvidam,PROind,Case=Nom|Numb=Plur
capitibus,capvt,NOM3,Case=Abl|Numb=Plur
digitorum,digitvs,NOM2,Case=Gen|Numb=Plur
gradientes,gradior,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Dep
alii,alivs,PROind,Case=Nom|Numb=Plur
extenti,extendo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
quidem,qvidem,ADV,Deg=Pos
sed,sed,CONcoo,MORPH=empty
sinuatis,sinvo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
clunibus,clvnis,NOM3,Case=Abl|Numb=Plur
ut,vt,CONsub,MORPH=empty
neque,neqve,CONcoo,MORPH=empty
se,svi,PROref,Case=Acc|Numb=Sing
pronos,pronvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
inclinare,inclino,VER,Mood=Inf|Tense=Pres|Voice=Act
ualeant,valeo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
alii,alivs,PROind,Case=Nom|Numb=Plur
contracti,contraho,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
atque,atqve,CONcoo,MORPH=empty
conducti,condvco,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
qui,qvi,PROrel,Case=Nom|Numb=Plur
peius,male,ADV,Deg=Comp
omnibus,omnis,PROind,Case=Dat|Numb=Plur
habere,habeo,VER,Mood=Inf|Tense=Pres|Voice=Act
noscuntur,nosco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
siquidem,siqvidem,CONsub,MORPH=empty
passio,passio,NOM3,Case=Nom|Numb=Sing
apprehenderit,apprehendo,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Act|Person=3
etiam,etiam,ADV,Deg=Pos
spinae,spina,NOM1,Case=Gen|Numb=Sing
musculos,mvscvlvs,NOM2,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
propterea,propterea,ADV,Deg=Pos
duritia,dvritia,NOM1,Case=Abl|Numb=Sing
quadam,qvidam,PROind,Case=Abl|Numb=Sing
haec,hic,PROdem,Case=Acc|Numb=Sing
inuasisse,invado,VER,Mood=Inf|Tense=Perf|Voice=Act
uideatur,video,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
loca,locvs,NOM2,Case=Acc|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Patitur,patior,VER,Numb=Sing|Voice=Dep
autem,avtem,CONcoo,MORPH=empty
principaliter,principaliter,ADV,Deg=Pos
membrana,membrana,NOM1,Case=Nom|Numb=Sing
quae,qvi,PROrel,Case=Nom|Numb=Plur
ossa,os,NOM3,Case=Acc|Numb=Plur
circumtegit,circvmtegio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quam,qvam,ADVrel,MORPH=empty
Graeci,graeci,NOM2,Case=Nom|Numb=Plur
periosteon,periosteon,ADJqua,Case=Acc|Deg=Pos
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
item,item,ADV,Deg=Pos
musculorum,mvscvlvs,NOM2,Case=Gen|Numb=Plur
capita,capvt,NOM3,Case=Acc|Numb=Plur
uel,vel,CONcoo,MORPH=empty
summitates,svmmitas,NOM3,Case=Nom|Numb=Plur
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
denique,deniqve,ADV,Deg=Pos
augmento,avgmentvm,NOM2,Case=Abl|Numb=Sing
passionis,passio,NOM3,Case=Gen|Numb=Sing
intercreatus,intercreo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
humor,hvmor,NOM3,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
frequenti,freqvens,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
dolore,dolor,NOM3,Case=Abl|Numb=Sing
corruptus,corrvmpo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
in,in,PRE,MORPH=empty
saniem,sanies,NOM5,Case=Acc|Numb=Sing
transiens,transeo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
partes,pars,NOM3,Case=Acc|Numb=Plur
aliquas,aliqvis,PROind,Case=Acc|Numb=Plur
collectionibus,collectio,NOM3,Case=Abl|Numb=Plur
afficit,afficio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Sed,sed,CONcoo,Numb=Sing
quoniam,qvoniam,CONsub,MORPH=empty
plurima,mvltvs,ADJqua,Case=Nom|Numb=Plur|Deg=Sup
supradictorum,svpradico,VER,Case=Gen|Numb=Plur|Tense=Perf|Voice=Pass
sequentur,seqvor,VER,Numb=Plur|Mood=Ind|Tense=Fut|Voice=Dep|Person=3
etiam,etiam,ADV,Deg=Pos
eas,is,PROdem,Case=Acc|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Plur
matricis,matricvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
uexatione,vexatio,NOM3,Case=Abl|Numb=Sing
afficiuntur,afficio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
et,et,CONcoo,MORPH=empty
magis,magis,ADV,Deg=Comp
cum,cvm,CONsub,MORPH=empty
eius,is,PROdem,Case=Gen|Numb=Sing
fuerit,svm,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Act|Person=3
inclinatio,inclinatio,NOM3,Case=Nom|Numb=Sing
facta,facio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
quam,qvam,ADVrel,MORPH=empty
parenclisin,parenclisvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
uocant,voco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
facienda,facio,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
