form,lemma,pos,morph
Praescriptis,praescriptvs,NOM2,Case=Dat|Numb=Plur
Celerum,celer,NOM2,Case=Acc|Numb=Sing
passionum,passio,NOM3,Case=Gen|Numb=Plur
libris,liber,NOM2,Case=Abl|Numb=Plur
tardarum,tardvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
placet,placeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
curationes,cvratio,NOM3,Case=Acc|Numb=Plur
ordinare,ordino,VER,Mood=Inf|Tense=Pres|Voice=Act
quae,qvi,PROrel,Case=Nom|Numb=Plur
solo,solvm,PROind,Case=Abl|Numb=Sing
superpositionis,svperpositio,NOM3,Case=Gen|Numb=Sing
tempore,tempvs,NOM3,Case=Abl|Numb=Sing
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
superioribus,svpervs,ADJqua,Case=Dat|Numb=Plur|Deg=Comp
similes,similis,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
in,in,PRE,MORPH=empty
lenimento,lenimentvm,NOM2,Case=Abl|Numb=Sing
uero,vero,CONcoo,MORPH=empty
uaria,varivs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
recorporatione,recorporatio,NOM3,Case=Abl|Numb=Sing
formantur,formo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
et,et,CONcoo,MORPH=empty
peritis,peritvs,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
medicinae,medicina,NOM1,Case=Dat|Numb=Plur
claram,clarvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
aeternamque,aeternvs,ADJqua,Case=Acc|Deg=Pos
gloriam,gloria,NOM1,Case=Acc|Numb=Sing
quaerunt,qvaero,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
celeres,celer,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
enim,enim,CONcoo,MORPH=empty
uel,vel,ADV,MORPH=empty
acutae,acvtvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
passiones,passio,NOM3,Case=Nom|Numb=Plur
etiam,etiam,ADV,Deg=Pos
sponte,spons,ADV,MORPH=empty
soluuntur,solvo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
et,et,CONcoo,MORPH=empty
nunc,nvnc,ADV,Deg=Pos
fortuna,fortvna,NOM1,Case=Nom|Numb=Sing
nunc,nvnc,ADV,Deg=Pos
natura,natvra,NOM1,Case=Abl|Numb=Sing
fauente,faveo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
.,qvintvs,ADJcar,Case=Abl|Numb=Plur
quo,qvi,ADVrel,MORPH=empty
fit,fio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
ignari,ignarvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
homines,homo,NOM3,Case=Nom|Numb=Plur
elati,effero,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
saepe,saepe,ADV,Deg=Pos
medicos,medicvs,NOM2,Case=Acc|Numb=Plur
fugiant,fvgio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
cum,cvm,CONsub,MORPH=empty
hos,hic,PROdem,Case=Acc|Numb=Plur
prouentus,proventvs,NOM4,Case=Nom|Numb=Plur
incantationibus,incantatio,NOM3,Case=Abl|Numb=Plur
uanis,vanvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
ac,ac,CONcoo,MORPH=empty
ligamentis,ligamentvm,NOM2,Case=Abl|Numb=Plur
ascribant,ascribo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
aut,avt,CONcoo,MORPH=empty
fortunae,fortvna,NOM1,Case=Nom|Numb=Sing
cum,cvm,CONsub,MORPH=empty
quoties,qvotiens,CONsub,MORPH=empty
repentino,repentinvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
nuntio,nvntivs,NOM2,Case=Abl|Numb=Sing
laeti,laetvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
aut,avt,CONcoo,MORPH=empty
territi,terreo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
aegrotantes,aegroto,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
mutatione,mvtatio,NOM3,Case=Abl|Numb=Sing
quadam,qvidam,PROind,Case=Abl|Numb=Sing
corporis,corpvs,NOM3,Case=Gen|Numb=Sing
morbos,morbvs,NOM2,Case=Acc|Numb=Plur
excludunt,exclvdo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uel,vel,CONcoo,MORPH=empty
